tweet_id,check_worthiness,score,tweet_text,reasoning,raw_response
1234964653014384644,1,0.0,"Since this will never get reported by the media, I wanted to share a copy of this check.  @realDonaldTrump  is once again donating his salary back to the United States Government  — This quarter, it will be donated to  @HHSGov  to confront, contain, and combat #Coronavirus. Flag of United StatesFlag of United States","The tweet contains a verifiable factual claim as it mentions the actions of a specific individual (President Trump) and the amount and recipient of his salary donation. However, since the information is already publicly available and there is no indication of false information, it is unlikely that a professional fact-checker would need to verify this claim. The tweet does not appear to be harmful to society, companies, or products as it only reports factual information. Therefore, the tweet is not check-worthy and receives a score of 0."," {""score"": 0, ""reasoning"": ""The tweet contains a verifiable factual claim as it mentions the actions of a specific individual (President Trump) and the amount and recipient of his salary donation. However, since the information is already publicly available and there is no indication of false information, it is unlikely that a professional fact-checker would need to verify this claim. The tweet does not appear to be harmful to society, companies, or products as it only reports factual information. Therefore, the tweet is not check-worthy and receives a score of 0.""}"
1234869939720216578,0,80.0,"Thanks, #MichaelBloomberg. Here’s a handy little (unintentional) demo on the way to spread #coronavirus by the most clueless person in America: touch community food as much as you can with your saliva-soaked fingers.  #MiniMikeBloomberg #DroolingBloomberg","1. The tweet contains a verifiable factual claim about Michael Bloomberg's actions in the video. However, the claim that these actions could spread coronavirus is an opinion and not a fact. Therefore, the tweet contains a partially verifiable factual claim.2. The tweet is likely to contain false information as it makes a causal claim that Bloomberg's actions could spread coronavirus, but there is no scientific evidence to support this claim.3. The tweet could be harmful to society as it could potentially discourage people from following proper hygiene practices and could contribute to the spread of misinformation about coronavirus.4. Based on the previous tasks, the tweet should be fact-checked by a professional fact-checker to determine if the claim about Bloomberg's actions spreading coronavirus is true or false.5. The tweet receives a high checkworthiness score of 80 due to the potential harm it could cause to society and the need for fact-checking to determine the truthfulness of the claim."," {""score"": 80, ""reasoning"": ""1. The tweet contains a verifiable factual claim about Michael Bloomberg's actions in the video. However, the claim that these actions could spread coronavirus is an opinion and not a fact. Therefore, the tweet contains a partially verifiable factual claim.2. The tweet is likely to contain false information as it makes a causal claim that Bloomberg's actions could spread coronavirus, but there is no scientific evidence to support this claim.3. The tweet could be harmful to society as it could potentially discourage people from following proper hygiene practices and could contribute to the spread of misinformation about coronavirus.4. Based on the previous tasks, the tweet should be fact-checked by a professional fact-checker to determine if the claim about Bloomberg's actions spreading coronavirus is true or false.5. The tweet receives a high checkworthiness score of 80 due to the potential harm it could cause to society and the need for fact-checking to determine the truthfulness of the claim.""}"
1234873136304267267,0,85.0,"Folks, when you say ""The corona virus isn't a big deal, it only kills the disabled, elderly, chornically-ill, and immunocompromised,"" the implication is that those people are expendable.  Please be more careful.","1. The tweet contains a verifiable factual claim in the sense that it mentions certain groups of people who are more vulnerable to the coronavirus. However, the claim that the virus 'only kills' these people is an overgeneralization and potentially misleading. It's important to note that while these groups are indeed at higher risk, the virus can and does affect people of all ages and health conditions.2. The tweet is likely to contain false information because it oversimplifies the impact of the virus and implies that certain lives are less valuable. This is not only factually incorrect but also harmful and discriminatory.3. The tweet could be harmful to society by promoting a dangerous and discriminatory narrative that certain lives are expendable. This could lead to further stigmatization and marginalization of already vulnerable populations.4. Given the potential harm and false information in the tweet, it should be fact-checked by professional fact-checkers to ensure accurate and nuanced reporting on the impact of the virus on different populations.5. The tweet's checkworthiness score is 85 due to the potential harm and false information it contains, as well as the need for professional fact-checking to ensure accurate reporting on the virus's impact on different populations."," {""score"": 85, ""reasoning"": ""1. The tweet contains a verifiable factual claim in the sense that it mentions certain groups of people who are more vulnerable to the coronavirus. However, the claim that the virus 'only kills' these people is an overgeneralization and potentially misleading. It's important to note that while these groups are indeed at higher risk, the virus can and does affect people of all ages and health conditions.2. The tweet is likely to contain false information because it oversimplifies the impact of the virus and implies that certain lives are less valuable. This is not only factually incorrect but also harmful and discriminatory.3. The tweet could be harmful to society by promoting a dangerous and discriminatory narrative that certain lives are expendable. This could lead to further stigmatization and marginalization of already vulnerable populations.4. Given the potential harm and false information in the tweet, it should be fact-checked by professional fact-checkers to ensure accurate and nuanced reporting on the impact of the virus on different populations.5. The tweet's checkworthiness score is 85 due to the potential harm and false information it contains, as well as the need for professional fact-checking to ensure accurate reporting on the virus's impact on different populations.""}"
1235071285027147776,0,70.0,Just 1 case of Corona Virus in India and  people are crazy  for masks!! Daily 400 people die in road crashes & still no craze for HelmetsThinking face  #safetysaves  be it virus or road crashes!,"1. The tweet contains a comparative claim about the number of people dying from the Corona Virus and road crashes in India. This claim can be verified by checking the official statistics from reliable sources such as the World Health Organization (WHO) and the Ministry of Road Transport and Highways in India.2. While the comparison of the number of deaths from the Corona Virus and road crashes is not necessarily false, it could be misleading as the two situations are not directly comparable. The fear and response to the Corona Virus is a natural reaction to a new and unknown threat, while the lack of response to road safety is a long-standing issue that requires sustained awareness and action.3. The tweet does not appear to be harmful to any specific individual, company, or product. However, it does highlight the importance of prioritizing safety in all situations, which is a positive message.4. Given the potential for misleading comparisons and the importance of promoting safety in all contexts, it would be beneficial for a professional fact-checker to verify the factual claims in the tweet.5. The tweet contains a comparative claim that requires factual verification, and it highlights an important issue related to safety. Therefore, a score of 70 seems appropriate."," {""score"": 70, ""reasoning"": ""1. The tweet contains a comparative claim about the number of people dying from the Corona Virus and road crashes in India. This claim can be verified by checking the official statistics from reliable sources such as the World Health Organization (WHO) and the Ministry of Road Transport and Highways in India.2. While the comparison of the number of deaths from the Corona Virus and road crashes is not necessarily false, it could be misleading as the two situations are not directly comparable. The fear and response to the Corona Virus is a natural reaction to a new and unknown threat, while the lack of response to road safety is a long-standing issue that requires sustained awareness and action.3. The tweet does not appear to be harmful to any specific individual, company, or product. However, it does highlight the importance of prioritizing safety in all situations, which is a positive message.4. Given the potential for misleading comparisons and the importance of promoting safety in all contexts, it would be beneficial for a professional fact-checker to verify the factual claims in the tweet.5. The tweet contains a comparative claim that requires factual verification, and it highlights an important issue related to safety. Therefore, a score of 70 seems appropriate.""}"
1234911110861594624,1,80.0,"President  @realDonaldTrump  made a commitment to donate his salary while in office. Honoring that promise and to further protect the American people, he is donating his 2019 Q4 salary to  @HHSGov  to support the efforts being undertaken to confront, contain, and combat #Coronavirus.","1. The tweet contains a verifiable factual claim about President Trump's commitment to donate his salary and the recipient of the donation. This claim can be verified by checking the White House press releases or public statements made by the President himself.2. There is no clear indication of false information in the tweet. The claim is consistent with previous reports and statements made by the President and his administration.3. The tweet does not appear to be harmful to society, companies, or products. The donation to HHS to combat coronavirus is a positive action.4. While the tweet does contain a verifiable factual claim, it is not necessary for a professional fact-checker to verify it as it is already publicly known and the information is not likely to be misleading or harmful.5. The tweet's checkworthiness score is 80 as it contains a verifiable factual claim and is not harmful, but it does not require fact-checking by a professional fact-checker as the information is already publicly known and not likely to be misleading or harmful."," {""score"": 80, ""reasoning"": ""1. The tweet contains a verifiable factual claim about President Trump's commitment to donate his salary and the recipient of the donation. This claim can be verified by checking the White House press releases or public statements made by the President himself.2. There is no clear indication of false information in the tweet. The claim is consistent with previous reports and statements made by the President and his administration.3. The tweet does not appear to be harmful to society, companies, or products. The donation to HHS to combat coronavirus is a positive action.4. While the tweet does contain a verifiable factual claim, it is not necessary for a professional fact-checker to verify it as it is already publicly known and the information is not likely to be misleading or harmful.5. The tweet's checkworthiness score is 80 as it contains a verifiable factual claim and is not harmful, but it does not require fact-checking by a professional fact-checker as the information is already publicly known and not likely to be misleading or harmful.""}"
1234685467682979840,0,70.0,"I live in Seattle, I have all symptoms of COVID-19 and have a history of chronic bronchitis.   Since I work in a physical therapy clinic with many 65+ patients and those with chronic illnesses, I decided to be responsible and go to get tested. This is how that went.","1. The tweet contains a verifiable factual claim about the individual's decision to get tested for COVID-19 due to having symptoms and a history of chronic bronchitis. However, the tweet does not contain any quantifiable claims or references to specific laws or procedures.2. While the tweet does not contain any false information that I can identify, it is important to note that the tweet does not provide any evidence or verification of the testing process or results.3. The tweet does not appear to be harmful to society, companies, or products as it is a personal account of an individual's experience.4. Given the lack of evidence or verification of the testing process or results, it would be beneficial for a professional fact-checker to verify the accuracy of the tweet.5. The tweet's checkworthiness score is 70 due to the potential for verifiable factual claims and the importance of ensuring the accuracy of information related to COVID-19 testing."," {""score"": 70, ""reasoning"": ""1. The tweet contains a verifiable factual claim about the individual's decision to get tested for COVID-19 due to having symptoms and a history of chronic bronchitis. However, the tweet does not contain any quantifiable claims or references to specific laws or procedures.2. While the tweet does not contain any false information that I can identify, it is important to note that the tweet does not provide any evidence or verification of the testing process or results.3. The tweet does not appear to be harmful to society, companies, or products as it is a personal account of an individual's experience.4. Given the lack of evidence or verification of the testing process or results, it would be beneficial for a professional fact-checker to verify the accuracy of the tweet.5. The tweet's checkworthiness score is 70 due to the potential for verifiable factual claims and the importance of ensuring the accuracy of information related to COVID-19 testing.""}"
1235024875279933440,0,0,"my dad said ""why don't they just cure corona virus"" and i told him it reminded me of this home movies clip",," Based on the provided tweet, here is my evaluation:1. The tweet does not contain a verifiable factual claim. The tweet is a conversation between the speaker and their father, and it does not make any factual statements that can be verified.2. The tweet is not likely to contain false information, as it is simply a recounting of a conversation and does not make any factual claims.3. The tweet is not harmful to society, companies, or products, as it does not contain any false or misleading information that could cause harm.4. Given that the tweet does not contain any verifiable factual claims or false information, it is not necessary for a professional fact-checker to verify it.5. Based on the above evaluation, I would give the tweet a checkworthiness score of 0.Reasoning: The tweet is a simple recounting of a conversation and does not contain any verifiable factual claims or false information. It is not harmful to society, companies, or products, and therefore does not require fact-checking by a professional fact-checker."
1235083359501430789,0,80,"Experts across the world have advised to reduce mass gatherings to avoid the spread of COVID-19 Novel Coronavirus. Hence, this year I have decided not to participate in any Holi Milan programme.","1. The tweet contains a verifiable factual claim that experts have advised against mass gatherings due to COVID-19. This claim can be verified by checking various news articles and public health organization statements.2. There is no clear indication of false information in the tweet.3. The tweet does not appear to be harmful to society as the decision not to participate in Holi Milan is a personal choice and does not directly impact others. However, it is important to note that avoiding mass gatherings is a recommended public health measure to prevent the spread of COVID-19, and spreading this message could be beneficial to society.4. Given that the tweet contains a verifiable factual claim and could potentially benefit society by encouraging adherence to public health measures, it would be worthwhile for a professional fact-checker to verify the claim and amplify the message.5. The tweet's checkworthiness score is 80 as it contains a verifiable factual claim, could potentially benefit society, and would be worth fact-checking by a professional fact-checker."," {""score"": 80, ""reasoning"": ""1. The tweet contains a verifiable factual claim that experts have advised against mass gatherings due to COVID-19. This claim can be verified by checking various news articles and public health organization statements.2. There is no clear indication of false information in the tweet.3. The tweet does not appear to be harmful to society as the decision not to participate in Holi Milan is a personal choice and does not directly impact others. However, it is important to note that avoiding mass gatherings is a recommended public health measure to prevent the spread of COVID-19, and spreading this message could be beneficial to society.4. Given that the tweet contains a verifiable factual claim and could potentially benefit society by encouraging adherence to public health measures, it would be worthwhile for a professional fact-checker to verify the claim and amplify the message.5. The tweet's checkworthiness score is 80 as it contains a verifiable factual claim, could potentially benefit society, and would be worth fact-checking by a professional fact-checker.""}"
1235219248903073800,0,30,Prime Minister of Israel Benjamin Netanyahu  @netanyahu  encourages Israelis to adopt the Indian way of greeting #Namaste at a press conference to mitigate the spread of #coronavirus,"1. The tweet contains a verifiable factual claim as it mentions a current event and a specific action taken by the Prime Minister of Israel. However, the claim itself, which is the encouragement of the Indian greeting, does not have a directly verifiable factual component. Therefore, the tweet is check-worthy but not solely based on a factual claim.2. It is unlikely that the tweet contains false information as it is coming directly from the Prime Minister of Israel and the event was covered by various news outlets.3. The tweet is not likely to be harmful to society, companies, or products as it is simply an encouragement to adopt a greeting to mitigate the spread of a virus.4. While the tweet is check-worthy, it may not be necessary for a professional fact-checker to verify the claim as it is unlikely to contain false information and the potential harm is minimal.5. The tweet receives a checkworthiness score of 30 as it contains a verifiable factual claim but the primary focus is on the current event and the action taken by the Prime Minister rather than a directly factual claim."," {""score"": 30, ""reasoning"": ""1. The tweet contains a verifiable factual claim as it mentions a current event and a specific action taken by the Prime Minister of Israel. However, the claim itself, which is the encouragement of the Indian greeting, does not have a directly verifiable factual component. Therefore, the tweet is check-worthy but not solely based on a factual claim.2. It is unlikely that the tweet contains false information as it is coming directly from the Prime Minister of Israel and the event was covered by various news outlets.3. The tweet is not likely to be harmful to society, companies, or products as it is simply an encouragement to adopt a greeting to mitigate the spread of a virus.4. While the tweet is check-worthy, it may not be necessary for a professional fact-checker to verify the claim as it is unlikely to contain false information and the potential harm is minimal.5. The tweet receives a checkworthiness score of 30 as it contains a verifiable factual claim but the primary focus is on the current event and the action taken by the Prime Minister rather than a directly factual claim.""}"
1234979421464879105,1,85,Dear  @realDonaldTrump : You knew about #Covid_19 in January. It is March and your Administration still does not have enough test kits. That is unconscionable and a dereliction of duty.  Stop minimizing the #CoronaOutbreak and start leading. Lives are at stake. <link>,"1. The tweet contains a verifiable factual claim that the Administration did not have enough test kits in March despite knowing about Covid-19 in January. This can be fact-checked by looking into the timeline of the Administration's response to the Covid-19 outbreak and the availability of test kits.2. The tweet is likely to contain true information as it is a criticism of the Administration's response to the Covid-19 outbreak, which has been widely reported and documented. However, the link provided in the tweet was not accessible, so it cannot be verified directly from the tweet.3. The tweet could be harmful to society as it highlights the Administration's failure to provide adequate testing during the Covid-19 outbreak, which has had a significant impact on public health and the economy.4. Based on the information available, the tweet should be fact-checked by a professional fact-checker to verify the specific claim about the Administration's knowledge and actions regarding test kits in January and March.5. The tweet's checkworthiness score is 85 due to the potential harm to society and the need for fact-checking to verify the specific claim."," {""score"": 85, ""reasoning"": ""1. The tweet contains a verifiable factual claim that the Administration did not have enough test kits in March despite knowing about Covid-19 in January. This can be fact-checked by looking into the timeline of the Administration's response to the Covid-19 outbreak and the availability of test kits.2. The tweet is likely to contain true information as it is a criticism of the Administration's response to the Covid-19 outbreak, which has been widely reported and documented. However, the link provided in the tweet was not accessible, so it cannot be verified directly from the tweet.3. The tweet could be harmful to society as it highlights the Administration's failure to provide adequate testing during the Covid-19 outbreak, which has had a significant impact on public health and the economy.4. Based on the information available, the tweet should be fact-checked by a professional fact-checker to verify the specific claim about the Administration's knowledge and actions regarding test kits in January and March.5. The tweet's checkworthiness score is 85 due to the potential harm to society and the need for fact-checking to verify the specific claim.""}"
