tweet_id,check_worthiness,score,tweet_text,reasoning,raw_response
1234964653014384644,1,100.0,"Since this will never get reported by the media, I wanted to share a copy of this check.  @realDonaldTrump  is once again donating his salary back to the United States Government  — This quarter, it will be donated to  @HHSGov  to confront, contain, and combat #Coronavirus. Flag of United StatesFlag of United States","This tweet contains a factual claim about Donald Trump donating his salary, which needs fact-checking to verify the accuracy of the information."," {""score"": 100, ""reasoning"": ""This tweet contains a factual claim about Donald Trump donating his salary, which needs fact-checking to verify the accuracy of the information.""}"
1234869939720216578,0,30.0,"Thanks, #MichaelBloomberg. Here’s a handy little (unintentional) demo on the way to spread #coronavirus by the most clueless person in America: touch community food as much as you can with your saliva-soaked fingers.  #MiniMikeBloomberg #DroolingBloomberg","This tweet contains a sarcastic and exaggerated claim about Michael Bloomberg, which is not factual but does not have a significant impact on the public or society."," {""score"": 30, ""reasoning"": ""This tweet contains a sarcastic and exaggerated claim about Michael Bloomberg, which is not factual but does not have a significant impact on the public or society.""}"
1234873136304267267,0,0.0,"Folks, when you say ""The corona virus isn't a big deal, it only kills the disabled, elderly, chornically-ill, and immunocompromised,"" the implication is that those people are expendable.  Please be more careful.","This tweet does not contain a factual claim, only a recommendation to other people and an implication that may be subjective."," {""score"": 0, ""reasoning"": ""This tweet does not contain a factual claim, only a recommendation to other people and an implication that may be subjective.""}"
1235071285027147776,0,30,Just 1 case of Corona Virus in India and  people are crazy  for masks!! Daily 400 people die in road crashes & still no craze for HelmetsThinking face  #safetysaves  be it virus or road crashes!,," {""score"": 30, ""reasoning"": ""The tweet contains a comparison between the number of people dying from the coronavirus and road crashes, but it does not provide any verifiable facts or figures. The tweet is more of a commentary on public behavior and safety awareness, rather than a"
1234911110861594624,1,100,"President  @realDonaldTrump  made a commitment to donate his salary while in office. Honoring that promise and to further protect the American people, he is donating his 2019 Q4 salary to  @HHSGov  to support the efforts being undertaken to confront, contain, and combat #Coronavirus.","This tweet contains a factual claim about President Trump donating his salary, which needs verification as it is a matter of public interest and potential impact on the perception of the president's actions."," {""score"": 100, ""reasoning"": ""This tweet contains a factual claim about President Trump donating his salary, which needs verification as it is a matter of public interest and potential impact on the perception of the president's actions.""}"
1234685467682979840,0,100,"I live in Seattle, I have all symptoms of COVID-19 and have a history of chronic bronchitis.   Since I work in a physical therapy clinic with many 65+ patients and those with chronic illnesses, I decided to be responsible and go to get tested. This is how that went.",," {""score"": 100, ""reasoning"": ""This tweet contains factual claims about the individual's symptoms and decision to get tested for COVID-19, as well as their occupation and patient demographic. These claims could potentially impact public health and safety, making fact-checking necessary."""
1235024875279933440,0,0,"my dad said ""why don't they just cure corona virus"" and i told him it reminded me of this home movies clip","This tweet does not contain a factual claim, only a reference to a clip from a movie or home video."," {""score"": 0, ""reasoning"": ""This tweet does not contain a factual claim, only a reference to a clip from a movie or home video.""}"
1235083359501430789,0,0,"Experts across the world have advised to reduce mass gatherings to avoid the spread of COVID-19 Novel Coronavirus. Hence, this year I have decided not to participate in any Holi Milan programme.","This tweet is not making a factual claim, but rather a statement about the author's decision not to participate in Holi celebrations due to COVID-19 concerns."," {""score"": 0, ""reasoning"": ""This tweet is not making a factual claim, but rather a statement about the author's decision not to participate in Holi celebrations due to COVID-19 concerns.""}"
1235219248903073800,0,0,Prime Minister of Israel Benjamin Netanyahu  @netanyahu  encourages Israelis to adopt the Indian way of greeting #Namaste at a press conference to mitigate the spread of #coronavirus,"This tweet does not contain a factual claim, only a recommendation from the Prime Minister of Israel for Israelis to adopt a greeting practice."," {""score"": 0, ""reasoning"": ""This tweet does not contain a factual claim, only a recommendation from the Prime Minister of Israel for Israelis to adopt a greeting practice.""}"
1234979421464879105,1,100,Dear  @realDonaldTrump : You knew about #Covid_19 in January. It is March and your Administration still does not have enough test kits. That is unconscionable and a dereliction of duty.  Stop minimizing the #CoronaOutbreak and start leading. Lives are at stake. <link>,"This tweet contains a factual claim about the timeline of the US government's response to the Covid-19 outbreak, which is subject to fact-checking and could have an impact on public perception and accountability."," {""score"": 100, ""reasoning"": ""This tweet contains a factual claim about the timeline of the US government's response to the Covid-19 outbreak, which is subject to fact-checking and could have an impact on public perception and accountability.""}"
