tweet_id,check_worthiness,score,tweet_text,reasoning,raw_response
1234964653014384644,1,0,"Since this will never get reported by the media, I wanted to share a copy of this check.  @realDonaldTrump  is once again donating his salary back to the United States Government  — This quarter, it will be donated to  @HHSGov  to confront, contain, and combat #Coronavirus. Flag of United StatesFlag of United States",," {""score"": 0, ""reasoning"": ""The tweet contains a factual claim about President Trump donating his salary to the US Government and specifically to HHSGov in this quarter to combat Coronavirus. This information can be easily verified by checking the official records of the White House Office of the"
1234869939720216578,0,50,"Thanks, #MichaelBloomberg. Here’s a handy little (unintentional) demo on the way to spread #coronavirus by the most clueless person in America: touch community food as much as you can with your saliva-soaked fingers.  #MiniMikeBloomberg #DroolingBloomberg",," {""score"": 50, ""reasoning"": ""The tweet contains a figurative statement ('a handy little demo on the way to spread #coronavirus by the most clueless person in America: touch community food as much as you can with your saliva-soaked fingers') and does"
1234873136304267267,0,100,"Folks, when you say ""The corona virus isn't a big deal, it only kills the disabled, elderly, chornically-ill, and immunocompromised,"" the implication is that those people are expendable.  Please be more careful.",," {""score"": 100, ""reasoning"": ""The tweet contains a harmful and false claim that the coronavirus only kills certain groups of people, implying that their lives are expendable. Such a claim could have a significant impact on the general public by encouraging disregard for public health guidelines and"
1235071285027147776,0,20,Just 1 case of Corona Virus in India and  people are crazy  for masks!! Daily 400 people die in road crashes & still no craze for HelmetsThinking face  #safetysaves  be it virus or road crashes!,," {""score"": 20, ""reasoning"": ""The tweet contains two factual claims: 'Just 1 case of Corona Virus in India' and 'Daily 400 people die in road crashes'. However, the first claim is not check-worthy as it is not clear"
1234911110861594624,1,10,"President  @realDonaldTrump  made a commitment to donate his salary while in office. Honoring that promise and to further protect the American people, he is donating his 2019 Q4 salary to  @HHSGov  to support the efforts being undertaken to confront, contain, and combat #Coronavirus.","The tweet contains a verifiable factual claim about President Trump's commitment to donate his salary and the recipient of the donation in this specific instance. Therefore, it is check-worthy."," {""score"": 10, ""reasoning"": ""The tweet contains a verifiable factual claim about President Trump's commitment to donate his salary and the recipient of the donation in this specific instance. Therefore, it is check-worthy.""}"
1234685467682979840,0,20,"I live in Seattle, I have all symptoms of COVID-19 and have a history of chronic bronchitis.   Since I work in a physical therapy clinic with many 65+ patients and those with chronic illnesses, I decided to be responsible and go to get tested. This is how that went.",," {""score"": 20, ""reasoning"": ""The tweet contains a first-hand account of an individual's experience and decision to get tested for COVID-19. While it mentions symptoms and a medical condition, it does not contain any verifiable factual claims that can be checked. The"
1235024875279933440,0,0,"my dad said ""why don't they just cure corona virus"" and i told him it reminded me of this home movies clip","The sentence does not contain a verifiable factual claim. It is a casual conversation between the speaker and their father, and there is no claim being made about the cure for the coronavirus virus or any factual information being stated."," {""score"": 0, ""reasoning"": ""The sentence does not contain a verifiable factual claim. It is a casual conversation between the speaker and their father, and there is no claim being made about the cure for the coronavirus virus or any factual information being stated.""}"
1235083359501430789,0,100,"Experts across the world have advised to reduce mass gatherings to avoid the spread of COVID-19 Novel Coronavirus. Hence, this year I have decided not to participate in any Holi Milan programme.",," {""score"": 100, ""reasoning"": ""The tweet contains a factual claim about experts advising against mass gatherings to prevent the spread of COVID-19. This claim can be verified by checking various news sources and health organizations. The decision not to participate in Holi Milan programmes"
1235219248903073800,0,0,Prime Minister of Israel Benjamin Netanyahu  @netanyahu  encourages Israelis to adopt the Indian way of greeting #Namaste at a press conference to mitigate the spread of #coronavirus,," {""score"": 0, ""reasoning"": ""The tweet does not contain a verifiable factual claim. The statement that Prime Minister Benjamin Netanyahu encourages Israelis to adopt the Indian way of greeting #Namaste at a press conference is an opinion and does not have a definitive fact"
1234979421464879105,1,85,Dear  @realDonaldTrump : You knew about #Covid_19 in January. It is March and your Administration still does not have enough test kits. That is unconscionable and a dereliction of duty.  Stop minimizing the #CoronaOutbreak and start leading. Lives are at stake. <link>,," {""score"": 85, ""reasoning"": ""The tweet contains a factual claim about the timeline of the Trump administration's response to the Covid-19 outbreak and their lack of sufficient test kits in March 2020. This claim can be verified through various news reports and"
1235185048078278657,0,0,Safety always comes first. Do not panic and stay safe. #CoronaAlert <link>,," {""score"": 0, ""reasoning"": ""The sentence does not contain a verifiable factual claim. It is a general call to stay safe during a crisis situation, which is a common message during times of emergency. While important, such messages do not require fact-checking as they do not contain false"
1234916336393969667,0,100,"Countries with largest numbers of #coronavirus diagnoses  1. China 2. South Korea 3. Italy 4. Iran 5, Japan 6. France 7. Germany 8. Spain 9. Singapore 10. USA",," {""score"": 100, ""reasoning"": ""This sentence contains a list of countries in order of their reported number of COVID-19 diagnoses. The information can be verified from various reliable sources such as World Health Organization (WHO), Centers for Disease Control and Prevention (CDC"
1234616723615166465,0,20,"I'm stunned by the depth of #coronavirus information being released in #Singapore. On this website you can see every known infection case, where the person lives and works, which hospital they got admitted to, and the network topology of carriers, all laid out on a time-series <link>",," {""score"": 20, ""reasoning"": ""The tweet contains factual information about the availability of detailed COVID-19 case data in Singapore, including locations and hospitals. However, the potential harm or impact on the public is relatively low as the information is already publicly available on the website mentioned in the"
1235351764737675264,0,0,"Thank you, keep up the great work!",The given sentence does not contain a verifiable factual claim and is not check-worthy.," {""score"": 0, ""reasoning"": ""The given sentence does not contain a verifiable factual claim and is not check-worthy.""}"
1235149229179404289,0,80,"The new #coronavirus has killed about 3.4% of confirmed cases globally - making it deadlier than the flu, but still containable.   The seasonal flu's fatality rate is below 1% https://aje.io/gysap",," {""score"": 80, ""reasoning"": ""The tweet contains verifiable factual claims about the mortality rates of the new coronavirus and the flu. These claims can be checked by looking up the global number of coronavirus deaths and the number of confirmed cases, as well as the number of flu"
1234650511636410368,0,0,Nigeria being able to handle Ebola and Corona virus effectively just lets you know that the incompetence in everything else is on purpose,," {""score"": 0, ""reasoning"": ""This sentence expresses an opinion rather than a factual claim. It does not contain any verifiable information about Nigeria's handling of Ebola and Corona virus or the reasons behind their perceived competence or incompetence in other areas. Therefore, it"
1234634259912155137,0,100,"BREAKING: I am announcing a new directive requiring NY health insurers to waive cost sharing associated with testing for #coronavirus, including emergency room, urgent care and office visits.  We can't let cost be a barrier to access to COVID-19 testing for any New Yorker.",," {""score"": 100, ""reasoning"": ""This tweet contains a verifiable factual claim about a new directive in New York regarding cost sharing for coronavirus testing. It is important information that could impact the general public and potentially remove a financial barrier to testing, which is crucial during a pandemic"
1234831345777627138,0,0,Now they want to clean,The sentence does not contain a verifiable factual claim. It is a simple statement about an intended action and does not appear to contain false information or have an impact on the general public.," {""score"": 0, ""reasoning"": ""The sentence does not contain a verifiable factual claim. It is a simple statement about an intended action and does not appear to contain false information or have an impact on the general public.""}"
1235210250812305408,0,50,"Netanyahu announcing Israel's new extreme measures against #corona. Orders Israelis to stop shaking hands, suggests following Indian custom of namaste instead. 🙏🏽 <link>",," {""score"": 50, ""reasoning"": ""The tweet contains a factual claim about Netanyahu's announcement regarding new measures against corona in Israel. However, the potential impact on the general public and harm to society is relatively low as the suggested custom of namaste is a common practice in"
1235239113298759680,1,80,"Just spoke with ER doc who say he's seeing cases he's 99% sure are #coronavirus. Negative for flu, recent travel, work in airports. Not allowed to test. Patients return to work because they can't take time off w/out a firm diagnosis. Other ER docs seeing the same thing.",," {""score"": 80, ""reasoning"": ""The tweet contains a claim about a medical professional's observation of potential coronavirus cases, which could have an impact on the public if it leads to false assumptions or fear. However, the tweet does not provide enough information to definitively verify the claim"
1235265562990637056,0,30,"Slowly, all Hindu traditions will be accepted by the world. Yoga is already in. Need for family system & vegetarianism is dire, Universal Acceptance to fight terrorism, polytheism to fight hate & bigotry of the communists.  The time for unscientific Abrahamic principles is over.<link>",," {""score"": 30, ""reasoning"": ""The tweet expresses a prediction about the future acceptance of Hindu traditions by the world, which could be check-worthy. However, the claim is subjective and does not provide any concrete evidence or data to support it. Additionally, the tweet contains multiple"
1234835892159877121,0,80,Congress should NOT tie emergency #coronavirus funding with #FISA reauthorization.   We MUST reform our FISA system to restore the American people’s confidence in our justice system and ensure what happened to  @realDonaldTrump  and his campaign in 2016 NEVER happens again.<link>,," {""score"": 80, ""reasoning"": ""This tweet contains a call to action and a statement about the need to reform FISA system. While it does not contain a verifiable factual claim per se, it implies that the events surrounding the Trump campaign in 2016 constituted"
1235037111239077889,1,100,"#EXO members #Chanyeol, #Lay, #Suho and #Kai have donated a combined 170 million won to Korea Disaster Relief Association Hope Bridge to help fight the #coronavirus outbreak. #COVID19  @weareoneEXO  @layzhang  #찬열 #ZhangYixing #수호 #엑소",," {""score"": 100, ""reasoning"": ""The tweet contains a verifiable factual claim about a specific amount of money donated by named individuals to a recognized organization. This information can be easily fact-checked by cross-referencing the donation records of the Korea Disaster Relief Association"
1235001112735944705,0,30,Dear  @VP  Pence: What are you hiding from the American people? Why won’t you let the people see and hear what experts are saying about the #CoronaOutbreak?,," {""score"": 30, ""reasoning"": ""This tweet is calling for transparency from the Vice President regarding the CoronaOutbreak, but it does not contain a verifiable factual claim. The tweet is more of a request or demand for information, rather than a statement of fact. Therefore"
1234778537615212544,0,0,"Dear  @PMOIndia ,  Quit wasting India's time playing the clown with your social media accounts, when India is facing an emergency. Focus the attention of every Indian on taking on the Corona virus challenge.   Here's how it's done..  #coronavirusindia","The tweet expresses an opinion and a call to action, but it does not contain a verifiable factual claim. Therefore, it is not check-worthy."," {""score"": 0, ""reasoning"": ""The tweet expresses an opinion and a call to action, but it does not contain a verifiable factual claim. Therefore, it is not check-worthy.""}"
1235197302333149185,1,100,Hold on - #China Communist Party now denying #CoronavirusOutbreak originated in China? This after Beijing’s catastrophic mishandling of the virus has caused a global health crisis? What a collection of incompetent thugs & liars <link>,," {""score"": 100, ""reasoning"": ""The tweet contains a factual claim that the Chinese Communist Party is denying the origin of the coronavirus outbreak in China. This claim can be verified by checking official statements from the Chinese Communist Party or their media outlets. The tweet also implies"
1235166676309676032,1,80,"The World Health Organization confirmed that Covid-19 is deadlier than the seasonal flu, but does not transmit as easily. Read the latest updates on the coronavirus outbreak here.",," {""score"": 80, ""reasoning"": ""The claim that the World Health Organization (WHO) confirmed that Covid-19 is deadlier than the seasonal flu is verifiable. According to the WHO, as of October 2020, the global case fatality ratio for"
