tweet_id,check_worthiness,score,tweet_text,reasoning
1234964653014384644,1,0,"Since this will never get reported by the media, I wanted to share a copy of this check.  @realDonaldTrump  is once again donating his salary back to the United States Government  — This quarter, it will be donated to  @HHSGov  to confront, contain, and combat #Coronavirus. Flag of United StatesFlag of United States"," 1. The tweet contains a verifiable factual claim. The claim is that @realDonaldTrump is donating his salary back to the United States Government. This claim can be verified by checking the official records of the United States Government regarding presidential salaries and donations.2. The tweet is not likely to contain false information. The claim is made by the President himself and there is no reason to believe that he would lie about donating his salary.3. The tweet is not harmful to society, companies or products. On the contrary, it is a positive message about the President's charitable donation.4. Based on the previous tasks, the tweet does not need to be fact-checked by a professional fact-checker. The claim is verifiable and there is no reason to suspect that it is false.5. The tweet receives a checkworthiness score of 0. This score reflects the fact that the tweet does not contain any false information and does not require fact-checking by a professional fact-checker."
1234869939720216578,0,30,"Thanks, #MichaelBloomberg. Here’s a handy little (unintentional) demo on the way to spread #coronavirus by the most clueless person in America: touch community food as much as you can with your saliva-soaked fingers.  #MiniMikeBloomberg #DroolingBloomberg"," 1. The tweet contains a verifiable factual claim that Michael Bloomberg made a statement. However, the claim that the statement is clueless, unintentional, or a demo on how to spread coronavirus is not verifiable and is an opinion. Therefore, the tweet is not entirely check-worthy.2. The tweet is likely to contain false information if the statement made by Michael Bloomberg is indeed false or misleading. However, without further context or evidence, it is impossible to determine if the statement is false or not. Therefore, the tweet is not entirely check-worthy.3. The tweet could be harmful to society if it leads to misinformation about the coronavirus or discourages people from following public health guidelines. However, the tweet does not directly encourage harm or violence, so the potential harm is limited.4. Based on the previous tasks, the tweet should not be fact-checked by a professional fact-checker unless there is additional evidence or context suggesting that Michael Bloomberg's statement is false or misleading.5. The tweet receives a checkworthiness score of 30. The score is relatively low because the tweet contains an opinion and lacks sufficient factual information to be fully check-worthy."
1234873136304267267,0,90,"Folks, when you say ""The corona virus isn't a big deal, it only kills the disabled, elderly, chornically-ill, and immunocompromised,"" the implication is that those people are expendable.  Please be more careful.",The tweet contains false information and could be harmful to society by promoting a dangerous and discriminatory viewpoint that certain lives are less valuable than others.
1235071285027147776,0,50,Just 1 case of Corona Virus in India and  people are crazy  for masks!! Daily 400 people die in road crashes & still no craze for HelmetsThinking face  #safetysaves  be it virus or road crashes!,"The tweet contains a verifiable factual claim about the number of cases of Corona Virus in India, but it does not provide a specific number, so it requires confirmation from official sources. It also contains a potentially inaccurate comparison between the number of people dying from road crashes and the number of people wearing masks due to the Corona Virus outbreak, which could benefit from fact-checking."
1234911110861594624,1,0,"President  @realDonaldTrump  made a commitment to donate his salary while in office. Honoring that promise and to further protect the American people, he is donating his 2019 Q4 salary to  @HHSGov  to support the efforts being undertaken to confront, contain, and combat #Coronavirus.","The tweet is a statement of fact about the President's actions and does not contain false information, therefore it does not need to be fact-checked by a professional fact-checker."
1234685467682979840,0,0,"I live in Seattle, I have all symptoms of COVID-19 and have a history of chronic bronchitis.   Since I work in a physical therapy clinic with many 65+ patients and those with chronic illnesses, I decided to be responsible and go to get tested. This is how that went.","1. The tweet contains a verifiable factual claim that the person has symptoms of COVID-19 and has a history of chronic bronchitis. However, it does not contain any claim that needs to be fact-checked by a professional fact-checker.2. It is unlikely that the tweet contains false information, as it is a personal account of the person's experience and does not make any verifiable claims that could be false.3. The tweet could be harmful to society if it leads to a false sense of security or complacency among those who read it and believe that getting tested for COVID-19 is unnecessary. However, it is not directly harmful to any specific company or product.4. Based on the previous tasks, the tweet does not need to be fact-checked by a professional fact-checker.5. The tweet receives a checkworthiness score of 0, as it does not contain any verifiable factual claims that require fact-checking by a professional fact-checker."
1235024875279933440,0,0,"my dad said ""why don't they just cure corona virus"" and i told him it reminded me of this home movies clip","The tweet is a description of a conversation between the speaker and their father and does not contain any verifiable factual claims. Therefore, it does not need to be fact-checked by a professional fact-checker."
1235083359501430789,0,90,"Experts across the world have advised to reduce mass gatherings to avoid the spread of COVID-19 Novel Coronavirus. Hence, this year I have decided not to participate in any Holi Milan programme.","1. The tweet contains a verifiable factual claim that experts have advised to reduce mass gatherings to avoid the spread of COVID-19. This claim can be verified by checking various news articles, scientific studies, and public health organization statements.2. The tweet is not likely to contain false information as it is stating a fact that experts have advised against mass gatherings during the COVID-19 pandemic.3. The tweet could be harmful to society if people ignore the advice and participate in mass gatherings, potentially leading to the spread of the virus.4. Based on the previous tasks, the tweet should be fact-checked by a professional fact-checker to ensure that the claim about experts advising against mass gatherings is accurate and that the potential harm to society is accurately assessed.5. I would give the tweet a checkworthiness score of 90. The score is high because the tweet contains a verifiable factual claim that could have a significant impact on public health, and it should be fact-checked by a professional fact-checker to ensure the accuracy and potential harm are accurately assessed."
1235219248903073800,0,0,Prime Minister of Israel Benjamin Netanyahu  @netanyahu  encourages Israelis to adopt the Indian way of greeting #Namaste at a press conference to mitigate the spread of #coronavirus,"1. The tweet contains a verifiable factual claim. The claim is that Prime Minister of Israel Benjamin Netanyahu encouraged Israelis to adopt the Indian way of greeting #Namaste. This is a statement of fact that can be verified by checking news reports or videos of the press conference.2. It is unlikely that the tweet contains false information. The tweet is simply reporting a statement made by the Prime Minister, and there is no reason to believe that he did not make the statement.3. The tweet is not likely to be harmful to society, companies or products. The tweet is about a greeting and does not contain any false or harmful information.4. Based on the previous tasks, the tweet does not need to be fact-checked by a professional fact-checker. The tweet is a simple statement of fact that can be verified by checking news reports or videos of the press conference.5. The tweet has a checkworthiness score of 0. This score reflects the fact that the tweet is a simple statement of fact that does not require fact-checking by a professional fact-checker."
1234979421464879105,1,90,Dear  @realDonaldTrump : You knew about #Covid_19 in January. It is March and your Administration still does not have enough test kits. That is unconscionable and a dereliction of duty.  Stop minimizing the #CoronaOutbreak and start leading. Lives are at stake. <link>,"The tweet contains a verifiable factual claim about the Administration's response to the pandemic, which could have significant harm to society if it is not addressed. The tweet should be fact-checked by a professional fact-checker to verify the claim about the availability of test kits in January and March."
