tweet_id,check_worthiness,score,tweet_text,reasoning
1234964653014384644,1,0.0,"Since this will never get reported by the media, I wanted to share a copy of this check.  @realDonaldTrump  is once again donating his salary back to the United States Government  — This quarter, it will be donated to  @HHSGov  to confront, contain, and combat #Coronavirus. Flag of United StatesFlag of United States","The tweet contains no verifiable factual claim. It is simply a statement of intent by the President to donate his salary to the US government and a statement of the intended recipient of the donation. There is no claim of a specific amount, no claim of a past or future event, and no claim of a causal relationship. Therefore, it is not check-worthy."
1235445761195696131,1,0.0,"We are eight weeks into this #COVID19 outbreak: yet we have identified the virus, we have the genetic sequence, PCR & serological assay in use. This wealth of knowledge is unprecedented for a new disease.  #coronavirus <link>","The sentence does not contain a verifiable factual claim. It is an opinion and a statement about the progress of research on COVID-19. While it may be true that we have identified the virus, have the genetic sequence, and have PCR and serological assays in use, it is not a factual claim that this is unprecedented for a new disease. The sentence does not provide any specific information that can be fact-checked."
1237437567395606530,1,0.0,"corona lowering gas prices and flights, and not fuckin w my black people? God showing out","The sentence is an expression of opinion and emotion, and does not contain a verifiable factual claim."
1237532838930477057,1,0.0,"why the western countries failed in this situation. every countries thought it wasn’t that serious and then boom so proud of taiwan, you did really well and deserve worldwide support. #COVID19 #Corona https://t.co/6Y8ibbPqzJ","The tweet is not check-worthy as it is an opinion and does not contain a verifiable factual claim. It is not clear what situation the tweet is referring to, and there is no evidence provided to support the claim that 'every country' thought it wasn't serious. The tweet also does not provide any specific information about Taiwan or the worldwide support it has received."
1237383985258323969,1,20.0,"Price of a #COVID19 testing kit Imported: P8,500 UP-made: P1,320 #SalamatUP","The sentence does not contain a clear factual claim. It only mentions prices of COVID-19 testing kits, which are not verifiable without additional context. The prices mentioned in the sentence could be accurate or not, and there is no way to determine that without further investigation. Additionally, the sentence does not appear to contain false information, and it is not clear how it could have an impact on the general public or be harmful to anyone. Therefore, the score is set to 20, which indicates a low check-worthiness."
1237048775526547456,1,10.0,"SEEN IN KIGALI: To prevent the risk of #Coronavirus outbreak, passengers at the Kigali Bus Park have to wash their hands before getting onto buses. #Rwanda has recorded NO case of the epidemic but the country has stepped up vigilance. https://t.co/tb7cfUNj7K","The tweet mentions a factual claim that passengers at the Kigali Bus Park have to wash their hands before getting onto buses. This claim is verifiable and can be checked by visiting the bus park or contacting the relevant authorities. The tweet also mentions that Rwanda has recorded no cases of the coronavirus epidemic, which is also a factual claim that can be checked by referring to reliable sources such as the World Health Organization or the Rwandan Ministry of Health. The tweet does not contain any false information and is not harmful to the society, certain people, companies or products. Therefore, the tweet is check-worthy and deserves a high score."
1237425945012813824,1,0.0,".@realDonaldTrump is working to stop the spread of #coronavirus and keep Americans safe. Meanwhile, House Democrats are bringing the #NoBanAct to the floor, which would hinder @POTUS from using his authority to restrict travel, like he's done to prevent the spread of #COVID19.","The sentence does not contain a verifiable factual claim. It is an opinionated statement about the actions of two different entities, and it does not provide any specific facts that can be verified."
1237109798971355137,1,0.0,Looks like the corona virus is antiblack and I’m okay with that https://t.co/CMwiAIeaz6,This tweet does not contain a verifiable factual claim. It is an expression of opinion and does not provide any information that can be fact-checked.
1236473220783636481,1,0.0,"THREAD: On #Coronavirus, we may be entering a period of accelerating cases. The country could look very different over next two weeks. We’ll get through this, but need to take steps now to limit the scope and impact of virus. There are things we can do now to help ourselves. 1/n","The tweet is not making a factual claim, it is expressing an opinion and a call to action. It is not check-worthy."
1236100103917756416,1,0.0,"Corona Virus Pro Tip: If you mix Emergen-C with Vodka you literally cannot get sick, it’s actually science",There is no scientific evidence to support the claim that mixing Emergen-C with vodka can prevent or cure COVID-19. This is a common myth and has been debunked by health organizations.
1236937893798707201,1,0.0,"I wanted detailed Covid-19 data, but had a hard time finding numbers without accompanying media bias. I collected it myself, and am sharing here. In this thread: - Incubation Time - Symptom Occurrence - Transmission Rates - First 20 US cases by date and location (cont'd)","This tweet is not check-worthy. The tweet is not making a factual claim, but rather stating an intention to share information. The information being shared is not verifiable, as it is the author's own collected data. Additionally, there is no indication that the information could be harmful to the public or have a significant impact on society. Therefore, the score is 0."
1236887326753574912,1,20.0,"Look at the hospitals diagnosing COVID-19. St. Luke's, Cardinal, Makati Med, Medical City. COVID-19 isn't just purely a health issue. There is a strong class problem as well. Pag-mayaman, COVID. Pag-mahirap, ubo at sore throat lang.","The sentence mentions hospitals diagnosing COVID-19, which is a factual claim. However, the second part of the sentence is an opinionated statement about the socio-economic class problem related to COVID-19. While this statement may be true, it is not a verifiable fact and does not directly impact the accuracy of the first part of the sentence. Therefore, the check-worthiness score is relatively low."
1236911237922836480,1,0.0,COVID-19 Outbreak Donations Chanyeol- 50million KRW Yixing- 20million KRW + 100k RMB + 296k masks Jongin- 50million KRW Junmyeon- 50million KRW Baekhyun- 50million KRW EXO-L- 12.48million KRW Let's always remember to choose kindness and love. ❤️✨ #EXO @weareoneEXO #엑소 https://t.co/WnsKah02Nk,"The tweet is not check-worthy as it does not contain a verifiable factual claim. It is a message of encouragement and support for the COVID-19 relief efforts, and the amounts mentioned are donations made by individuals and the group EXO to various causes. These amounts are not verifiable and do not need to be fact-checked."
