tweet_id,check_worthiness,score,tweet_text,reasoning
1234964653014384644,1,10.0,"Since this will never get reported by the media, I wanted to share a copy of this check.  @realDonaldTrump  is once again donating his salary back to the United States Government  — This quarter, it will be donated to  @HHSGov  to confront, contain, and combat #Coronavirus. Flag of United StatesFlag of United States","The tweet contains a verifiable factual claim, but it is not likely to be false or harmful to society. Therefore, it does not warrant fact-checking by a professional fact-checker."
1234869939720216578,0,90,"Thanks, #MichaelBloomberg. Here’s a handy little (unintentional) demo on the way to spread #coronavirus by the most clueless person in America: touch community food as much as you can with your saliva-soaked fingers.  #MiniMikeBloomberg #DroolingBloomberg","1. The tweet contains a verifiable factual claim. The tweet mentions a person, Michael Bloomberg, and implies that he touched food with his saliva-soaked fingers. This is a verifiable factual claim because it can be proven or disproven by checking if there is video evidence of Michael Bloomberg touching food with his saliva-soaked fingers.2. The tweet is likely to contain false information. The tweet implies that Michael Bloomberg touched food with his saliva-soaked fingers, but there is no evidence provided in the tweet to support this claim. Additionally, the tweet uses the hashtag ""#DroolingBloomberg,"" which suggests that the tweet is biased against Michael Bloomberg and may not be presenting the facts accurately.3. The tweet could be harmful to Michael Bloomberg's reputation. If the claim in the tweet is false, it could damage Michael Bloomberg's reputation and harm his chances in the presidential election.4. Based on the previous tasks, the tweet should be fact-checked by a professional fact-checker. The tweet contains a verifiable factual claim, is likely to contain false information, and could be harmful to Michael Bloomberg's reputation. Therefore, it is important for a professional fact-checker to verify the claim and determine if it is true or false.5. The checkworthiness score for the tweet is 90 out of 100. The tweet contains a verifiable factual claim, is likely to contain false information, and could be harmful to Michael Bloomberg's reputation. Therefore, it is a high priority for a professional fact-checker to verify the claim and determine if it is true or false."
1234873136304267267,0,90,"Folks, when you say ""The corona virus isn't a big deal, it only kills the disabled, elderly, chornically-ill, and immunocompromised,"" the implication is that those people are expendable.  Please be more careful.","1. The tweet contains a verifiable factual claim. The tweet is stating that the coronavirus only kills certain groups of people, specifically the disabled, elderly, chronically-ill, and immunocompromised. This is a factual claim because it can be verified by looking at the data of who has died from the virus.2. The tweet is likely to contain false information. The claim that the coronavirus only kills certain groups of people is not entirely accurate. While it is true that these groups are at a higher risk of dying from the virus, it is not true that it only kills them. The virus can also be deadly to healthy individuals, especially if they develop severe symptoms and require hospitalization.3. The tweet could be harmful to society, companies, or products. The tweet could be harmful because it downplays the severity of the virus and implies that certain groups of people are expendable. This could lead to a lack of caution and preventative measures being taken, which could result in the virus spreading further and more people becoming infected.4. Based on the previous tasks, the tweet should be fact-checked by a professional fact-checker. The tweet contains a factual claim that is likely to be false and could be harmful to society. Therefore, it is important that a professional fact-checker verifies the claim to ensure that the public is not misinformed.5. The checkworthiness score for the tweet is 90 out of 100. The tweet contains a factual claim that is likely to be false and could be harmful to society. Therefore, it is important that a professional fact-checker verifies the claim to ensure that the public is not misinformed. The score is slightly lower than 100 because the claim is not explicitly stating that the virus only kills certain groups of people, but rather implies it."
1235071285027147776,0,90,Just 1 case of Corona Virus in India and  people are crazy  for masks!! Daily 400 people die in road crashes & still no craze for HelmetsThinking face  #safetysaves  be it virus or road crashes!,"The tweet contains false information and has the potential to cause harm to society. The claim that there is just one case of Corona Virus in India is not accurate as of March 16, 2020. The number of cases in India is higher than one. The claim that 400 people die in road crashes daily is also not accurate. The number of deaths due to road crashes varies daily and is not a fixed number. The tweet downplays the severity of the Corona Virus and may discourage people from taking necessary precautions to prevent the spread of the virus."
1234911110861594624,1,20,"President  @realDonaldTrump  made a commitment to donate his salary while in office. Honoring that promise and to further protect the American people, he is donating his 2019 Q4 salary to  @HHSGov  to support the efforts being undertaken to confront, contain, and combat #Coronavirus.","Answer:1. The tweet contains a verifiable factual claim because it mentions a specific action taken by the President, the donation of his salary, and the recipient of the donation, the HHSGov.2. The tweet is likely to contain true information because it is a statement made by the official Twitter account of the White House, which is a reliable source.3. The tweet is not likely to be harmful to society, companies or products because it is a positive action taken by the President to combat the coronavirus.4. Based on the previous tasks, the tweet does not need to be fact-checked by a professional fact-checker because it is a statement made by a reliable source and it is not likely to contain false information.5. The checkworthiness score for this tweet is 20 out of 100 because it is a statement made by a reliable source and it is not likely to contain false information, so it does not require fact-checking by a professional fact-checker."
1234685467682979840,0,85,"I live in Seattle, I have all symptoms of COVID-19 and have a history of chronic bronchitis.   Since I work in a physical therapy clinic with many 65+ patients and those with chronic illnesses, I decided to be responsible and go to get tested. This is how that went.","1. The tweet contains a verifiable factual claim. The user claims to have all the symptoms of COVID-19 and a history of chronic bronchitis, and that they went to get tested. These claims can be verified by checking medical records.2. The tweet is likely to contain false information. The user claims to have all the symptoms of COVID-19, but it is not specified if they have been diagnosed by a medical professional. Additionally, the user claims to have gone to get tested, but it is not specified if the test was positive or negative.3. The tweet could be harmful to society, companies or products. The user is a physical therapy clinic worker and has a history of chronic bronchitis, which puts them at a higher risk of complications if they contract COVID-19. If the user is indeed infected, they could spread the virus to their patients, who are mostly elderly or have chronic illnesses, putting them at risk as well.4. Based on the previous tasks, the tweet should be fact-checked by a professional fact-checker. The user's claims about their symptoms and test results need to be verified to ensure the accuracy of the information.5. The checkworthiness score for this tweet is 85 out of 100. The user's claims about their symptoms and test results have the potential to cause harm to society, and therefore, it is important that a professional fact-checker verifies the information."
1235024875279933440,0,0,"my dad said ""why don't they just cure corona virus"" and i told him it reminded me of this home movies clip","The tweet does not contain any verifiable factual claims, it is not likely to contain false information, and it is not likely to be harmful. Therefore, it does not require fact-checking by a professional fact-checker."
1235083359501430789,0,80,"Experts across the world have advised to reduce mass gatherings to avoid the spread of COVID-19 Novel Coronavirus. Hence, this year I have decided not to participate in any Holi Milan programme.","Answer:1. The tweet contains a verifiable factual claim. The claim is that experts across the world have advised to reduce mass gatherings to avoid the spread of COVID-19 Novel Coronavirus. This claim can be verified by checking the statements made by experts and health organizations.2. The tweet is likely to contain true information. The claim that experts have advised to reduce mass gatherings to avoid the spread of COVID-19 Novel Coronavirus is a well-known fact that has been widely reported in the media.3. The tweet could be harmful to society if it contains false information. If the claim that experts have advised to reduce mass gatherings is false, it could lead to people ignoring the advice and participating in mass gatherings, which could contribute to the spread of the virus.4. Based on the previous tasks, the tweet should be fact-checked by a professional fact-checker. The claim that experts have advised to reduce mass gatherings is a significant claim that could have an impact on public health. It is important to verify the claim to ensure that it is true and to provide accurate information to the public.5. The checkworthiness score for the tweet is 80 out of 100. The tweet contains a verifiable factual claim that is significant and could have an impact on public health. The claim is likely to be true, but it is important to verify it to ensure that it is accurate."
1235219248903073800,0,60,Prime Minister of Israel Benjamin Netanyahu  @netanyahu  encourages Israelis to adopt the Indian way of greeting #Namaste at a press conference to mitigate the spread of #coronavirus,"The tweet contains verifiable factual claims and is appropriate for fact-checking, but it does not contain any information that is particularly harmful or likely to be false."
1234979421464879105,1,90,Dear  @realDonaldTrump : You knew about #Covid_19 in January. It is March and your Administration still does not have enough test kits. That is unconscionable and a dereliction of duty.  Stop minimizing the #CoronaOutbreak and start leading. Lives are at stake. <link>,"1. The tweet contains a verifiable factual claim. The claim is that the user @realDonaldTrump knew about Covid-19 in January and that the Administration still does not have enough test kits in March.2. The tweet is likely to contain false information. The claim that the user @realDonaldTrump knew about Covid-19 in January is not verified and requires evidence to support it. Additionally, the claim that the Administration still does not have enough test kits in March is not verified and requires evidence to support it.3. The tweet could be harmful to society. The tweet implies that the user @realDonaldTrump is not taking appropriate actions to address the Covid-19 outbreak, which could cause harm to society.4. Based on the previous tasks, the tweet should be fact-checked by a professional fact-checker. The claims in the tweet are not verified and require evidence to support them. Additionally, the tweet could be harmful to society.5. The checkworthiness score for the tweet is 90 out of 100. The tweet contains verifiable factual claims and could be harmful to society, making it a high priority for fact-checking by a professional fact-checker."
