tweet_id,check_worthiness,score,tweet_text,reasoning,raw_response
1234964653014384644,1,80.0,"Since this will never get reported by the media, I wanted to share a copy of this check.  @realDonaldTrump  is once again donating his salary back to the United States Government  — This quarter, it will be donated to  @HHSGov  to confront, contain, and combat #Coronavirus. Flag of United StatesFlag of United States","This tweet contains a factual claim about Donald Trump donating his salary, which is likely to be true or false and could have an impact on the public's perception of the government's response to the coronavirus."," {""score"": 80, ""reasoning"": ""This tweet contains a factual claim about Donald Trump donating his salary, which is likely to be true or false and could have an impact on the public's perception of the government's response to the coronavirus.""}"
1234869939720216578,0,80,"Thanks, #MichaelBloomberg. Here’s a handy little (unintentional) demo on the way to spread #coronavirus by the most clueless person in America: touch community food as much as you can with your saliva-soaked fingers.  #MiniMikeBloomberg #DroolingBloomberg",," {""score"": 80, ""reasoning"": ""This tweet contains a factual claim about Michael Bloomberg spreading the coronavirus through his saliva, which is likely to be false and could harm his reputation. Additionally, the claim has the potential to impact the general public's perception of Bloomberg and"
1234873136304267267,0,0,"Folks, when you say ""The corona virus isn't a big deal, it only kills the disabled, elderly, chornically-ill, and immunocompromised,"" the implication is that those people are expendable.  Please be more careful.","This tweet does not contain a factual claim, only a recommendation to other people."," {""score"": 0, ""reasoning"": ""This tweet does not contain a factual claim, only a recommendation to other people.""}This tweet does not contain a verifiable factual claim, but rather a recommendation and an implication. The tweet does not contain any information that can"
1235071285027147776,0,70,Just 1 case of Corona Virus in India and  people are crazy  for masks!! Daily 400 people die in road crashes & still no craze for HelmetsThinking face  #safetysaves  be it virus or road crashes!,," {""score"": 70, ""reasoning"": ""This tweet contains a factual claim about the number of COVID-19 cases in India and a comparison to the number of road crash fatalities. While the claim about the number of COVID-19 cases in India is likely to be accurate, the"
1234911110861594624,1,80,"President  @realDonaldTrump  made a commitment to donate his salary while in office. Honoring that promise and to further protect the American people, he is donating his 2019 Q4 salary to  @HHSGov  to support the efforts being undertaken to confront, contain, and combat #Coronavirus.",," {""score"": 80, ""reasoning"": ""This tweet contains a factual claim about Donald Trump donating his salary, which is a significant statement that could be of interest to the general public. While there is no obvious reason to believe that the claim is false, it is worth fact-checking"
1234685467682979840,0,0,"I live in Seattle, I have all symptoms of COVID-19 and have a history of chronic bronchitis.   Since I work in a physical therapy clinic with many 65+ patients and those with chronic illnesses, I decided to be responsible and go to get tested. This is how that went.","This tweet does not contain a verifiable factual claim. It is a personal anecdote about the tweet author's experience getting tested for COVID-19, and does not make any claims that can be fact-checked."," {""score"": 0, ""reasoning"": ""This tweet does not contain a verifiable factual claim. It is a personal anecdote about the tweet author's experience getting tested for COVID-19, and does not make any claims that can be fact-checked.""}"
1235024875279933440,0,0,"my dad said ""why don't they just cure corona virus"" and i told him it reminded me of this home movies clip","This tweet does not contain a verifiable factual claim, but rather a conversation between the author and their father about a personal experience."," {""score"": 0, ""reasoning"": ""This tweet does not contain a verifiable factual claim, but rather a conversation between the author and their father about a personal experience.""}"
1235083359501430789,0,80,"Experts across the world have advised to reduce mass gatherings to avoid the spread of COVID-19 Novel Coronavirus. Hence, this year I have decided not to participate in any Holi Milan programme.",," {""score"": 80, ""reasoning"": ""This tweet contains a factual claim about the user's decision not to participate in Holi Milan programs due to the advice of experts about COVID-19. This claim has the potential to be false or misleading, as there may be other reasons"
1235219248903073800,0,70,Prime Minister of Israel Benjamin Netanyahu  @netanyahu  encourages Israelis to adopt the Indian way of greeting #Namaste at a press conference to mitigate the spread of #coronavirus,"This tweet contains a factual claim about the Israeli Prime Minister endorsing a specific way of greeting, which could have an impact on the general public and could be harmful to certain businesses or practices."," {""score"": 70, ""reasoning"": ""This tweet contains a factual claim about the Israeli Prime Minister endorsing a specific way of greeting, which could have an impact on the general public and could be harmful to certain businesses or practices.""}"
1234979421464879105,1,80,Dear  @realDonaldTrump : You knew about #Covid_19 in January. It is March and your Administration still does not have enough test kits. That is unconscionable and a dereliction of duty.  Stop minimizing the #CoronaOutbreak and start leading. Lives are at stake. <link>,," {""score"": 80, ""reasoning"": ""This tweet contains a factual claim about the availability of COVID-19 test kits in the United States, which has been a topic of controversy and could be false. The claim could have a significant impact on the public's perception of the government"
1235185048078278657,0,0,Safety always comes first. Do not panic and stay safe. #CoronaAlert <link>,"This tweet does not contain a factual claim, only a general recommendation to stay safe which is not check-worthy."," {""score"": 0, ""reasoning"": ""This tweet does not contain a factual claim, only a general recommendation to stay safe which is not check-worthy.""}"
