tweet_id,check_worthiness,score,tweet_text,reasoning,raw_response
1234964653014384644,1,70,"Since this will never get reported by the media, I wanted to share a copy of this check.  @realDonaldTrump  is once again donating his salary back to the United States Government  — This quarter, it will be donated to  @HHSGov  to confront, contain, and combat #Coronavirus. Flag of United StatesFlag of United States",," {""score"": 70,""reasoning"": ""The tweet contains a verifiable factual claim about a current event, specifically that Donald Trump is donating his salary to the Department of Health and Human Services to combat the coronavirus. While it is not necessarily harmful or impactful, it"
1234869939720216578,0,70,"Thanks, #MichaelBloomberg. Here’s a handy little (unintentional) demo on the way to spread #coronavirus by the most clueless person in America: touch community food as much as you can with your saliva-soaked fingers.  #MiniMikeBloomberg #DroolingBloomberg",," {""score"": 70,""reasoning"": ""This tweet contains a potentially verifiable claim about Michael Bloomberg's actions, which could be harmful to the public if they involve spreading disease. However, the claim is somewhat subjective and may not be easily verifiable by a fact-"
1234873136304267267,0,80,"Folks, when you say ""The corona virus isn't a big deal, it only kills the disabled, elderly, chornically-ill, and immunocompromised,"" the implication is that those people are expendable.  Please be more careful.",," {""score"": 80,""reasoning"": ""The tweet contains a factual claim about which groups of people are at a higher risk of complications or death from COVID-19. While it is true that older adults, people with underlying medical conditions, and those with weakened immune"
1235071285027147776,0,70,Just 1 case of Corona Virus in India and  people are crazy  for masks!! Daily 400 people die in road crashes & still no craze for HelmetsThinking face  #safetysaves  be it virus or road crashes!,," {""score"": 70,""reasoning"": ""This tweet contains a verifiable factual claim about the number of COVID-19 cases in India and compares it to the number of road crash fatalities in the country. The claim about the number of road crash fatalities can be"
1234911110861594624,1,70,"President  @realDonaldTrump  made a commitment to donate his salary while in office. Honoring that promise and to further protect the American people, he is donating his 2019 Q4 salary to  @HHSGov  to support the efforts being undertaken to confront, contain, and combat #Coronavirus.",," {""score"": 70,""reasoning"": ""The tweet makes a specific claim about President Trump donating his salary to support efforts against the coronavirus. While this claim is likely true, given the president's past statements and actions, it is still worth fact-checking to verify"
1234685467682979840,0,70,"I live in Seattle, I have all symptoms of COVID-19 and have a history of chronic bronchitis.   Since I work in a physical therapy clinic with many 65+ patients and those with chronic illnesses, I decided to be responsible and go to get tested. This is how that went.",," {""score"": 70,""reasoning"": ""The tweet contains a first-hand account of a person who believes they have COVID-19 symptoms and have taken responsibility by getting tested. While this is commendable, the tweet could still be check-worthy due to the following"
1235024875279933440,0,0,"my dad said ""why don't they just cure corona virus"" and i told him it reminded me of this home movies clip",," {""score"": 0,""reasoning"": ""The tweet does not contain a verifiable factual claim. It is a conversation between the user and their father about the coronavirus, and the user's response is a reference to a home movie clip. There is no factual claim that"
1235083359501430789,0,70,"Experts across the world have advised to reduce mass gatherings to avoid the spread of COVID-19 Novel Coronavirus. Hence, this year I have decided not to participate in any Holi Milan programme.",," {""score"": 70,""reasoning"": ""The tweet contains a verifiable claim about experts advising to reduce mass gatherings to prevent the spread of COVID-19. However, the claim about the specific actions taken by the person in response to the advice is not check-worthy"
1235219248903073800,0,70,Prime Minister of Israel Benjamin Netanyahu  @netanyahu  encourages Israelis to adopt the Indian way of greeting #Namaste at a press conference to mitigate the spread of #coronavirus,," {""score"": 70, ""reasoning"": ""The tweet makes a verifiable claim about the Israeli Prime Minister endorsing a specific action, the Indian way of greeting #Namaste, to mitigate the spread of coronavirus. This claim, if false, could have an impact on public"
1234979421464879105,1,90,Dear  @realDonaldTrump : You knew about #Covid_19 in January. It is March and your Administration still does not have enough test kits. That is unconscionable and a dereliction of duty.  Stop minimizing the #CoronaOutbreak and start leading. Lives are at stake. <link>,," {""score"": 90,""reasoning"": ""The tweet contains a verifiable factual claim about the current state of the COVID-19 pandemic and the Trump Administration's response to it. The claim that the Administration'still does not have enough test kits' is check"
