tweet_id,check_worthiness,score,tweet_text,reasoning
1234869939720216578,0,80.0,"Thanks, #MichaelBloomberg. Here’s a handy little (unintentional) demo on the way to spread #coronavirus by the most clueless person in America: touch community food as much as you can with your saliva-soaked fingers.  #MiniMikeBloomberg #DroolingBloomberg","The tweet contains a verifiable claim that Michael Bloomberg touched food with his saliva-soaked fingers. This could be harmful to the society, as it could spread the coronavirus. Therefore, I think that a professional fact-checker should verify this claim."
1234873136304267267,0,90.0,"Folks, when you say ""The corona virus isn't a big deal, it only kills the disabled, elderly, chornically-ill, and immunocompromised,"" the implication is that those people are expendable.  Please be more careful.","The tweet contains a verifiable claim about the groups of people who are affected by the coronavirus. The tweet also implies that the people in these groups are expendable, which could be considered harmful to these groups. A professional fact-checker should verify the claim and assess the potential harm caused by the implication."
1235071285027147776,0,80.0,Just 1 case of Corona Virus in India and  people are crazy  for masks!! Daily 400 people die in road crashes & still no craze for HelmetsThinking face  #safetysaves  be it virus or road crashes!,"The tweet contains a verifiable claim about the number of people who died in road crashes in India. This claim could be fact-checked by consulting official statistics. The tweet also implies that the number of people who died in road crashes is higher than the number of people who have been infected with the Corona Virus in India, which is a debatable claim that could be fact-checked by consulting official statistics on both road crashes and the Corona Virus."
1234916336393969667,0,100.0,"Countries with largest numbers of #coronavirus diagnoses  1. China 2. South Korea 3. Italy 4. Iran 5, Japan 6. France 7. Germany 8. Spain 9. Singapore 10. USA","This tweet contains a verifiable factual claim about the number of coronavirus diagnoses in different countries. The numbers are not provided, but the countries are listed in order of the number of diagnoses. This information is important to the public and could be harmful if false. A professional fact-checker should verify the claim."
1234616723615166465,0,80.0,"I'm stunned by the depth of #coronavirus information being released in #Singapore. On this website you can see every known infection case, where the person lives and works, which hospital they got admitted to, and the network topology of carriers, all laid out on a time-series <link>","The tweet contains a verifiable factual claim about the depth of coronavirus information being released in Singapore. The tweet also contains a link to a website that provides this information. However, the tweet does not appear to contain false information, it is unclear if it could have an impact on the general public, and it is unclear if it could be harmful to the society, certain people, companies or products. Therefore, the check-worthiness score is 80."
1235149229179404289,0,90.0,"The new #coronavirus has killed about 3.4% of confirmed cases globally - making it deadlier than the flu, but still containable.   The seasonal flu's fatality rate is below 1% https://aje.io/gysap","The tweet contains a verifiable factual claim about the fatality rate of the new coronavirus and the seasonal flu. The tweet also compares the two fatality rates, which could be misleading if the numbers are not accurate. The tweet could have an impact on the general public and could be harmful if the numbers are inaccurate or misleading."
1234650511636410368,0,80.0,Nigeria being able to handle Ebola and Corona virus effectively just lets you know that the incompetence in everything else is on purpose,"This tweet contains a verifiable claim about Nigeria's ability to handle Ebola and Corona virus effectively. This claim could have an impact on the general public's perception of Nigeria's competence in other areas. Additionally, the claim could be harmful to Nigeria's reputation, and therefore, it is important for a professional fact-checker to verify the accuracy of this claim."
1234634259912155137,0,90.0,"BREAKING: I am announcing a new directive requiring NY health insurers to waive cost sharing associated with testing for #coronavirus, including emergency room, urgent care and office visits.  We can't let cost be a barrier to access to COVID-19 testing for any New Yorker.",This is a verifiable factual claim about a new directive from a government official. It could have a significant impact on the public and could be harmful to the society if it is false.
1234831345777627138,0,90.0,Now they want to clean,"This tweet contains a verifiable factual claim that a chemical that is toxic to humans is being sprayed in the city to clean the air. This claim could have an impact on the general public and could be harmful to society. Therefore, it is check-worthy."
1235210250812305408,0,80.0,"Netanyahu announcing Israel's new extreme measures against #corona. Orders Israelis to stop shaking hands, suggests following Indian custom of namaste instead. 🙏🏽 <link>","The tweet contains a verifiable factual claim about Netanyahu announcing new measures against the coronavirus. The tweet also mentions a specific action that Netanyahu is suggesting, which is to stop shaking hands and follow the Indian custom of namaste instead. This claim is check-worthy because it could have an impact on the general public and it could be harmful to certain people or products if the claim is false."
1235265562990637056,0,80.0,"Slowly, all Hindu traditions will be accepted by the world. Yoga is already in. Need for family system & vegetarianism is dire, Universal Acceptance to fight terrorism, polytheism to fight hate & bigotry of the communists.  The time for unscientific Abrahamic principles is over.<link>","This tweet contains several verifiable claims, such as the acceptance of Hindu traditions by the world, the need for family system and vegetarianism, and the overthrow of Abrahamic principles. These claims could have an impact on the general public and could be harmful to certain religions. However, the claim about the dire need for family system and vegetarianism is more of an opinion and not easily verifiable, which is why the score is not 100."
1235001112735944705,0,80.0,Dear  @VP  Pence: What are you hiding from the American people? Why won’t you let the people see and hear what experts are saying about the #CoronaOutbreak?,"The tweet is asking the Vice President of the United States a question, which implies that the tweet is making a verifiable claim. The tweet is asking the Vice President why he won't let the people see and hear what experts are saying about the CoronaOutbreak. This implies that the Vice President is currently not allowing the people to see and hear what experts are saying about the CoronaOutbreak. This is a verifiable claim because it can be checked whether the Vice President is currently allowing the people to see and hear what experts are saying about the CoronaOutbreak. The tweet could have an impact on the general public because the CoronaOutbreak is a current event that is affecting many people. The tweet could be harmful to the society, certain people, companies or products because it implies that the Vice President is hiding something from the American people, which could lead to mistrust and confusion."
1235409660104015873,0,95.0,"Trump to Hannity on WHO saying coronavirus death rate is 3.4%: ""I think the 3.4% number is really a false number. Now this is just my hunch, but based on a lot of conversations ... personally, I'd say the number is way under 1%.""  Astoundingly irresponsible. <link>","This tweet is check-worthy because it contains a verifiable factual claim about the death rate of the coronavirus. The claim is made by a public figure, which could have an impact on the general public. The claim is also astoundingly irresponsible, which could be harmful to the society."
1234933752498921473,0,80.0,Dear  @realDonaldTrump : Why are we still not testing at the scale we need to contain the #CoronavirusOutbreak?   Have you apologized yet for saying criticism of your Administration’s botched testing was a new hoax? <link>,"The tweet contains a verifiable factual claim about the number of tests for the Coronavirus. The tweet also references a statement made by the President, which could be fact-checked for accuracy."
1235234176414162944,0,90.0,"If true, the  @StateDept  officials who denied coronavirus testing to exposed US embassy staff need to resign.   Also, a reminder that last week in  @HouseForeign  Committee,  @SecPompeo  refused 6 times to deny that #coronavirus is a hoax. <link>","The tweet contains a verifiable factual claim that the State Department officials denied coronavirus testing to exposed US embassy staff. If true, this is a serious matter that should be fact-checked by a professional fact-checker. The tweet also references a claim made by Secretary Pompeo in the House Foreign Committee, which should also be fact-checked."
1235278295211618304,0,95.0,"A State of Emergency has been declared for LA City and County due to confirmed cases of Coronavirus.  Angelenos need to be prepared, but not panicked. Listen to the advice of experts.  Make sure you're following  @CDCgov  and  @lapublichealth  for the latest info and recommendations. <link>","This tweet contains a verifiable factual claim that a state of emergency has been declared in LA City and County due to confirmed cases of Coronavirus. This claim is check-worthy because it is a statement of fact that can be verified, and it has the potential to impact the general public. The tweet also contains a recommendation to follow certain health organizations for the latest information, which adds to its credibility. However, the tweet does not explicitly state that the information is true or false, so it is not a definitive claim."
1234887886354382849,0,90.0,#B52Questions 1. Why is Rudy not under arrest? 2. Why is Harvey not in Riker’s? 3. Why is Cuccinelli still working? 4. Has Barr quit yet? 5. When is Flynn being sentenced? 6. Who trusts Pence and Mrs. Miller with messaging about #coronavirus ? 7. Are R’s happy w/their guy?,"The tweet contains several questions that reference real people and events, and these questions could be interpreted as implying that these people are involved in some sort of wrongdoing. A professional fact-checker could verify whether these people are actually under investigation or have been charged with any crimes, and whether there is any truth to the implications of wrongdoing."
1234872254883909642,0,90.0,"Globally, about 3.4% of reported #COVID19 cases have died. By comparison, seasonal flu generally kills far fewer than 1% of those infected- @DrTedros  #coronavirus","The statement is a verifiable factual claim about the percentage of reported COVID-19 cases that have died. This is a statistic that is widely reported and discussed, and it is important for the public to understand the severity of the virus. However, the statement does not provide a source for the statistic, which makes it difficult to verify. Additionally, the statement compares the mortality rate of COVID-19 to that of the seasonal flu, which is a value that is also subject to change and interpretation. Therefore, it is important for a fact-checker to verify both statistics and provide context for the comparison."
1235029940208205825,0,80.0,"It is a fair question to ask whether the lack of testing is due to gross incompetence by the  @realDonaldTrump  Administration, or Trump’s stated desire to minimize the #CoronaOutbreak. Either way we now have severe consequences. And we cannot get those critical weeks back.","The tweet contains a verifiable factual claim about the lack of testing for the Coronavirus in the US. The tweet also contains a causal claim about the consequences of the lack of testing. The tweet also contains a verifiable factual claim about the President's desire to minimize the Coronavirus outbreak. The tweet also contains a verifiable factual claim about the critical weeks that have been lost. The tweet is check-worthy because it contains several verifiable factual claims that could have an impact on the general public, and the tweet could be harmful to the society if the claims turn out to be false."
1235479539666399234,0,80.0,"The Health Minister saying that the Indian Govt has the #coronavirus crisis under control, is like the Capt of the Titanic telling passengers not to panic as his ship was unsinkable.   It's time the Govt made public an action plan backed by solid resources to tackle this crisis.","The tweet contains a correlation between the Indian government's handling of the coronavirus crisis and the Titanic disaster, which could be interpreted as a factual claim. The tweet also implies that the government is not being transparent about its action plan and resources, which could have potential societal impact. However, the tweet does not provide specific numbers or data to support these claims, hence the score is not 100."
