tweet_id,check_worthiness,score,tweet_text,reasoning
1234964653014384644,1,80.0,"Since this will never get reported by the media, I wanted to share a copy of this check.  @realDonaldTrump  is once again donating his salary back to the United States Government  — This quarter, it will be donated to  @HHSGov  to confront, contain, and combat #Coronavirus. Flag of United StatesFlag of United States","This tweet is check-worthy because it is a verifiable factual claim that the President of the United States is donating his salary to the Department of Health and Human Services to combat the Coronavirus. This claim could have an impact on the general public and could be harmful to the society if it is false. However, I am not sure if this claim is false or not, so I am not giving it a full 100."
1234869939720216578,0,80.0,"Thanks, #MichaelBloomberg. Here’s a handy little (unintentional) demo on the way to spread #coronavirus by the most clueless person in America: touch community food as much as you can with your saliva-soaked fingers.  #MiniMikeBloomberg #DroolingBloomberg","The tweet contains a verifiable claim that Michael Bloomberg touched food with his saliva-soaked fingers. This could be harmful to the society, as it could spread the coronavirus. Therefore, I think that a professional fact-checker should verify this claim."
1234873136304267267,0,90.0,"Folks, when you say ""The corona virus isn't a big deal, it only kills the disabled, elderly, chornically-ill, and immunocompromised,"" the implication is that those people are expendable.  Please be more careful.","The tweet contains a verifiable claim about the groups of people who are affected by the coronavirus. The tweet also implies that the people in these groups are expendable, which could be considered harmful to these groups. A professional fact-checker should verify the claim and assess the potential harm caused by the implication."
1235071285027147776,0,80.0,Just 1 case of Corona Virus in India and  people are crazy  for masks!! Daily 400 people die in road crashes & still no craze for HelmetsThinking face  #safetysaves  be it virus or road crashes!,"The tweet contains a verifiable claim about the number of people who died in road crashes in India. This claim could be fact-checked by consulting official statistics. The tweet also implies that the number of people who died in road crashes is higher than the number of people who have been infected with the Corona Virus in India, which is a debatable claim that could be fact-checked by consulting official statistics on both road crashes and the Corona Virus."
1234911110861594624,1,80.0,"President  @realDonaldTrump  made a commitment to donate his salary while in office. Honoring that promise and to further protect the American people, he is donating his 2019 Q4 salary to  @HHSGov  to support the efforts being undertaken to confront, contain, and combat #Coronavirus.","The tweet contains a verifiable factual claim about the President's salary donation. However, the impact of the donation on the efforts to combat the Coronavirus is not clear, and it is not certain whether the President has the authority to donate the salary in this way."
1234685467682979840,0,0.0,"I live in Seattle, I have all symptoms of COVID-19 and have a history of chronic bronchitis.   Since I work in a physical therapy clinic with many 65+ patients and those with chronic illnesses, I decided to be responsible and go to get tested. This is how that went.",The tweet is a personal experience and does not contain a verifiable factual claim.
1235024875279933440,0,0.0,"my dad said ""why don't they just cure corona virus"" and i told him it reminded me of this home movies clip","The tweet does not contain a verifiable factual claim. The tweet is a conversation between the user and their father, and does not contain any factual claims that can be verified."
1235083359501430789,0,0.0,"Experts across the world have advised to reduce mass gatherings to avoid the spread of COVID-19 Novel Coronavirus. Hence, this year I have decided not to participate in any Holi Milan programme.",The tweet does not contain a verifiable factual claim. It is a personal decision of the user and does not claim anything about the world.
1235219248903073800,0,70.0,Prime Minister of Israel Benjamin Netanyahu  @netanyahu  encourages Israelis to adopt the Indian way of greeting #Namaste at a press conference to mitigate the spread of #coronavirus,"The tweet is check-worthy because it mentions a quantity in the present, the Prime Minister of Israel encouraging Israelis to adopt the Indian way of greeting. This could have an impact on the general public and could be harmful to the society if people stop using the common way of greeting in Israel. However, the tweet does not appear to contain false information, so the score is not 100."
1234979421464879105,1,95.0,Dear  @realDonaldTrump : You knew about #Covid_19 in January. It is March and your Administration still does not have enough test kits. That is unconscionable and a dereliction of duty.  Stop minimizing the #CoronaOutbreak and start leading. Lives are at stake. <link>,"The tweet is check-worthy because it makes a verifiable claim about the actions of the U.S. government in response to the COVID-19 pandemic. The claim that the Trump administration knew about the virus in January and did not have enough test kits in March is a factual claim that can be verified. The tweet also implies that the Trump administration is minimizing the outbreak, which could have an impact on the general public and could be harmful to society. Therefore, it is important for a professional fact-checker to verify this claim."
