tweet_id,check_worthiness,tweet_text,reasoning,MISTRAL_7B_INSTRUCT standard zeroshot_prediction,MISTRAL_7B_INSTRUCT standard fewshot_prediction,MISTRAL_7B_INSTRUCT CoT zeroshot_prediction,MIXTRAL_INSTRUCT standard zeroshot_prediction,MIXTRAL_INSTRUCT standard fewshot_prediction,MIXTRAL_INSTRUCT CoT zeroshot_prediction,MISTRAL_7B_INSTRUCT LORA_prediction
1235355704753557505,0,Have spoken w readers who have elderly relatives who are resisting social distancing precautions because they've heard on Fox News that COVID-19 is overhyped; hospital doctor in red state who says she assumes it must not be that serious since prep is so much less than for H1N1.," {""score"": 85, ""reasoning"": ""The tweet contains claims about the perceived seriousness of COVID-19 based on information from Fox News and a hospital doctor's assumptions in a red state. These claims can be fact-checked by verifying the accuracy of the information being spread on Fox",1.0,1.0,1.0,1.0,1.0,1.0,1.0
1236987681088757760,0,#breakingnews The Ministry of Health today announced that Brunei registered its first positive COVID-19 case. The patient is a 53-year old man who returned to Brunei from Kuala Lumpur on March 3 2020 with three other friends. #borneobulletin More details soon.," {""score"": 100, ""reasoning"": ""The tweet contains a verifiable factual claim about a new COVID-19 case in Brunei, including the age and recent travel history of the patient. This information is important and could have a significant impact on the public, so it is",1.0,1.0,1.0,1.0,1.0,1.0,1.0
1235703439688175618,0,⚠️A nurse—exposed to #coronavirus and SICK in quarantine—hammers @CDCgov for initially REFUSING and then delaying #COVID19 testing.  “What a ridiculous and uneducated response...it’s a public health emergency.”  h/t @Iam_BrookeSmith @NationalNurses https://t.co/DXvzVzYfLs," {""score"": 85, ""reasoning"": ""The tweet contains a claim about the CDC's initial response and delay in COVID-19 testing, which is a verifiable factual claim. The tweet also expresses the opinion of a nurse who was exposed to the virus and sick in",1.0,1.0,1.0,1.0,1.0,1.0,1.0
1236047842776698881,0,"ALERT: The @FTC is warning the public about scammers selling fake cures &amp; treatments, &amp; asking for donations for #COVID19 patients.  🚨 There is NO CURE for the novel #Coronavius. 🚨 Donating to strangers is risky.  Read &amp; share these tips to avoid #scams: https://t.co/jecq5wyRC6"," {""score"": 100, ""reasoning"": ""The tweet contains factual information that there is no cure for COVID-19 and warns against donating to strangers, which could prevent harm to the public. The information is important and could have a significant impact on people's actions during the",1.0,1.0,1.0,1.0,1.0,1.0,1.0
1367454131636604943,0,@DWUhlfelderLaw Oh but with a big enough $$ donation to DeSantis re-election campaign you’ll get the vaccine for you and your friends! https://t.co/hzXnvdihsC," {""score"": 80, ""reasoning"": ""This tweet contains a factual claim about the possibility of receiving the vaccine through a donation to the DeSantis re-election campaign. While it is important to note that this claim may require additional context and verification, it is not necessarily false and",1.0,1.0,1.0,1.0,1.0,1.0,1.0
1237543113591107585,0,"A friend got suddenly sick after flying, with all the #coronavirus symptoms. He called the hotline in NYC and was told in order to even *find out where to get tested,* he has to have ALL of these: 1) cough too uncontrollable to speak 2) difficulty breathing and 3) fever &gt; 102"," {""score"": 80, ""reasoning"": ""The tweet contains a claim about the testing process for coronavirus in NYC, which could have an impact on the general public if the information is false. The claim seems to suggest that a person needs to have severe symptoms (cough uncontrollable",1.0,1.0,1.0,1.0,1.0,1.0,1.0
1242414406203371520,0,"Trigger warning. This man was too afraid he’d infect his family and thought he wouldn’t get proper treatment because they’re poor so he just took his own life. THE GOVERNMENT NEEDS TO ASSURE FILIPINOS THAT WHEN THEY GOT THE VIRUS, THEY CAN GO TO A HOSPITAL &amp; BE TREATED FOR FREE!"," {""score"": 80, ""reasoning"": ""The tweet contains a claim about the government's policy regarding free hospital treatment for Filipinos who contract the virus. This is a verifiable factual claim that could have a significant impact on the public, especially those who are poor and fear contracting the",1.0,1.0,1.0,1.0,1.0,1.0,1.0
1235941267047174150,0,Denyin’ tests to coronavirus victims to help your approval numbers should be considered attempted murder. https://t.co/eTzEizz8O7," {""score"": 100, ""reasoning"": ""This statement is not only factually incorrect but also harmful and inflammatory. It falsely accuses individuals or organizations of committing a serious crime, which could have significant negative consequences. Therefore, it is important for professional fact-checkers to",1.0,1.0,1.0,1.0,1.0,1.0,1.0
1353183744291528704,0,Manufacturers must reveal crucial information about how COVID vaccine works It's possible that significant information that may be used to predict obvious potential short-term and long-term risks from the COVID-19 vaccines is being covered up. https://t.co/9MzHogqpZM," {""score"": 80, ""reasoning"": ""The tweet contains a claim about manufacturers withholding crucial information about COVID-19 vaccines, which could have an impact on public health and safety. This claim, if false, could potentially harm individuals by discouraging vaccine uptake or causing unnecessary",1.0,1.0,1.0,1.0,1.0,1.0,1.0
1237138362261258244,0,"Why is CDC's data on US cases lagging behind other entities (including WHO)? Why are we only learning from the AP about a reported CDC recommendation that older Americans not fly, and that the White House blocked CDC from publicizing that recommendation? https://t.co/6j1Cael8ZR"," {""score"": 85, ""reasoning"": ""The tweet contains multiple factual claims that require verification: 1) Why is CDC's data on US cases lagging behind other entities? 2) Why were older Americans not publicly advised by the CDC not to fly, and why was",1.0,1.0,1.0,1.0,1.0,1.0,1.0
