tweet_id,check_worthiness,score,tweet_text,reasoning
1234964653014384644,1,100.0,"Since this will never get reported by the media, I wanted to share a copy of this check.  @realDonaldTrump  is once again donating his salary back to the United States Government  — This quarter, it will be donated to  @HHSGov  to confront, contain, and combat #Coronavirus. Flag of United StatesFlag of United States","This sentence contains a factual claim about a current event and the involved parties, which is salient to the general public. The claim can be fact-checked using publicly available information from reliable sources such as government websites and news articles."
1234869939720216578,0,0.0,"Thanks, #MichaelBloomberg. Here’s a handy little (unintentional) demo on the way to spread #coronavirus by the most clueless person in America: touch community food as much as you can with your saliva-soaked fingers.  #MiniMikeBloomberg #DroolingBloomberg",This sentence contains opinionated statements and does not contain any factual claims that are checkworthy.
1234873136304267267,0,95.0,"Folks, when you say ""The corona virus isn't a big deal, it only kills the disabled, elderly, chornically-ill, and immunocompromised,"" the implication is that those people are expendable.  Please be more careful.","This sentence contains a factual claim that the coronavirus primarily affects certain groups: disabled, elderly, chronically-ill, and immunocompromised individuals. This information is salient to the general public and can be fact-checked using publicly available data from health organizations and studies. The sentence also implies a value judgment that those people are expendable, which is subjective and opinion-centered. However, the primary focus of the sentence is the factual claim, which gives it a high check-worthiness score."
1235071285027147776,0,50.0,Just 1 case of Corona Virus in India and  people are crazy  for masks!! Daily 400 people die in road crashes & still no craze for HelmetsThinking face  #safetysaves  be it virus or road crashes!,"The sentence contains two claims: 'Just 1 case of Corona Virus in India' and 'Daily 400 people die in road crashes'. The first claim is factual and salient to the general public, but it is not new information as India's COVID-19 case count is widely available. The second claim is also factual, but it is not directly related to the first claim and may not be salient to the general public outside of India. Therefore, the overall check-worthiness score is moderate."
1234911110861594624,1,100.0,"President  @realDonaldTrump  made a commitment to donate his salary while in office. Honoring that promise and to further protect the American people, he is donating his 2019 Q4 salary to  @HHSGov  to support the efforts being undertaken to confront, contain, and combat #Coronavirus.",This sentence contains factual claims that are both salient to the general public and can be fact-checked using publicly available information. The sentence states that President Trump made a commitment to donate his salary while in office and is now donating his Q4 2019 salary to HHS to support coronavirus efforts. These claims can be fact-checked by looking at news articles and official statements from the White House and HHS.
1234685467682979840,0,80.0,"I live in Seattle, I have all symptoms of COVID-19 and have a history of chronic bronchitis.   Since I work in a physical therapy clinic with many 65+ patients and those with chronic illnesses, I decided to be responsible and go to get tested. This is how that went.","This sentence contains factual claims about the speaker's location, symptoms, and decision to get tested. However, it also includes subjective elements such as the speaker's assessment of their responsibility. The presence of the personal narrative and the potential for individual variation in what constitutes'responsible' behavior make it a somewhat lower-scoring check-worthy claim."
1235024875279933440,0,0.0,"my dad said ""why don't they just cure corona virus"" and i told him it reminded me of this home movies clip",This sentence contains no factual claims and is primarily focused on a personal conversation between the speaker and their father. It does not provide any information that is check-worthy or relevant to the general public.
1235083359501430789,0,95.0,"Experts across the world have advised to reduce mass gatherings to avoid the spread of COVID-19 Novel Coronavirus. Hence, this year I have decided not to participate in any Holi Milan programme.","This sentence contains a factual claim about experts advising against mass gatherings to prevent the spread of COVID-19. It also mentions the decision of the speaker not to participate in Holi Milan programme due to this advice, which is a salient and factual claim to the general public."
1235219248903073800,0,50.0,Prime Minister of Israel Benjamin Netanyahu  @netanyahu  encourages Israelis to adopt the Indian way of greeting #Namaste at a press conference to mitigate the spread of #coronavirus,"The sentence contains a factual claim about Benjamin Netanyahu encouraging Israelis to adopt the Indian way of greeting, but it is not clear whether this claim is salient to the general public or not. Additionally, the sentence mentions the spread of coronavirus, which is a widely reported topic, but it does not provide any new or significant information about the situation. Therefore, the check-worthiness score is set to 50."
1234979421464879105,1,95.0,Dear  @realDonaldTrump : You knew about #Covid_19 in January. It is March and your Administration still does not have enough test kits. That is unconscionable and a dereliction of duty.  Stop minimizing the #CoronaOutbreak and start leading. Lives are at stake. <link>,The sentence contains factual claims about the timeline of the COVID-19 outbreak and the lack of test kits in March 2020. These claims are salient to the general public and can be fact-checked using publicly available information.
1235185048078278657,0,0.0,Safety always comes first. Do not panic and stay safe. #CoronaAlert <link>,"This sentence is non-checkworthy as it only contains subjective statements and instructions, and does not contain any factual claims that can be checked using publicly available information."
1234916336393969667,0,100.0,"Countries with largest numbers of #coronavirus diagnoses  1. China 2. South Korea 3. Italy 4. Iran 5, Japan 6. France 7. Germany 8. Spain 9. Singapore 10. USA",This sentence contains six factual claims about the countries with the largest number of coronavirus diagnoses. These claims can be fact-checked using publicly available data from sources such as the World Health Organization or the European Centre for Disease Prevention and Control.
1234616723615166465,0,95.0,"I'm stunned by the depth of #coronavirus information being released in #Singapore. On this website you can see every known infection case, where the person lives and works, which hospital they got admitted to, and the network topology of carriers, all laid out on a time-series <link>","The sentence contains multiple factual claims about the depth and content of information related to coronavirus cases in Singapore, including the types of information available on a website and the location of carriers. These claims can be fact-checked using publicly available information from the website or other reliable sources."
1235351764737675264,0,0.0,"Thank you, keep up the great work!",The sentence is non check-worthy as it is a simple expression of gratitude and does not contain any factual claims.
1235149229179404289,0,95.0,"The new #coronavirus has killed about 3.4% of confirmed cases globally - making it deadlier than the flu, but still containable.   The seasonal flu's fatality rate is below 1% https://aje.io/gysap",The sentence contains two factual claims: the global mortality rate of COVID-19 and the mortality rate of the flu. Both claims are publicly available and relevant to the general public.
1234650511636410368,0,0,Nigeria being able to handle Ebola and Corona virus effectively just lets you know that the incompetence in everything else is on purpose," This sentence is non check-worthy as it contains subjective statements and opinions. The sentence implies that the Nigerian government's inability to handle other issues is intentional, which is a subjective claim that cannot be fact-checked using publicly available information. Therefore, the score would be 0 with the reasoning that the sentence is non check-worthy."
1234634259912155137,0,100,"BREAKING: I am announcing a new directive requiring NY health insurers to waive cost sharing associated with testing for #coronavirus, including emergency room, urgent care and office visits.  We can't let cost be a barrier to access to COVID-19 testing for any New Yorker.",This statement contains a clear factual claim about a new directive in New York regarding COVID-19 testing and cost sharing. It is salient to the general public as it relates to a current health crisis and potential financial burden for individuals seeking testing.
1234831345777627138,0,,Now they want to clean, '''The streets of New York City''' '''before the Pope arrives''' '''in September''' '''for the United Nations General Assembly''' '''but the city is not ready''' '''and the subways are not working''' '''and the garbage is piling up''' '''and the homeless are sleeping in doorways''' '''and the rats are running wild''' '''and the tourists are staying away''' '''and the hotels are empty''' '''and the crime rate is rising''' '''and the air quality is terrible''' '''and the water is polluted''' '''and the sewers are overflowing''' '''and the power outages are frequent''' '''and the phone lines are down''' '''and the internet is spotty''' '''and the subways are flooded''' '''and the buses are on strike''' '''and the bridges are closed''' '''and the tunnels are congested''' '''and the ferries are canceled''' '''and the helicopters are grounded''' '''and the trains are delayed''' '''and the planes are diverted''' '''and the ambulances are stuck in traffic''' '''and the fire trucks are idled''' '''and the police are overwhelmed''' '''and the hospitals are overcrowded''' '''and the
1235210250812305408,0,50,"Netanyahu announcing Israel's new extreme measures against #corona. Orders Israelis to stop shaking hands, suggests following Indian custom of namaste instead. 🙏🏽 <link>","This sentence contains a factual claim about Netanyahu's announcement, but it is not clear what exactly the 'extreme measures' are and whether they are widely applicable to the general public. The suggestion to follow the Indian custom of namaste instead of shaking hands is also a subjective opinion and not a factual claim."
1235239113298759680,1,80,"Just spoke with ER doc who say he's seeing cases he's 99% sure are #coronavirus. Negative for flu, recent travel, work in airports. Not allowed to test. Patients return to work because they can't take time off w/out a firm diagnosis. Other ER docs seeing the same thing.","The sentence contains several factual claims: the ER doctor's statement about the patients, the statement that the patients are not allowed to test, and the statement that other ER doctors are seeing the same thing. However, the sentence does not provide enough information to fact-check the claims definitively, such as the location of the ERs or the number of patients. Therefore, the check-worthiness score is relatively high but not maximum."
1235265562990637056,0,0,"Slowly, all Hindu traditions will be accepted by the world. Yoga is already in. Need for family system & vegetarianism is dire, Universal Acceptance to fight terrorism, polytheism to fight hate & bigotry of the communists.  The time for unscientific Abrahamic principles is over.<link>","The sentence contains multiple subjective and opinion-centered statements, and it does not contain any factual claims that are salient to the general public. Therefore, it is non check-worthy."
1234835892159877121,0,80,Congress should NOT tie emergency #coronavirus funding with #FISA reauthorization.   We MUST reform our FISA system to restore the American people’s confidence in our justice system and ensure what happened to  @realDonaldTrump  and his campaign in 2016 NEVER happens again.<link>,"This sentence contains factual claims about Congress's actions regarding emergency funding and FISA reauthorization, as well as a reference to the 2016 events involving Donald Trump and his campaign. However, the score is not 100 because the sentence also includes subjective opinions about the importance of restoring confidence in the justice system and preventing similar events from happening again."
1235037111239077889,1,95,"#EXO members #Chanyeol, #Lay, #Suho and #Kai have donated a combined 170 million won to Korea Disaster Relief Association Hope Bridge to help fight the #coronavirus outbreak. #COVID19  @weareoneEXO  @layzhang  #찬열 #ZhangYixing #수호 #엑소",The sentence contains a factual claim about a donation amount made by specific individuals to a recognized organization. The claim can be fact-checked using publicly available information from the organization's website or news articles.
1235001112735944705,0,0,Dear  @VP  Pence: What are you hiding from the American people? Why won’t you let the people see and hear what experts are saying about the #CoronaOutbreak?,"This sentence contains a question and a call to action, and it does not contain any factual claims that are checkworthy."
1234778537615212544,0,0,"Dear  @PMOIndia ,  Quit wasting India's time playing the clown with your social media accounts, when India is facing an emergency. Focus the attention of every Indian on taking on the Corona virus challenge.   Here's how it's done..  #coronavirusindia",This sentence is non-checkworthy as it contains no factual claims and is primarily an opinion and a call to action.
1235197302333149185,1,95,Hold on - #China Communist Party now denying #CoronavirusOutbreak originated in China? This after Beijing’s catastrophic mishandling of the virus has caused a global health crisis? What a collection of incompetent thugs & liars <link>,"The sentence contains several factual claims: 1) China Communist Party is denying the origin of the coronavirus outbreak in China, 2) Beijing's mishandling of the virus has caused a global health crisis. These claims can be fact-checked using publicly available information."
1235166676309676032,1,95,"The World Health Organization confirmed that Covid-19 is deadlier than the seasonal flu, but does not transmit as easily. Read the latest updates on the coronavirus outbreak here.","The sentence contains two factual claims: 1) Covid-19 is deadlier than the seasonal flu, and 2) Covid-19 does not transmit as easily as the flu. These claims can be fact-checked using publicly available information from the World Health Organization and other reputable sources. The first claim is widely reported and supported by data. The second claim is also supported by scientific evidence. Therefore, the sentence is highly check-worthy."
1235172654778167296,0,0,DO NOT PANIC !  Here’s all what you need to know &amp; do as a responsible citizen.DO NOT PANIC !  Here’s all what you need to know & do as a responsible citizen.  #coronavirusindia #Microbe  #covid2019  #CoronaAlert <link>,The sentence does not contain any factual claims and is instead encouraging the reader to remain calm during the COVID-19 pandemic. It is a subjective statement and does not provide any new or verifiable information.
1235409660104015873,0,0,"Trump to Hannity on WHO saying coronavirus death rate is 3.4%: ""I think the 3.4% number is really a false number. Now this is just my hunch, but based on a lot of conversations ... personally, I'd say the number is way under 1%.""  Astoundingly irresponsible. <link>","This sentence is non check-worthy as it contains subjective statements and opinions, and no factual claims are made."
1234933752498921473,0,80,Dear  @realDonaldTrump : Why are we still not testing at the scale we need to contain the #CoronavirusOutbreak?   Have you apologized yet for saying criticism of your Administration’s botched testing was a new hoax? <link>,"The sentence contains factual claims about the need for testing to contain the coronavirus outbreak and the Administration's botched testing. The link provides additional context and potentially factual information. However, the sentence also includes a call to action and a request for an apology, which are subjective and opinion-centered. Therefore, the score is not 100, but still relatively high due to the presence of factual claims."
1235216569539551232,0,0,Thank you for the inspiration #India- from today all Israelis say #Shalom🇮🇱#Namaste🇮🇳,This sentence contains no factual claims and is primarily composed of hashtags and expressions of goodwill towards Israel and India.
1235234176414162944,0,85,"If true, the  @StateDept  officials who denied coronavirus testing to exposed US embassy staff need to resign.   Also, a reminder that last week in  @HouseForeign  Committee,  @SecPompeo  refused 6 times to deny that #coronavirus is a hoax. <link>",The sentence contains factual claims about the denial of coronavirus testing to US embassy staff and the refusal of Secretary Pompeo to deny that coronavirus is a hoax in a House Foreign Committee hearing. These claims can be fact-checked using publicly available information.
1234966189668995078,0,0,"A call to every Democrat running for president, or anywhere for that matter. Will you join President Trump in donating your quarterly salary toward fighting #CoronaVirus? Citizens would be very grateful. Thank you in advance.",This sentence is non check-worthy as it is a call to action and contains subjective statements such as 'Citizens would be very grateful' and 'Thank you in advance'.
1235278295211618304,0,95,"A State of Emergency has been declared for LA City and County due to confirmed cases of Coronavirus.  Angelenos need to be prepared, but not panicked. Listen to the advice of experts.  Make sure you're following  @CDCgov  and  @lapublichealth  for the latest info and recommendations. <link>",The sentence contains a factual claim about the declaration of a State of Emergency in LA City and County due to confirmed cases of Coronavirus. This information is salient to the general public and can be fact-checked using publicly available information from official sources such as the CDC and LA Public Health departments.
1235043647038443523,0,0,We are doomed.    #coronavirus #Covid_19 https://t.co/Pey8CNyCOT,"This sentence is an expression of fear and doom, which is subjective and not factual. It does not contain any claims that can be fact-checked using publicly available information."
1234830346182709249,0,0,@waltshaub Please repost this. It shares vital information and it's a class on how to lead during times of crisis  An excellent speech by Singapore’s Health Minister Mr. Gan Kim Yong.   An excellent way of describing #coronavirus #CoronaVirusUpdates,The sentence does not contain any factual claims that are checkworthy. It is an expression of opinion and a call to action.
1234887886354382849,0,0,#B52Questions 1. Why is Rudy not under arrest? 2. Why is Harvey not in Riker’s? 3. Why is Cuccinelli still working? 4. Has Barr quit yet? 5. When is Flynn being sentenced? 6. Who trusts Pence and Mrs. Miller with messaging about #coronavirus ? 7. Are R’s happy w/their guy?,This sentence contains multiple questions and no clear factual claims. It is not check-worthy.
1234872254883909642,0,95,"Globally, about 3.4% of reported #COVID19 cases have died. By comparison, seasonal flu generally kills far fewer than 1% of those infected- @DrTedros  #coronavirus",The sentence contains a factual claim about the percentage of COVID-19 cases that have resulted in deaths (3.4%) and a comparison to the percentage of seasonal flu deaths (less than 1%). These claims can be fact-checked using publicly available data from health organizations and studies.
