sentence_id,Verdict,score,Text,reasoning,raw_response
27247,1,60,We're 9 million jobs short of that.,,"  Sure, I can help you with that! Here's my assessment of the sentence you provided:Input: ""We're 9 million jobs short of that.""Score: 60Reasoning: This sentence contains a factual statement about the number of jobs that"
10766,1,20,"You know, last year up to this time, we've lost 700,000 jobs in America.",,"  I would give the sentence you provided a score of 20 out of 100 for check-worthiness. Here's why:The sentence contains a factual claim about the number of jobs lost in America, which is a salient issue to the general public. However, the claim"
3327,1,80,"And in November of 1975 I was the first president to order the executive branch to take action, affirmative action, through the Department of Commerce and other cabinet departments, to make certain that no American businessman or business organization should discriminate against Jews because of an Arab boycott.",,"  I have analyzed the sentence you provided and here is my assessment:Score: 80Reasoning:This sentence contains a factual claim about a historical event, specifically the implementation of affirmative action by President Gerald Ford in 1975. This is"
19700,1,20,"And what we've done during the Bush administration, the Kurds were at the State Department, negotiating, trying to work their differences out.",,  I have analyzed the given sentence and determined its check-worthiness score as follows:Score: 20Reasoning:The sentence contains a factual claim about the Kurds negotiating with the State Department during the Bush administration. This is a salient factual claim that
12600,1,20,"Do you know we don't have a single program sponsored by our government to Cuba - to tell them our story, to tell them that we are their friends, that we want them to be free again?",,  I have analyzed the given sentence and determined its check-worthiness as follows:Score: 20Reasoning:The sentence contains a factual claim about the lack of government-sponsored programs to Cuba to tell the Cuban people about the United States' friendship and
26071,1,80,It's illegal right now and has been for years for illegal immigrants to get welfare benefits.,,"  I would give the sentence ""It's illegal right now and has been for years for illegal immigrants to get welfare benefits"" a check-worthiness score of 80.The sentence contains a factual claim about the current laws and policies regarding welfare benefits for undocument"
32496,1,0,"And a lot of it has to do with the fact that our taxes are so high, just about the highest in the world.",,"  Sure, I can help you with that! The sentence you provided is:""And a lot of it has to do with the fact that our taxes are so high, just about the highest in the world.""I will give it a check-worthiness score between 0 and 1"
24266,1,60,"We have a four trillion dollar debt, and only in America would you finance seventy percent of it five years or less.",,"  Based on the provided sentence, I would give it a check-worthiness score of 60. Here's why:The sentence contains a factual claim about the national debt of the United States, which is a salient issue to the general public. The claim is also verifiable through"
15712,1,,We're in the serious stages of negotiation with the Soviet Union on the strategic arms control talks.,,"  Sure, I can help you with that! The sentence you provided is:""We're in the serious stages of negotiation with the Soviet Union on the strategic arms control talks.""Based on my analysis, I would give this sentence a check-worthiness score of "
9453,1,60,"But your rate comes down and the burden also comes down on you for one more reason, and that is every middle-income taxpayer no longer will pay any tax on interest, dividends or capital gains.",,"  Thank you for providing the sentence you would like me to evaluate. Here is my assessment:Score: 60Reasoning: This sentence contains a factual claim about the potential impact of a policy change on taxes. However, it is not clear what specific policy change is being"
