sentence_id,Verdict,score,Text,reasoning,raw_response
27247,1,,We're 9 million jobs short of that.,,"  Sure, I'd be happy to help!The sentence ""We're 9 million jobs short of that"" is check-worthy because it contains a factual claim that can be verified using publicly available information. The claim is specific and measurable (9 million jobs), and it is"
10766,1,60,"You know, last year up to this time, we've lost 700,000 jobs in America.",,"  Sure, I'd be happy to help you with that!After analyzing the sentence you provided, I would give it a check-worthiness score of 60. Here's why:Reasoning:The claim in the sentence is partially factual and salient to"
3327,1,60,"And in November of 1975 I was the first president to order the executive branch to take action, affirmative action, through the Department of Commerce and other cabinet departments, to make certain that no American businessman or business organization should discriminate against Jews because of an Arab boycott.",,"  Sure, I'd be happy to help you with that!After reviewing the given sentence, I would give it a check-worthiness score of 60. Here's why:Reasoning:The sentence contains a claim that is both factual and salient to"
19700,1,60,"And what we've done during the Bush administration, the Kurds were at the State Department, negotiating, trying to work their differences out.",,"  Sure, I'd be happy to help!After analyzing the sentence you provided, I would give it a check-worthiness score of 60. Here's why:The claim in the sentence is partially factual and salient to the general public. The sentence mentions the"
12600,1,70,"Do you know we don't have a single program sponsored by our government to Cuba - to tell them our story, to tell them that we are their friends, that we want them to be free again?",,"  Sure, I'd be happy to help you with that!After analyzing the sentence you provided, I would give it a check-worthiness score of 70. Here's why:Reasoning:* The claim in the sentence is factual and salient"
26071,1,70,It's illegal right now and has been for years for illegal immigrants to get welfare benefits.,,"  Sure, I'd be happy to help you with that!After analyzing the sentence you provided, I would give it a check-worthiness score of 70. Here's why:The claim in the sentence is factual and salient to the general public, as it"
32496,1,60,"And a lot of it has to do with the fact that our taxes are so high, just about the highest in the world.",,"  Sure, I'd be happy to help you with that!After analyzing the sentence you provided, I would give it a check-worthiness score of 60. Here's why:The claim that the taxes in the United States are ""just about the highest in the"
24266,1,60,"We have a four trillion dollar debt, and only in America would you finance seventy percent of it five years or less.",,"  Sure, I can help you with that!After analyzing the sentence you provided, I would give it a check-worthiness score of 60. Here's why:Reasoning:The claim that the United States has a $4 trillion dollar debt"
15712,1,80,We're in the serious stages of negotiation with the Soviet Union on the strategic arms control talks.,,"  Sure, I'd be happy to help!After analyzing the sentence you provided, I would give it a check-worthiness score of 80. Here's why:Reasoning:* The claim is factual: The sentence mentions ""strategic arms"
9453,1,60,"But your rate comes down and the burden also comes down on you for one more reason, and that is every middle-income taxpayer no longer will pay any tax on interest, dividends or capital gains.",,"  Sure, I'd be happy to help you with that!After analyzing the given sentence, I would give it a check-worthiness score of 60. Here's why:Reasoning:The sentence contains a claim that is both factual and salient to"
8466,1,70,And it is a fact in the August session that the four members of the Rules Committee who were Republicans joining with two Democrats voted against sending the aid to education bill to the floor of the House.,,"  Sure, I can help you with that!After analyzing the given sentence, I would give it a check-worthiness score of 70. Here's my reasoning:The sentence contains a factual claim that is salient to the general public. Specifically, it states that """
14448,1,70,"The mistake that both parties made in Washington with the S&L business was deregulating them without proper capital requirements, proper oversight and regulation, proper training of the executives.",,"  Sure, I'd be happy to help! Here's my assessment of the given sentence's check-worthiness:Score: 70Reasoning:This sentence contains several claims that are factual and salient to the general public. For example, the"
1789,1,70,And he is saying that he is going to pay for it by closing loopholes and deductions.,,"  Sure, I'd be happy to help!After analyzing the sentence you provided, I would give it a check-worthiness score of 70.Here's my reasoning:* The claim that the president is going to pay for something by closing loopholes and"
32725,1,60,"So we have announcements coming out of Washington and coming out of Iraq, we will be attacking Mosul in three weeks or four weeks.",,"  Sure, I can help you with that!After analyzing the sentence you provided, I would give it a check-worthiness score of 60. Here's why:Reasoning:The sentence contains a claim that is both factual and salient to the general"
27509,1,70,"And then the president began what I have called an apology tour, of going to various nations in the Middle East and criticizing America.",,"  Sure, I can help you with that!After analyzing the sentence you provided, I would give it a check-worthiness score of 70. Here's why:The claim in the sentence is factual and salient to the general public, as it touches on a"
2336,1,70,That's one of the unintended consequences of Dodd-Frank.,,"  Sure, I can help you with that!The sentence ""That's one of the unintended consequences of Dodd-Frank."" is check-worthy, and I would give it a score of 70.Here's why:* The claim is fact"
12993,1,70,We find four times as many projects undertaken and completed in this Administration than in the previous one.,,"  Sure! I'd be happy to help you with that.After analyzing the sentence you provided, I would give it a check-worthiness score of 70. Here's why:Reasoning:The claim in the sentence is factual and salient to the"
17464,1,70,It was only when the Supreme Court handed down a decision that the Federal Government intervened in what had always been a State policy.,,"  Sure, I'd be happy to help! Here's my assessment of the given sentence's check-worthiness:{ ""score"": 70, ""reasoning"": ""The claim that the Federal Government intervened in a State policy is a factual statement that can be verified"
11247,1,,That's what we've been doing over the last eight years and that has actually made us more safe.,,"  Sure, I'd be happy to help!The sentence you provided is:""That's what we've been doing over the last eight years and that has actually made us more safe.""Based on my analysis, I would give this sentence a check-worthiness score"
2874,1,70,"Immediately before the Kansas City convention, he added back another one point eight billion dollars in the defense budget.",,"  Sure, I can help you with that! Here's my assessment of the given sentence's check-worthiness:Score: 70Reasoning:The claim in the sentence is partially factual and salient to the general public. The statement ""he added"
26076,1,60,We reduced the welfare rolls by 2 million already.,,"  Sure! I can help you with that.The sentence ""We reduced the welfare rolls by 2 million already."" is check-worthy, and I would give it a score of 60. Here's why:Reasoning:This claim is fact"
21706,1,70,In Houston there's been a 15- percent drop in the crime rate in the last year because of the work the mayor did there in increasing the police force.,,"  Sure! I can help you with that.After analyzing the sentence you provided, I would give it a check-worthiness score of 70. Here's my reasoning:{ ""score"": 70, ""reasoning"": ""The claim that the crime rate in Houston"
25315,1,60,"Georgie Anne, we, believe me, supported the Simpson-Mazzoli bill strongly -- and the bill that came out of the Senate.",,"  Sure, I'd be happy to help you with that!After analyzing the sentence you provided, I would give it a check-worthiness score of 60. Here's why:The claim in the sentence is partially factual, as it refers to a real piece of"
