sentence_id,Verdict,score,Text,reasoning
20514,0,80.0,It is important because the next president is going to appoint three and maybe even four justices of the Supreme Court.,This statement is checkworthy because it contains a factual claim about the potential number of Supreme Court justices that could be appointed by the next president. This information is salient to the general public as it impacts the balance of power in the Supreme Court and the direction of the judiciary.
11300,0,85.0,"Not only would it threaten Israel, our strongest ally in the region and one of our strongest allies in the world, but it would also create a possibility of nuclear weapons falling into the hands of terrorists.","This sentence contains two factual claims: 1) Israel is one of the strongest allies of the US in the world, and 2) a potential Iranian nuclear weapon could fall into the hands of terrorists. These claims are salient to the general public and can be fact-checked using publicly available information."
24317,0,80.0,"We need to continue the negotiations to reduce the nuclear arsenals in the Soviet Union, the former Soviet Union, and the United States.","This sentence contains a factual claim about the need for negotiations to reduce nuclear arsenals in the Soviet Union, the former Soviet Union, and the United States. This is a significant historical event that is of public interest. However, the sentence does not provide specific numbers or details about the nuclear arsenals, which would increase the score. Therefore, the score is set at 80."
1169,0,80.0,"And we won the nomination by going out into the streets - barbershops, beauty parlors, restaurants, stores, in factory shift lines also in farmers' markets and livestock sale barns - and we talked a lot and we listened a lot and we learned from the American people.","This sentence contains several factual claims about the campaign strategy of winning the nomination through various locations such as barbershops, beauty parlors, restaurants, stores, factory shift lines, farmers' markets, and livestock sale barns. These locations are publicly available information and can be fact-checked through news articles, campaign reports, or other reliable sources."
6314,0,100.0,We can't say we're going to do things and then not explain in concrete terms how we're going to pay for it.,"This sentence contains a factual claim about the importance of explaining how to pay for actions or policies, which is relevant to the general public."
679,0,100.0,We have serious differences with the Soviet Union.,This statement is factual and salient to the general public as it refers to a significant geopolitical relationship between two major world powers. The statement can be fact-checked using publicly available information.
24130,0,80.0,"If you throw another 50,000 kids on the street because of cutting recklessly in troop levels, you're going to put a lot more out of work.",This sentence contains a factual claim about the potential impact of troop level cuts on employment. The number of kids put on the street and the number of jobs lost are quantifiable facts that can be fact-checked using publicly available information.
6927,0,80.0,It would be the largest increase in government health care ever.,"This statement contains a factual claim about the size of an increase in government health care, which is a matter of public interest. However, without specific information about the magnitude of the increase and the context in which it is occurring, it is difficult to assign a precise score. A score of 80 is given because the claim is factual and potentially significant, but more information is needed to determine the exact size of the increase and whether it is indeed the largest one ever."
27436,0,85.0,We cannot afford to have a nuclear arms race in the most volatile region of the world.,"This statement implies a factual claim about the current geopolitical situation in the world, specifically the Middle East, which is a volatile region. The claim that a nuclear arms race is a possibility is also factual and relevant to the general public. However, the statement does not provide specific statistics or data to fact-check, so the score is not 100."
11445,0,80.0,That there is some resentment of U.S. power.,"This statement is checkworthy because it implies a factual claim about the existence of resentment towards US power, which is a matter of public interest and can be fact-checked using various sources such as polls, surveys, and news articles."
