sentence_id,Verdict,score,Text,reasoning,raw_response
27247,1,80,We're 9 million jobs short of that.,," {""score"": 80,""reasoning"": ""This claim is check-worthy because it asserts a specific numerical shortfall in employment. However, the claim does not provide enough context to determine its accuracy, such as a time frame or a reference point for the number of jobs. Therefore,"
10766,1,80,"You know, last year up to this time, we've lost 700,000 jobs in America.",," {""score"": 80,""reasoning"": ""The sentence contains a factual claim about job losses in America, which is salient to the general public. While it is not possible to verify the exact number of jobs lost 'up to this time' last year, it is possible to check"
3327,1,80,"And in November of 1975 I was the first president to order the executive branch to take action, affirmative action, through the Department of Commerce and other cabinet departments, to make certain that no American businessman or business organization should discriminate against Jews because of an Arab boycott.",," {""score"": 80,""reasoning"": ""This sentence is check-worthy because it asserts a specific historical claim about a former president's actions. While the claim is factual, it requires verification to confirm the accuracy of the statement, such as checking the official records of the executive"
19700,1,50,"And what we've done during the Bush administration, the Kurds were at the State Department, negotiating, trying to work their differences out.",," {""score"": 50,""reasoning"": ""The claim about the Kurds negotiating and trying to work out their differences at the State Department during the Bush administration is factual, but it is not very specific or significant. It is difficult to assess the accuracy of this claim without more context"
12600,1,50,"Do you know we don't have a single program sponsored by our government to Cuba - to tell them our story, to tell them that we are their friends, that we want them to be free again?",," {""score"": 50, ""reasoning"": ""The sentence contains a factual claim about the absence of a government program sponsored by the US to Cuba, but it is unclear whether such a program exists or not. The claim is also qualified by the phrase 'do you know', which suggests it may be"
26071,1,80,It's illegal right now and has been for years for illegal immigrants to get welfare benefits.,," {""score"": 80,""reasoning"": ""The claim that it is 'illegal' for 'illegal immigrants' to get welfare benefits is factual and could be verified using publicly available information. However, the terms 'illegal immigrants' and 'welfare benefits' are broad and"
32496,1,80,"And a lot of it has to do with the fact that our taxes are so high, just about the highest in the world.",," {""score"": 80,""reasoning"": ""The claim that 'our taxes are so high, just about the highest in the world' is both factual and salient to the general public. However, the claim is somewhat subjective, as the term 'high' is relative and can"
24266,1,80,"We have a four trillion dollar debt, and only in America would you finance seventy percent of it five years or less.",," {""score"": 80,""reasoning"": ""The sentence contains a factual claim about the size of the US national debt, which is check-worthy. The claim about financing 70% of the debt within five years or less is also factual, but it is less clear whether"
15712,1,80,We're in the serious stages of negotiation with the Soviet Union on the strategic arms control talks.,," {""score"": 80,""reasoning"": ""This sentence is check-worthy because it asserts that the US is in the'serious stages' of negotiation with the Soviet Union on strategic arms control talks. This is a factual claim that is salient to the general public"
9453,1,80,"But your rate comes down and the burden also comes down on you for one more reason, and that is every middle-income taxpayer no longer will pay any tax on interest, dividends or capital gains.",," {""score"": 80, ""reasoning"": ""The claim that 'every middle-income taxpayer no longer will pay any tax on interest, dividends or capital gains' is check-worthy because it is a factual claim that is salient to the general public. However, the claim is"
8466,1,80,And it is a fact in the August session that the four members of the Rules Committee who were Republicans joining with two Democrats voted against sending the aid to education bill to the floor of the House.,," {""score"": 80,""reasoning"": ""The sentence contains a factual claim about the voting behavior of members of the Rules Committee in the August session. While it is factual, the claim is not easily verifiable without additional context, such as the specific bill being voted on and the"
14448,1,70,"The mistake that both parties made in Washington with the S&L business was deregulating them without proper capital requirements, proper oversight and regulation, proper training of the executives.",," {""score"": 70,""reasoning"": ""The sentence contains factual claims about the deregulation of the S&L (Savings and Loan) business in Washington, which are salient to the general public. However, the claim is somewhat vague and does not provide enough"
1789,1,50,And he is saying that he is going to pay for it by closing loopholes and deductions.,," {""score"": 50,""reasoning"": ""The claim that one person (presumably a politician) is going to pay for something by closing loopholes and deductions is partially check-worthy. The claim about paying for something in this way is factual, but whether or"
32725,1,80,"So we have announcements coming out of Washington and coming out of Iraq, we will be attacking Mosul in three weeks or four weeks.",," {""score"": 80,""reasoning"": ""This sentence is check-worthy because it contains a factual claim about an impending military operation. However, the exact date of the attack cannot be verified, as it may depend on various factors such as military readiness, intelligence, and negotiations"
27509,1,70,"And then the president began what I have called an apology tour, of going to various nations in the Middle East and criticizing America.",," {""score"": 70,""reasoning"": ""The claim that the president went on an 'apology tour' and criticized America in various Middle Eastern nations is check-worthy because it touches on a factual statement about the actions of a public figure. However, the term 'apology"
2336,1,50,That's one of the unintended consequences of Dodd-Frank.,," {""score"": 50,""reasoning"": ""The claim that there is an 'unintended consequence' of Dodd-Frank is check-worthy, as it asserts a causal relationship between the two that may be subject to interpretation and verification. However, the term 'un"
12993,1,80,We find four times as many projects undertaken and completed in this Administration than in the previous one.,," {""score"": 80,""reasoning"": ""This statement is potentially check-worthy because it makes a factual claim about the number of projects undertaken and completed during two different administrations. However, the terms 'projects', 'undertaken', and 'completed' are somewhat vague"
17464,1,70,It was only when the Supreme Court handed down a decision that the Federal Government intervened in what had always been a State policy.,," {""score"": 70,""reasoning"": ""This sentence is check-worthy because it asserts a causal relationship between two events: a Supreme Court decision and the intervention of the Federal Government. While it is possible that the Federal Government would have intervened regardless of the Supreme Court decision,"
11247,1,70,That's what we've been doing over the last eight years and that has actually made us more safe.,," {""score"": 70,""reasoning"": ""This statement is check-worthy because it asserts that certain actions taken over the last eight years have resulted in increased safety. This claim is factual and salient to the general public, as it touches on issues of national security and public safety"
2874,1,80,"Immediately before the Kansas City convention, he added back another one point eight billion dollars in the defense budget.",," {""score"": 80,""reasoning"": ""This sentence is check-worthy because it asserts that a specific individual added back $1.8 billion to the defense budget immediately before the Kansas City convention. This claim is factual and salient to the general public, as it pertains"
26076,1,80,We reduced the welfare rolls by 2 million already.,," {""score"": 80,""reasoning"": ""This claim is check-worthy because it is factual and has public salience, as it pertains to government welfare policy and its impact on the number of people receiving assistance. However, the claim is somewhat vague, as it does not specify"
21706,1,80,In Houston there's been a 15- percent drop in the crime rate in the last year because of the work the mayor did there in increasing the police force.,," {""score"": 80,""reasoning"": ""The sentence contains a factual claim about a 15% drop in the crime rate in Houston in the last year, which is salient to the general public. The claim about the increase in the police force due to the mayor's"
25315,1,0,"Georgie Anne, we, believe me, supported the Simpson-Mazzoli bill strongly -- and the bill that came out of the Senate.",This sentence is primarily composed of subjective statements and does not contain any factual claims that are both salient to the general public and verifiable with publicly available information.," {""score"": 0, ""reasoning"": ""This sentence is primarily composed of subjective statements and does not contain any factual claims that are both salient to the general public and verifiable with publicly available information.""}"
32480,1,80,But we're bringing the tax rate down from 35 percent to 15 percent.,," {""score"": 80,""reasoning"": ""This statement is check-worthy because it asserts a specific change in the tax rate from 35% to 15%. This is a factual claim that is salient to the general public, as it has implications for government revenue"
8236,1,80,"It will cost a minimum of four billion dollars a year more, a maximum of four and nine-tenths billion dollar a year more than we're presently spending.","This sentence contains a factual claim about a specific numerical range, which is potentially check-worthy. However, the lack of context about what the money is being spent on or the source of the information reduces the score."," {""score"": 80,""reasoning"": ""This sentence contains a factual claim about a specific numerical range, which is potentially check-worthy. However, the lack of context about what the money is being spent on or the source of the information reduces the score.""}"
12198,1,80,That we spent -- the top 1% receive 223 as opposed to 445 billion in new spending.,," {""score"": 80, ""reasoning"": ""The sentence contains a factual claim about the distribution of new spending between the top 1% and the rest of the population. While the exact figures may require further context to be verified, the statement is check-worthy as it touches on a significant issue of"
2326,1,80,"Now, Governor Romney has said he wants to repeal Dodd-Frank.",," {""score"": 80,""reasoning"": ""This sentence is check-worthy because it asserts that Governor Romney has stated a specific policy position (i.e., wanting to repeal Dodd-Frank) that is both factual and salient to the general public. While"
28160,1,80,"We've spent 65 years now on the development of a hybrid system, partly private, partly public, and 85% of our people have health insurance, 15% don't.",," {""score"": 80,""reasoning"": ""The sentence contains two factual claims that are salient to the general public: the length of time spent on the development of a hybrid healthcare system and the percentage of people with and without health insurance. While these claims are likely based on data,"
20122,1,70,There are actually more people in government except for people in defense related jobs.,," {""score"": 70,""reasoning"": ""This claim is check-worthy because it asserts a factual statement about the number of people employed in government, excluding those in defense-related jobs. While it may be difficult to obtain an exact number using publicly available information, it is"
28296,1,85,"It's ironic that there are now -- there is now a smaller percentage of the voters made up of parents with children than ever in American history because of the aging of our population, but at the same time we've got the largest generation of students in public schools ever.",," {""score"": 85,""reasoning"": ""The sentence contains the factual claim that there is a smaller percentage of voters who are parents with children than ever in American history due to the aging of the population, and that there is currently the largest generation of students in public schools ever. These"
7721,1,80,"When he selected his vice presidential running mate, he selected a man who had voted against most of these proposals and who opposes them at the present time.",," {""score"": 80,""reasoning"": ""This sentence is check-worthy because it contains a factual claim about a specific action taken by an individual (selecting a vice presidential running mate) and implies a potential inconsistency or contradiction in that individual's stance on certain issues"
1389,1,70,But now I think there have been a couple of instances where the Burger Court has made technical rulings where an obviously guilty person was later found to be guilty.,," {""score"": 70, ""reasoning"": ""This sentence contains a factual claim about the Supreme Court making technical rulings that resulted in the conviction of guilty individuals. However, the claim is somewhat vague and does not provide enough context for a full fact-check. The claim about the Burger Court is"
23306,1,80,"As I told you, we've just got a report that said over the past 13 months, we've created 1.9 million new jobs.",," {""score"": 80,""reasoning"": ""The claim that 'over the past 13 months, we've created 1.9 million new jobs' is both factual and salient to the general public. It touches on employment statistics, which is a matter of public interest"
16783,1,80,"As a result, we have saved over $9 billion in federal expenditures.",," {""score"": 80,""reasoning"": ""This sentence is check-worthy because it asserts a specific factual claim about a significant amount of money saved by an unspecified entity. However, the lack of context about the time frame and the specific programs or areas where the savings were"
19702,1,80,"We're even shipping 3,000 Kurds to Guam.",," {""score"": 80,""reasoning"": ""This statement is check-worthy because it contains a factual claim about a specific number of people being shipped to a particular location. However, it is not entirely clear who 'we' refers to, and the claim would need to be verified using"
17550,1,0,"In my opinion, as we deal with this deficit, people from about $70,000 a year on down have to be dealt with very, very carefully, because they are the ones who didn't get any relief the first time around.",The sentence is an opinion statement and does not contain any factual claims that can be verified using publicly available information.," {""score"": 0, ""reasoning"": ""The sentence is an opinion statement and does not contain any factual claims that can be verified using publicly available information.""}"
2316,1,80,"You had loan officers were -- that were giving loans and mortgages that really shouldn't have been given, because the folks didn't qualify.",," {""score"": 80,""reasoning"": ""This sentence is check-worthy because it asserts that loan officers were giving loans and mortgages to people who didn't qualify, implying a potential issue with loan approval practices. This claim is factual and salient to the general"
32009,1,80,And Donald insulted and attacked them for weeks over their religion.,," {""score"": 80,""reasoning"": ""This sentence is check-worthy because it asserts that Donald (presumably Donald Trump) insulted and attacked unspecified people for a period of weeks, and that the motivation for these attacks was their religion. These claims are factual"
8726,1,80,"We have a coal supply that is equal to 50% of the world's coal supply, good for centuries, in this country.",," {""score"": 80, ""reasoning"": ""The sentence contains a factual claim about the amount of coal supply in a country, which is check-worthy as it touches on statistics that could be of interest to the general public. However, the claim that the coal supply is 'good for centuries' is"
21457,1,70,"In terms of programs, I've submitted, what, 4 different budgets to the US Congress in great detail.",," {""score"": 70,""reasoning"": ""This sentence is check-worthy because it contains a factual claim about the number of budgets a specific individual has submitted to the US Congress. However, the score is reduced because the individual is not named, making it more difficult to verify the"
27831,1,50,"I said that we would provide guarantees, and -- and that was what was able to allow these companies to go through bankruptcy, to come out of bankruptcy.",," {""score"": 50, ""reasoning"": ""The claim that the speaker 'provide[d] guarantees' that allowed companies to go through and come out of bankruptcy is check-worthy to a moderate extent. While the claim is factual, it is difficult to verify without more specific information about"
33427,1,70,"... to sign immigration reform, and George W. Bush supported it, as well.",," {""score"": 70,""reasoning"": ""The sentence contains factual claims about two former presidents, Bill Clinton and George W. Bush, supporting immigration reform. While it is likely true that both presidents have expressed support for immigration reform at some point during their presidencies, the specific"
30262,1,80,We're a country that owes $20 trillion.,," {""score"": 80,""reasoning"": ""The claim about the country owing $20 trillion is factual and can be verified using publicly available information. However, the term 'country' is ambiguous and could refer to any of the 195 countries in the world"
909,1,0,But I also believe we need an agricultural policy which doesn't cost us 15 to 20 to 25 billion dollars a year that it's been costing us over the course of the past three or four years under this administration.,," {""score"": 0, ""reasoning"": ""This sentence is not check-worthy because it contains a subjective statement and a factual claim that cannot be verified with publicly available information. The subjective statement is 'I also believe,' and the factual claim is the cost of the agricultural policy over the past"
7036,1,70,"If you're married, you got tax relief.",," {""score"": 70,""reasoning"": ""This sentence is check-worthy because it contains a factual claim about a potential tax benefit for married individuals. However, the claim is somewhat vague and could be more specific (e.g., by specifying the amount of tax relief or the"
27627,1,0,So our troops will come home at that point.,"This sentence is not check-worthy because it is a statement of intent or a hypothetical situation, rather than a factual claim that can be verified with publicly available information."," {""score"": 0,""reasoning"": ""This sentence is not check-worthy because it is a statement of intent or a hypothetical situation, rather than a factual claim that can be verified with publicly available information.""}"
34131,1,70,"He violated the red line in the sand, and he made so many mistakes, made all the mistakes.",," {""score"": 70, ""reasoning"": ""The sentence contains the claim that someone violated 'the red line in the sand', which is a factual claim that is potentially check-worthy, but lacks specificity and context. The sentence also contains the subjective claim that someone'made so many"
8197,1,90,We have developed more hydroelectric power in these seven and a half years than was developed in any previous administration in history.,," {""score"": 90,""reasoning"": ""This statement is check-worthy because it asserts a specific factual claim about the amount of hydroelectric power developed during a certain time period compared to previous administrations. While it may be difficult to accurately quantify the exact amount of hydro"
18687,1,80,"No president, through all of American history, has ever ceded, and nor would I, the right to preempt in any way necessary to protect the United States of America.",," {""score"": 80, ""reasoning"": ""This statement is check-worthy because it makes a factual claim about the actions of all U.S. presidents throughout history, which could be verified through publicly available information. However, the claim is somewhat qualified by the use of the phrase 'through all"
16608,1,70,Our country now has no comprehensive energy program or policy.,," {""score"": 70,""reasoning"": ""This claim is check-worthy because it asserts a factual statement about the existence or non-existence of a comprehensive energy program or policy in the country. While it may be subjective as to what constitutes 'comprehensive"
