sentence_id,Verdict,score,Text,reasoning
1789,1,0.0,And he is saying that he is going to pay for it by closing loopholes and deductions.,"This is a statement of intent, not a factual claim. It is not check-worthy."
25315,1,0.0,"Georgie Anne, we, believe me, supported the Simpson-Mazzoli bill strongly -- and the bill that came out of the Senate.","This sentence is a statement of support for a bill, but it does not contain any factual claims that can be checked. The sentence is subjective and opinion-centered, as it expresses the speaker's support for the bill. Therefore, it is not check-worthy."
17550,1,0.0,"In my opinion, as we deal with this deficit, people from about $70,000 a year on down have to be dealt with very, very carefully, because they are the ones who didn't get any relief the first time around.",The statement is subjective and contains an opinion. It does not contain any factual claims that can be verified.
27831,1,0.0,"I said that we would provide guarantees, and -- and that was what was able to allow these companies to go through bankruptcy, to come out of bankruptcy.",This statement is a subjective claim about the speaker's actions and the outcome of those actions. It does not contain any factual claims that can be verified with publicly available information.
27627,1,0.0,So our troops will come home at that point.,"This is a statement of intent, not a factual claim."
21717,1,0.0,I am not for national registration of firearms.,"This is a subjective statement of opinion, not a factual claim."
24841,1,0.0,The Soviet Union is no more and we're working with a democratic country.,The statement is subjective and contains no factual claims that can be verified.
8124,1,0.0,I'm not satisfied to have fifty percent of our steel-mill capacity unused.,This is a statement of opinion and does not contain any factual claims that can be checked.
27084,1,0.0,They're willing to work with us.,This statement is subjective and does not contain any factual claims that can be verified.
14952,1,0.0,We've had the Central Accounting.,The sentence is a statement of possession and does not contain any factual or salient information to the general public.
20898,1,0.0,We have a strong charter school movement that I signed the legislation to get started in the State of Texas.,This statement is subjective and contains no factual claims that can be verified with publicly available information.
12414,1,0.0,"That's going to be up to the people, isn't it?","This is a question, not a factual claim."
27076,1,0.0,"And finally, we don't want to have military involvement there.",This statement is subjective and does not contain any factual claims.
1086,1,0.0,"But to add one other feature, I don't control any of the tapes.",This statement is too vague to be fact-checked. It is unclear what the speaker is referring to when they say 'the tapes'.
19466,1,0.0,The administration says they support the instant check.,"This is a subjective statement, as it is based on the administration's claim. It is not factual and cannot be verified with publicly available information."
1020,1,0.0,"I proposed, as you know, a reduction to increase the personal exemption from seven hundred and fifty to a thousand dollars.","This statement is a factual claim, but it is trivial and not salient to the general public. The personal exemption amount is not a widely known or significant figure, and stating a proposed change without context does not provide enough information to be fact-checked."
15518,1,0.0,"He founded authored, the job training partnership act.","The sentence is grammatically incorrect and contains a spelling error, making it difficult to determine the exact claim being made. Additionally, the statement appears to be factual, but it is not clear whether it is salient to the general public or can be fact-checked using publicly available information."
16476,1,0.0,"In my tax reduction program for middle-income taxpayers, I recommended that the Congress increase personal exemptions from seven hundred and fifty dollars per person to one thousand dollars per person.","This statement is not check-worthy because it is a description of a proposed policy change, not a factual claim that can be verified with publicly available information."
3673,1,0.0,"With all due respect, you already gave them to the oil companies.","This is a question or a statement of opinion, not a factual claim."
