sentence_id,Verdict,score,Text,reasoning
4035,0,80.0,"The question is for the next president, are we making good judgments about how to keep America safe precisely because sending our military into battle is such an enormous step.","This statement is check-worthy because it touches on the topic of military involvement and the decision-making process of the president, which are both factual and salient to the general public. The statement can be fact-checked by looking at historical data on military involvement and presidential decision-making, as well as examining the current administration's policies and actions regarding military intervention."
18985,0,80.0,"Just because the president says it can't be done, that you'd lose China, doesn't mean it can't be done.",This statement is check-worthy because it is a factual claim about the president's statement and its implications. It can be fact-checked by looking at the president's statements and analyzing the potential consequences of those statements.
11290,0,80.0,"Now, Senator Obama without precondition wants to sit down and negotiate with them, without preconditions.","This statement is check-worthy because it is a factual claim about a political candidate's stance on foreign policy. It is salient to the general public because it touches on the topic of diplomacy and international relations, which are important issues in any election."
19431,0,80.0,"And in my administration, we're going to train the National Guard to stop it from coming across the border.","This statement is check-worthy because it makes a factual claim about the administration's plan to train the National Guard. The claim is salient to the general public because it touches on immigration, a highly debated topic. The check-worthiness of this statement would increase if there were more context about which administration is being referred to, as this would make it easier to fact-check."
28568,0,80.0,I think that some common sense gun safety measures are certainly needed with the flood of cheap handguns that have sometimes been working their way into the hands of the wrong people.,"The statement touches on the topic of gun safety, which is a salient issue in the US. The statement also mentions the existence of a flood of cheap handguns, which is a factual claim that can be verified using publicly available data on gun sales and gun violence."
24551,0,80.0,"The first thing I'd do is, during political campaigns, I would urge everybody to stop trying to split this country into fragments and appeal to the differences between us and then wonder why the melting pot is all broken to pieces after November the 3rd.",The claim that the country is being split into fragments during political campaigns is subjective and requires evidence to support. The statement about the melting pot being broken to pieces after November 3rd is also subjective and requires evidence to support. The score is high because the statement touches on a topic of public interest and the claims made are not trivial.
20242,0,80.0,"And for every dollar that I spend in those two categories, I'll put $2 toward paying down the national debt.","This statement is check-worthy because it contains a factual claim about a specific financial action that the speaker is taking. The claim is salient to the general public because it involves the national debt, which is a major issue. However, the statement is not entirely check-worthy because it does not provide enough context about the two categories of spending or the time frame for the $2 payment towards the national debt."
27143,0,80.0,"The notion that we would have tanks run over those young people who were in Tahrir Square, that is not the kind of American leadership that John F. Kennedy talked about 50 years ago.","The statement contains a factual claim about the use of tanks against protesters in Tahrir Square. While the exact details of the event are not provided, it is a significant enough claim to warrant fact-checking. The statement also references John F. Kennedy, which may require historical context to fully understand and fact-check."
16926,0,80.0,"And there's been a constant squabbling between the president and the Congress, and that's not the way this country ought to be run.","The statement contains a factual claim about the relationship between the president and Congress. While the term 'constant squabbling' is subjective, it is based on observable events, making it check-worthy. The second part of the statement is subjective and not check-worthy, but it does not detract significantly from the check-worthiness of the overall sentence."
21471,0,80.0,"My argument with Governor Clinton -- you can call it mud wrestling, but I think it's fair to put it in focus is -- I am deeply troubled by someone who demonstrates and organizes demonstration in a foreign land when his country's at war.",The sentence contains a factual claim about someone organizing a demonstration in a foreign land while their country is at war. This claim is salient to the general public and can be fact-checked using publicly available information.
2802,0,80.0,In addition to that we've become fearful to compete with the Soviet Union on an equal basis.,This statement is check-worthy because it makes a factual claim about the relationship between the United States and the Soviet Union. The claim is salient to the general public because it touches on international relations and competition between nations. The statement can be fact-checked by looking at historical records and documents about the relationship between the two countries during the Cold War era.
11300,0,90.0,"Not only would it threaten Israel, our strongest ally in the region and one of our strongest allies in the world, but it would also create a possibility of nuclear weapons falling into the hands of terrorists.","The statement contains factual claims that are salient to the general public, such as the relationship between Israel and the US, and the possibility of nuclear weapons falling into the hands of terrorists. These claims can be fact-checked using publicly available information."
24317,0,100.0,"We need to continue the negotiations to reduce the nuclear arsenals in the Soviet Union, the former Soviet Union, and the United States.","This statement is check-worthy because it contains a factual claim about the nuclear arsenals in the Soviet Union, the former Soviet Union, and the United States. This is salient to the general public because it touches on the topic of nuclear disarmament and international security."
23901,0,80.0,I said something the other day where I was accused of being like Joe McCarthy because I questioned -- I put it this way; I think it's wrong to demonstrate against your own country or organize demonstrations against your own country in foreign soil.,"The claim that the speaker was accused of being like Joe McCarthy is check-worthy because it is factual and salient to the general public. It touches on a historical figure and a controversial topic. The reasoning behind the accusation, however, is not check-worthy because it is subjective and opinion-centered."
11701,0,80.0,I think one of the lessons in between World War I and World War II is we let our military atrophy.,"This statement is check-worthy because it makes a factual claim about historical events and military spending, which is salient to the general public. The claim can be fact-checked by looking at military spending data and historical records from the time period between the two World Wars."
13376,0,100.0,But Social Security is a tax.,"This is a factual claim that is both salient and can be fact-checked using publicly available information. Social Security is a tax in the United States, funded through a payroll tax on wages and self-employment income. The claim is not subjective or trivial, and it is important for the general public to understand the nature of Social Security as a tax."
29669,0,80.0,"We're just opening up on Pennsylvania Avenue right next to the White House, so if I don't get there one way, I'm going to get to Pennsylvania Avenue another.","This statement seems to imply that the speaker will be visiting Pennsylvania Avenue, which is a factual claim. The statement is also made in the context of the White House, which adds to its salience. However, the statement is somewhat vague and does not provide a clear timeframe, which is why the score is not 100."
1169,0,80.0,"And we won the nomination by going out into the streets - barbershops, beauty parlors, restaurants, stores, in factory shift lines also in farmers' markets and livestock sale barns - and we talked a lot and we listened a lot and we learned from the American people.","The sentence contains a factual claim about how the speaker won the nomination. While the sentence does not provide specific details about the numbers of votes or percentages, it does mention specific locations where the speaker campaigned, such as barbershops, beauty parlors, and farmers' markets. These details make the claim more concrete and check-worthy, as they can be verified using publicly available information."
27410,0,80.0,"And so when I sit down with the Secretary of the Navy and the Joint Chiefs of Staff, we determine how are we going to be best able to meet all of our defense needs in a way that also keeps faith with our troops, that also makes sure that our veterans have the kind of support that they need when they come home.","The sentence contains a factual claim about the speaker meeting with the Secretary of the Navy and the Joint Chiefs of Staff. The claim is salient to the public because it touches on national defense. However, the sentence also contains subjective statements about keeping faith with troops and supporting veterans, which are not fact-checkable."
3213,0,80.0,"And I can assure you that this administration will follow that high moral principle in our future efforts in foreign policy, including our efforts in the Middle East where it is vitally important because the Middle East is the crossroads of the world.","The statement contains a factual claim about the administration's commitment to a 'high moral principle' in foreign policy. While the term 'high moral principle' is somewhat subjective, the claim is still fact-checkable to some degree, as it can be evaluated whether the administration's actions align with this principle. The statement also touches on the Middle East, a topic of significant public interest, making it more check-worthy."
27929,0,80.0,I've been -- Ann was with someone just the other day that was just weeping about not being able to get work.,"The statement contains a factual claim about someone weeping about not being able to get work. This is a check-worthy claim as it touches on employment statistics and economic conditions, which are salient to the general public."
22273,0,80.0,"And it is particularly terrible to take poor tiny little children and wait until the first grade and bus them across town to Mars, where the children know their numbers, know their letters, have had every advantage.","The statement contains a factual claim about children being bused across town to Mars. While the claim is not literally true, it is a metaphorical statement that implies that children are being sent to a distant place for education. This is a salient issue that is relevant to the general public, as it touches on education policies and the experiences of children. Therefore, I assign a score of 80."
6522,0,80.0,"I haven't gotten a flu shot, and I don't intend to because I want to make sure those who are most vulnerable get treated.","This statement is check-worthy because it contains a factual claim about the speaker's behavior (not getting a flu shot) and a subjective reason for that behavior (wanting to ensure vulnerable people get treated). The factual claim can be verified by checking the speaker's medical records, and the subjective reason can be verified by asking the speaker about their intentions. The score is 80 because the statement is not as salient to the general public as other statements might be, but it still contains a factual claim that is relevant to public health."
8189,0,80.0,"Is it true that this Administration, as Senator Kennedy has charged, has been an Administration of retreat, of defeat, of stagnation?","This statement is check-worthy because it makes a factual claim about the actions of the current administration, which is a salient topic to the general public. The claim is specific enough to be fact-checked using publicly available information, such as records of policy decisions and military actions."
12601,0,80.0,Africa is now the emerging area of the world.,"This statement is check-worthy because it makes a factual claim about Africa being the emerging area of the world. While it is true that Africa has seen significant economic growth in recent years, the claim that it is the 'emerging area of the world' is subjective and requires further investigation. A more neutral statement might be that Africa has experienced strong economic growth in recent years, but the claim that it is the 'emerging area of the world' suggests a level of importance and significance that requires further evidence to support."
22115,0,80.0,"Yes, we got problems at home.","This statement is check-worthy because it is factual and implies that there are issues or problems within the speaker's household. This is salient to the general public as it touches on personal and family matters, which are often of interest and concern to many people. The statement is somewhat vague, which is why I gave it a score of 80 instead of 100. A more specific statement would have received a higher score."
17000,0,80.0,"In addition to that, we've suffered because we haven't had leadership in this administration.","This statement is check-worthy because it makes a factual claim about the current administration's leadership abilities. While it is subjective, it is also salient to the general public as it touches on the effectiveness of government leadership."
8393,0,80.0,"And I think to heap the burden further on the property tax, which is already strained in many of our communities, will provide, will make sh- insure, in my opinion, that many of our children will not be adequately educated, and many of our teachers not adequately compensated.","The statement contains a factual claim about the potential impact of a policy change on education funding and teacher compensation, which are salient issues to the general public. However, the claim is somewhat subjective and speculative, which is why the score is not 100."
13027,0,80.0,And in the years to come it will be written that one or the other of us was elected and that he was or was not a great president.,"This statement is check-worthy because it makes a claim about the future, which can be verified by looking at historical records after the fact. The statement also touches on the salient topic of presidential greatness, which is of interest to the general public."
24130,0,80.0,"If you throw another 50,000 kids on the street because of cutting recklessly in troop levels, you're going to put a lot more out of work.","This statement contains a factual claim about the potential impact of troop level cuts on employment levels. While the exact numbers are debatable, the general idea that cutting troops could lead to job loss is a check-worthy claim."
26127,0,80.0,"You know, give you a little tax cut, give you a couple of years, then make the tax increases go on forever.","This statement contains a factual claim about a potential tax policy, which is salient to the general public. However, the statement is somewhat vague and lacks context, which is why the score is not 100."
6927,0,80.0,It would be the largest increase in government health care ever.,"This statement is check-worthy because it is a factual claim about a historical event. The size of the increase in government health care can be verified using publicly available data, and it is salient to the general public because it pertains to government spending and healthcare, two topics of significant public interest."
34207,0,80.0,"And if you think that going into Mosul after we let the world know we're going in, and all of the people that we really wanted -- the leaders -- they're all gone.","The claim that the leaders of Mosul left before the U.S. invasion is factual and can be verified using publicly available information. However, the statement is somewhat vague and does not provide enough context to fully assess its check-worthiness. The identity of the leaders and the time frame of their departure are not specified. Nonetheless, the claim is salient to the general public given the significance of the Mosul operation in the context of the broader conflict in Iraq."
27436,0,80.0,We cannot afford to have a nuclear arms race in the most volatile region of the world.,"This statement is check-worthy because it contains a factual claim about the possibility of a nuclear arms race in a specific region. The claim is salient to the general public because it touches on the topic of nuclear weapons, which are a matter of global concern. The statement is not entirely check-worthy, however, because it is subjective and contains a value judgment about the affordability of a nuclear arms race. Nonetheless, the factual claim is significant enough to warrant a high check-worthiness score."
22184,0,80.0,"And so I believe that we've got to get the power in the hands of the teachers, not the teachers' union.","This statement is check-worthy because it makes a factual claim about the distribution of power in education. The claim is salient to the general public because education policy is a widely debated topic. The statement can be fact-checked by looking at the laws and regulations that govern the distribution of power in education, as well as statistics on the allocation of resources and decision-making authority in schools."
29562,0,80.0,"Second, maybe he's not as charitable as he claims to be.","This statement is check-worthy because it contains a factual claim about someone's charitable giving, which is a matter of public interest. The claim is not trivial because it touches on the individual's integrity and honesty. It can be fact-checked by looking up the individual's publicly available financial records and comparing them to their public claims about their charitable giving."
11445,0,80.0,That there is some resentment of U.S. power.,"This statement is factual and salient to the general public, as it touches on international relations and potential conflicts. It can be fact-checked by looking at public opinion polls, news articles, and academic research on the topic."
32985,0,80.0,"I'm looking for judges -- and I've actually picked 20 of them so that people would see, highly respected, highly thought of, and actually very beautifully reviewed by just about everybody.","This statement seems to be making a factual claim about the author having selected 20 judges who are highly respected and thought of. While the claim about their qualifications is subjective, the fact that the author has selected 20 judges is check-worthy, as it can be verified using publicly available information."
5594,0,80.0,"Now, of all times in America, we need to cut people's taxes.","This statement is check-worthy because it is a factual claim about taxes, which is a topic of great public interest and relevance. The statement implies that taxes are currently high, and that they should be reduced. This can be fact-checked by looking at current tax rates and comparing them to historical data."
12196,0,90.0,"And secondly, I repeat to you --","This statement is check-worthy because it asserts a factual claim about the amount of money spent by the Biden administration compared to the Trump administration. This claim is both factual and salient to the general public, as it touches on government spending and financial management."
11063,0,80.0,"If we could've stopped Rwanda, surely, if we had the ability, that would be something that we would have to strongly consider and act.","This statement is check-worthy because it touches on the topic of the Rwandan genocide, which is a historical event. The statement implies that the US had the ability to intervene in the Rwandan genocide, which is a factual claim that can be verified using publicly available information."
25480,0,100.0,"I will not agree to any arms control agreement, including a freeze, that's not verifiable.",This statement is check-worthy because it is a factual claim about a political agreement. The verifiability of arms control agreements is a matter of public interest and can be fact-checked using publicly available information.
4109,0,80.0,"But I reserve the right, as president of the United States to meet with anybody at a time and place of my choosing if I think it's going to keep America safe.",This statement is check-worthy because it is factual and salient to the general public. It touches on the president's power to conduct diplomacy and national security. The check-worthiness is relatively high because the statement is specific and can be fact-checked by looking at the president's schedule and the context of the meeting.
6723,0,100.0,"As a matter of fact, your record is such that Ted Kennedy, your colleague, is the conservative senator from Massachusetts.",This statement is factual and checkworthy because it makes a claim about Ted Kennedy's political affiliation and his comparison to the speaker's political record. This information is salient to the general public as it relates to the political landscape of Massachusetts and the United States.
6304,0,80.0,"So what I want to do is focus on early childhood education, providing teachers higher salaries in exchange for more support.","The statement is check-worthy because it contains a factual claim about providing teachers higher salaries in exchange for more support. This claim is salient to the general public because it touches on the topic of education and teacher compensation, which are important issues that affect many people. The statement is not entirely check-worthy, however, because it is not clear what is meant by'more support' and whether this is a factual claim or an opinion. Therefore, I have given it a score of 80."
21312,0,80.0,"Have no environmental controls, no pollution controls and no retirement.","This statement is check-worthy because it asserts that there are no environmental or pollution controls in a certain context. This claim is factual and salient to the general public, as environmental and pollution controls are important for public health and safety. The statement could be fact-checked by researching the relevant environmental and pollution regulations in the context mentioned in the statement."
15165,0,80.0,"unemployment, the cities are all very important issues, but they pale into insignificance in the life and duties of a President when compared with the control of nuclear weapons.",The statement contains a factual claim about the relative importance of unemployment and nuclear weapons in the life and duties of a President. This is a salient issue to the general public and can be fact-checked using publicly available information.
19108,0,80.0,"And most important, let's make education our highest priority so that every eight-year-old will be able to read, every 12-year-old can log onto the Internet, every 18-year-old can go to college.","This statement is check-worthy because it makes a factual claim about the literacy and technological abilities of children of different ages. While it is subjective to say that education should be the 'highest priority', the factual claims can be checked using data on literacy rates and Internet access."
26401,0,100.0,Congress passed a paperwork reduction act.,"This is a factual claim that is salient to the general public. The passing of the Paperwork Reduction Act is a significant event in the United States' legislative history, and it would be important for the general public to know whether this claim is true or not. A quick google search reveals that the Paperwork Reduction Act was indeed passed by Congress in 1980, so this claim is factual."
7427,0,80.0,"And if Americans trust me with the presidency, I can pledge to you, we will have the most significant effort, openly -- not secret meetings in the White House with special interests, not ideologically driven efforts to push people aside -- but a genuine effort to try to restore America's hope and possibilities by bringing people together.","The claim that the speaker will have the most significant effort to restore America's hope and possibilities is check-worthy because it is factual and can be verified by comparing the results of their actions to those of previous presidents. The claim that they will bring people together is also check-worthy, as it is a factual statement that can be verified through data on collaboration and cooperation between different groups during their presidency. However, the claims about secret meetings and ideologically driven efforts are subjective and not check-worthy."
13442,0,80.0,I believe all of those should be gone over in detail to make sure that no one is getting a tax break; to make sure that no one is getting away from paying the taxes he ought to pay.,"This statement is check-worthy because it makes a factual claim about tax policy, which is a matter of public interest. The claim that some individuals are receiving tax breaks and not paying their fair share of taxes is both factual and salient to the general public. However, the statement is somewhat vague and does not provide specific details about the alleged tax breaks or the individuals involved. Therefore, the score is not as high as it could be."
21361,0,80.0,I think we can bring it down by 50% in 4 years and grow the economy.,"This statement is check-worthy because it contains a factual claim about a specific reduction in a metric (presumably a percentage) within a certain time frame. The claim is salient to the general public because it touches on economic growth, which is a key indicator of a country's prosperity. However, the statement is somewhat subjective because it assumes that 'we' can achieve this reduction and growth, and it does not provide any context or evidence to support the claim."
29566,0,80.0,"So if he's paid zero, that means zero for troops, zero for vets, zero for schools or health.","This statement is check-worthy because it asserts a direct correlation between a specific payment and the funding for several public sectors. The statement seems to imply that if someone is not paid, then there will be no funding for troops, veterans, schools, or health. This is a factual claim that can be verified using publicly available data."
27604,0,80.0,"And when we do things like that -- when we bring those who have harmed us to justice, that sends a message to the world and it tells Peyton (ph) that we did not forget her father.","The statement is check-worthy because it makes a factual claim about the impact of bringing someone to justice. However, the claim is somewhat subjective and depends on the context, which is why the score is not 100."
17974,0,80.0,"I have a better plan to be able to fight the war on terror by strengthening our military, strengthening our intelligence, by going after the financing more authoritatively, by doing what we need to do to rebuild the alliances, by reaching out to the Muslim world, which the president has almost not done, and beginning to isolate the radical Islamic Muslims, not have them isolate the United States of America.","The statement contains several factual claims that can be checked, such as the level of effort the president has put into reaching out to the Muslim world and the extent to which alliances have been rebuilt. The claim about isolating 'radical Islamic Muslims' is subjective and difficult to fact-check, but the rest of the statement is check-worthy."
21921,0,80.0,"But they've got to have a strong basic economy and if you're in debt, it's like having a ball and chain around you.","The statement touches on the relationship between debt and the economy, which is a factual topic that can be verified using publicly available information. However, the sentence is somewhat vague and subjective, which is why the score is not 100."
16289,0,80.0,"That wouldn't have stopped if we hadn't been willing wouldn't have even started, the Soviets coming out, if we hadn't even been willing to support the freedom fighters there.","The claim that the Soviet Union coming out and the willingness to support freedom fighters affected the situation is factual and salient to the general public. However, the sentence is somewhat vague and lacks specific details, which is why the score is not 100."
29324,0,80.0,"NAFTA is the worst trade deal maybe ever signed anywhere, but certainly ever signed in this country.","The statement is factual and contains a claim that is salient to the general public. The claim is that NAFTA is the worst trade deal ever signed, which is a factual statement that can be verified using publicly available information. The statement also contains a subjective opinion, but the factual claim is the main focus of the statement, so a score of 80 is appropriate."
13689,0,80.0,"And so yes, everybody's taxed too much and I want to get the taxes down, but not by signing a tax bill that's gonna raise taxes on people.",The claim that the tax bill will raise taxes on people is factual and salient to the general public. It can be fact-checked by comparing the tax rates before and after the bill is signed.
16737,0,80.0,Encouragement by the president for people to uh voluntarily conserve - yes.,"The statement is factual and contains a claim about the president encouraging voluntary conservation, which is salient to the general public. However, the statement is missing some context, such as who the president is and what exactly they are encouraging conservation of, which makes it less check-worthy."
25808,0,80.0,"Number one, add another million children to the insured ranks through the Medicaid program.","This statement is check-worthy because it makes a factual claim about the number of children added to the insured ranks through the Medicaid program. While the number 'another million' is somewhat vague, it is still a quantifiable claim that can be fact-checked using publicly available data."
33593,0,100.0,"I want us to raise the national minimum wage, because people who live in poverty should not -- who work full-time should not still be in poverty.","This statement is check-worthy because it contains a factual claim about the relationship between the national minimum wage and poverty levels. This is a topic of significant public interest and can be fact-checked using publicly available data on poverty rates, minimum wage levels, and employment statistics."
9650,0,80.0,You know a major difference in this campaign is that Governor Romney feels comfortable having politicians in Washington decide the health care choices that women are making.,"This statement is check-worthy because it is a factual claim about Mitt Romney's stance on healthcare policy, which is a salient topic to the general public. The statement can be fact-checked by looking at Romney's public statements and policy proposals regarding healthcare and women's reproductive rights."
22619,0,100.0,"And I saw a unique threat in Saddam Hussein, as did my opponent, because we thought he had weapons of mass destruction.","This statement is check-worthy because it is a factual claim about Saddam Hussein's possession of weapons of mass destruction. The claim is salient to the general public because it was a major justification for the 2003 invasion of Iraq, and remains a topic of controversy and debate."
32903,0,80.0,It was just take a look at the person that she built up to be this wonderful Girl Scout who was no Girl Scout.,"The statement contains a factual claim about the person's involvement in Girl Scouts, which is a salient topic to the general public. However, the claim is somewhat vague and may require additional context to fact-check."
2389,0,80.0,"If they had a pre-existing condition, they might not be able to get coverage at all.","This statement touches on the topic of pre-existing conditions and health insurance coverage, which is a factual and salient issue in the United States. However, the statement is somewhat vague and does not provide enough context to be fully check-worthy. For example, it does not specify which pre-existing conditions or which health insurance plans it is referring to. Therefore, I would give it a score of 80."
24763,0,80.0,"If you want to help somebody, don't run the costs up by making doctors have to have 5 or 6 tests where one would do for fear of being sued, or have somebody along the highway not stop to pick up a guy and help him because he's afraid a trial lawyer will come along and sue him.","The sentence contains a factual claim about doctors ordering multiple tests due to fear of being sued. This claim is check-worthy because it touches on the topic of healthcare costs and medical malpractice, which are both salient to the general public. The claim could be fact-checked by analyzing medical records and interviewing doctors about their decision-making processes."
