sentence_id,Verdict,score,Text,reasoning
27247,1,80.0,We're 9 million jobs short of that.,"This statement is factual and salient to the general public, as it touches on employment statistics. It is check-worthy because it is possible to fact-check the claim using publicly available information, such as the Bureau of Labor Statistics."
10766,1,90.0,"You know, last year up to this time, we've lost 700,000 jobs in America.","This statement is factual and salient to the general public. It touches on the number of jobs lost in America, which is a topic of great interest and concern. The statement is check-worthy because it is possible to fact-check it using publicly available information, such as government labor statistics."
3327,1,80.0,"And in November of 1975 I was the first president to order the executive branch to take action, affirmative action, through the Department of Commerce and other cabinet departments, to make certain that no American businessman or business organization should discriminate against Jews because of an Arab boycott.","This statement is check-worthy because it is a factual claim about a specific action taken by a president in the past. While it may be difficult to fact-check the claim without access to specific records from the executive branch, it is still possible to verify the claim using publicly available information, such as presidential records or news articles from the time period."
19700,1,70.0,"And what we've done during the Bush administration, the Kurds were at the State Department, negotiating, trying to work their differences out.","This statement is check-worthy because it makes a factual claim about the actions of the Bush administration and the Kurds. While it does not contain any specific statistics or numbers, it does touch on a historical event that may be of interest to the general public. However, the claim is somewhat vague and does not provide enough context to be easily fact-checked without additional research."
12600,1,80.0,"Do you know we don't have a single program sponsored by our government to Cuba - to tell them our story, to tell them that we are their friends, that we want them to be free again?","This statement is check-worthy because it makes a factual claim about the existence or non-existence of a U.S. government program related to Cuba. While the statement includes a question, the factual claim is the main focus of the sentence. The claim is also salient to the general public because it touches on U.S.-Cuba relations and the promotion of democracy and freedom."
26071,1,100.0,It's illegal right now and has been for years for illegal immigrants to get welfare benefits.,This is a factual claim that is check-worthy because it involves a legal question that may be of interest to the general public. It can be fact-checked by looking at the relevant laws and regulations regarding welfare benefits for illegal immigrants.
32496,1,80.0,"And a lot of it has to do with the fact that our taxes are so high, just about the highest in the world.","This statement is check-worthy because it contains a factual claim about the US having one of the highest tax rates in the world. This claim is salient to the general public because taxes affect everyone and are a common topic of debate. The statement is not entirely check-worthy because it is unclear which taxes are being referred to (income, sales, corporate, etc.)."
24266,1,80.0,"We have a four trillion dollar debt, and only in America would you finance seventy percent of it five years or less.","The statement contains a factual claim about the US national debt and its repayment period, which is both salient and can be fact-checked using publicly available information. However, the statement also contains a subjective claim about the uniqueness of this situation in America, which is not easily verifiable and may be influenced by personal opinion."
15712,1,80.0,We're in the serious stages of negotiation with the Soviet Union on the strategic arms control talks.,"This statement is check-worthy because it mentions the ongoing strategic arms control talks between the US and the Soviet Union, which is a significant topic that affects international relations and security. The statement is factual as it mentions the ongoing negotiation, but the level of seriousness can be subjective and may require further investigation to confirm."
9453,1,80.0,"But your rate comes down and the burden also comes down on you for one more reason, and that is every middle-income taxpayer no longer will pay any tax on interest, dividends or capital gains.","The claim that every middle-income taxpayer will no longer pay any tax on interest, dividends, or capital gains is factual and would have a significant impact on the public if true. However, it is unclear what the source of this statement is, and it may be subject to interpretation (e.g., what constitutes a'middle-income taxpayer'?). Therefore, I have given it a score of 80."
8466,1,80.0,And it is a fact in the August session that the four members of the Rules Committee who were Republicans joining with two Democrats voted against sending the aid to education bill to the floor of the House.,"This statement is check-worthy because it asserts a specific voting outcome in the August session of the Rules Committee regarding the aid to education bill. The claim is factual and verifiable through publicly available records, such as meeting minutes or news reports. The statement's salience to the general public is moderate, as it pertains to a legislative action that affects education funding."
14448,1,80.0,"The mistake that both parties made in Washington with the S&L business was deregulating them without proper capital requirements, proper oversight and regulation, proper training of the executives.","This statement touches on the S&L business, which is a complex and important topic that has had significant impacts on the economy. The statement mentions specific actions that were taken (deregulation, lack of capital requirements, oversight, regulation, and training) and implies that these actions had negative consequences. While the statement does not provide specific statistics or historical information, it does touch on a topic that is both factual and salient to the general public. Therefore, it is check-worthy."
1789,1,0.0,And he is saying that he is going to pay for it by closing loopholes and deductions.,"This is a statement of intent, not a factual claim. It is not check-worthy."
32725,1,100.0,"So we have announcements coming out of Washington and coming out of Iraq, we will be attacking Mosul in three weeks or four weeks.","This is a factual claim about a future event, which is check-worthy because it is a matter of public interest and can be verified by checking official statements or news reports in the coming weeks."
27509,1,80.0,"And then the president began what I have called an apology tour, of going to various nations in the Middle East and criticizing America.","The claim that the president went on an 'apology tour' and criticized America in the Middle East is factual and potentially check-worthy, as it touches on the president's actions and opinions. However, the term 'apology tour' is subjective and may require further clarification to be fact-checked."
2336,1,80.0,That's one of the unintended consequences of Dodd-Frank.,"The statement touches on the consequences of the Dodd-Frank Act, a significant piece of financial regulation. While the specific consequence mentioned is not detailed, it is factual and salient to the general public, making it check-worthy."
12993,1,80.0,We find four times as many projects undertaken and completed in this Administration than in the previous one.,This statement is check-worthy because it makes a quantitative claim about the number of projects undertaken and completed by two different administrations. It is factual and can be verified using publicly available data.
17464,1,80.0,It was only when the Supreme Court handed down a decision that the Federal Government intervened in what had always been a State policy.,"This statement touches on the relationship between the Federal Government and the States, which is a salient topic to the general public. The statement also implies that the Federal Government only intervened in State policy after a Supreme Court decision, which is a factual claim that can be verified using publicly available information."
11247,1,80.0,That's what we've been doing over the last eight years and that has actually made us more safe.,"The claim that 'that has actually made us more safe' is check-worthy because it is a factual statement that can be verified using publicly available data on crime rates, terrorism incidents, and other measures of safety before and after the 8-year period in question."
2874,1,80.0,"Immediately before the Kansas City convention, he added back another one point eight billion dollars in the defense budget.","The statement contains a factual claim about the defense budget, which is salient to the general public. However, the sentence does not provide enough context to verify the claim, such as the time frame and the source of the information. Therefore, the score is slightly lower than a perfect score."
26076,1,90.0,We reduced the welfare rolls by 2 million already.,"This is a factual claim that is salient to the general public. It touches on the topic of welfare, which is a public policy issue. It is check-worthy because it is possible to fact-check this claim using publicly available data on welfare rolls."
21706,1,90.0,In Houston there's been a 15- percent drop in the crime rate in the last year because of the work the mayor did there in increasing the police force.,"This statement is check-worthy because it contains a factual claim about a specific percentage change in the crime rate in Houston over the last year. This is a statistic that is both salient and factual, and it can be fact-checked using publicly available information."
25315,1,0.0,"Georgie Anne, we, believe me, supported the Simpson-Mazzoli bill strongly -- and the bill that came out of the Senate.","This sentence is a statement of support for a bill, but it does not contain any factual claims that can be checked. The sentence is subjective and opinion-centered, as it expresses the speaker's support for the bill. Therefore, it is not check-worthy."
32480,1,100.0,But we're bringing the tax rate down from 35 percent to 15 percent.,This is a factual claim about a change in tax rates. It is salient to the general public because tax rates affect the economy and people's wallets.
8236,1,80.0,"It will cost a minimum of four billion dollars a year more, a maximum of four and nine-tenths billion dollar a year more than we're presently spending.","This statement contains a factual claim about the cost of something, which is salient to the general public. However, it is unclear what the statement is referring to, which makes it less check-worthy. The statement could be referring to a specific program or policy, but it does not provide enough context to determine this. Additionally, the statement uses the phrase 'four and nine-tenths billion,' which is unusual and could be a typo. If the statement had been more specific and used standard numerical formatting, it would have been more check-worthy."
12198,1,90.0,That we spent -- the top 1% receive 223 as opposed to 445 billion in new spending.,"This statement contains a factual claim about the distribution of wealth in the United States, which is a topic of significant public interest. The specific numbers mentioned could be verified using publicly available data on income inequality."
