sentence_id,Verdict,Text,reasoning,MISTRAL_7B_INSTRUCT standard zeroshot_prediction,MISTRAL_7B_INSTRUCT standard fewshot_prediction,MIXTRAL_INSTRUCT standard zeroshot_prediction,MIXTRAL_INSTRUCT standard fewshot_prediction,MISTRAL_7B_INSTRUCT LORA_prediction
14952,1,We've had the Central Accounting.," {""score"": 0, ""reasoning"": ""The sentence does not contain any factual claims that are objectively verifiable using publicly available information. It only refers to 'Central Accounting,' which could be a specific internal system or process, and without further context or information, it is not possible to determine",0.0,0.0,0.0,0.0,0.0
30363,1,I said she doesn't have the stamina.," {""score"": 0, ""reasoning"": ""This sentence contains a subjective statement and does not contain a factual claim that can be verified using publicly available information.""}",0.0,0.0,0.0,0.0,0.0
11708,1,That would be an abrogation of our agreement with NATO.," {""score"": 0, ""reasoning"": ""This sentence expresses an opinion about an abrogation of an agreement with NATO. It does not contain any factual claims that can be objectively verified using publicly available information.""}",0.0,0.0,0.0,0.0,0.0
24938,1,"I was very interested to hear about Central America and our process down there, and I thought for a moment that instead of a debate I was going to find Mr. Mondale in complete agreement with what we're doing, because the plan that he has outlined is the one we've been following for quite some time, including diplomatic processes throughout Central America and working closely with the Contadora group."," {""score"": 0, ""reasoning"": ""This sentence does not contain any factual claims that can be objectively verified using publicly available information. It expresses the speaker's opinion and interpretation of a situation, and mentions specific individuals and groups without providing any context or details that could be fact-checked",0.0,0.0,0.0,0.0,0.0
27454,1,You're seeing it right now in the economy.," {""score"": 0, ""reasoning"": ""This sentence is non-checkworthy as it contains a subjective statement 'You're seeing it right now' which refers to an individual's experience and perception, and the claim about the economy being seen right now is a trivial factual statement which is univers",0.0,0.0,0.0,0.0,0.0
8760,1,"But also, I think it is safe to say that we do have sources of energy that have not yet been used or found."," {""score"": 30, ""reasoning"": ""This sentence expresses an opinion that 'we do have sources of energy that have not yet been used or found.' While this statement is subjective, it does refer to factual information about energy sources. However, without specific details about the sources being referred to",0.0,0.0,0.0,0.0,0.0
34042,1,"It's crooked -- she's -- she's guilty of a very, very serious crime."," {""score"": 0, ""reasoning"": ""This sentence contains subjective statements and opinions, making it non-checkworthy.""}",0.0,0.0,0.0,0.0,0.0
27956,1,And we're retaining our workers for the jobs of tomorrow.," {""score"": 0, ""reasoning"": ""This sentence contains a subjective statement'retaining our workers' and lacks any specific factual claims that can be verified using publicly available information.""}",0.0,0.0,0.0,0.0,0.0
16014,1,I learned that the hard way and the Governor and I both supported slipping the COLAs for one year.," {""score"": 0, ""reasoning"": ""This sentence contains a personal experience and an opinion ('I learned that the hard way') which are not factual or salient to the general public. Additionally, there is no clear claim about the Governor's actions or the COLAs (Cost of Living Adjust",0.0,0.0,0.0,0.0,0.0
24439,1,"I urged the president to support this air cover, and he did--and I applaud that."," {""score"": 0, ""reasoning"": ""This sentence contains a subjective statement 'I applaud that' which makes it non-factual and non-checkworthy. The first part 'I urged the president to support this air cover, and he did' is factual but it is not possible to",0.0,0.0,0.0,0.0,0.0
13953,1,And it's true on this and it's true on CAFE.," {""score"": 0, ""reasoning"": ""The sentence does not contain any clear factual claims that can be verified using publicly available information. It only repeats the statement 'it's true' without specifying what 'this' and 'CAFE' refer to. Therefore, it is non-check",0.0,0.0,0.0,0.0,0.0
3666,1,And that's just a fact.," {""score"": 0, ""reasoning"": ""The sentence 'And that's just a fact.' is non-checkworthy because it does not contain any factual claims that can be objectively verified using publicly available information. It is more of a assertive statement that does not lend itself to fact-",0.0,0.0,0.0,0.0,0.0
15625,1,"Margaret, may I go back and just say to the vice president that I didn't raid the pension fund of Massachusetts you are dead wrong, George, we didn't do that."," {""score"": 0, ""reasoning"": ""This sentence contains a denial of an allegation made by George, but it does not contain any clear factual claims that can be checked using publicly available information. The claim that 'we didn't do that' regarding raiding the pension fund is an opinion",0.0,0.0,0.0,0.0,0.0
15398,1,We're now working on the communications industry.," {""score"": 0, ""reasoning"": ""This sentence is non-checkworthy as it only expresses a current activity without containing any factual or quantifiable claim.""}",0.0,0.0,0.0,0.0,0.0
12220,1,And they have not got it done.," {""score"": 0, ""reasoning"": ""This sentence contains only a negative statement about an action that has not been completed, but it does not provide any factual information or claims that can be verified using publicly available information.""}",0.0,0.0,0.0,0.0,0.0
11034,1,"And I am convinced that my record, going back to my opposition from sending the Marines to Lebanon, to supporting our efforts in Kosovo and Bosnia and the first Gulf War, and my judgment, I think, is something that I'm -- a record that I'm willing to stand on."," {""score"": 0, ""reasoning"": ""The sentence contains only subjective statements and opinions about the speaker's record and judgment, which are not factual and not readily verifiable using publicly available information.""}",0.0,0.0,0.0,0.0,0.0
