sentence_id,Verdict,Text,reasoning,MISTRAL_7B_INSTRUCT standard zeroshot_prediction,MISTRAL_7B_INSTRUCT standard fewshot_prediction,MIXTRAL_INSTRUCT standard zeroshot_prediction,MIXTRAL_INSTRUCT standard fewshot_prediction,MISTRAL_7B_INSTRUCT LORA_prediction
2389,0,"If they had a pre-existing condition, they might not be able to get coverage at all."," {""score"": 80, ""reasoning"": ""This sentence contains a factual claim about insurance coverage for individuals with pre-existing conditions. While the specifics (such as the type of insurance or the likelihood of coverage denial) may depend on the context, the general claim is salient and relevant to",1.0,1.0,1.0,1.0,1.0
2195,0,"And every health care economist that looks at it says, over time, what'll happen is the traditional Medicare system will collapse."," {""score"": 80, ""reasoning"": ""This sentence contains a factual claim that 'every health care economist' holds the view that 'the traditional Medicare system will collapse.' While it may be challenging to fact-check every health care economist's opinion, it is possible to verify this",1.0,1.0,1.0,1.0,1.0
20324,0,"No prescription drug benefits, no drug therapy, no preventative medicines, no vision care."," {""score"": 100, ""reasoning"": ""This sentence contains several factual claims that are salient to the general public, particularly those related to healthcare and prescription drug benefits. These claims can be verified using publicly available information, such as data from healthcare organizations, government agencies, and insurance companies.""}",1.0,1.0,1.0,1.0,1.0
10945,0,He would also strip away the ability of states to provide some of the regulations on insurance companies to make sure you're not excluded for pre-existing conditions or your mammograms are covered or your maternity is covered.," {""score"": 85, ""reasoning"": ""This sentence contains factual claims related to insurance regulations and coverage for pre-existing conditions, mammograms, and maternity. These claims are salient to the general public and can be verified using publicly available information from insurance companies, government records, and",1.0,1.0,1.0,1.0,1.0
17909,0,"These laws are not being enforced, have not been enforced, and the public health and the air and the water are paying the price."," {""score"": 60, ""reasoning"": ""The sentence contains a claim about the lack of enforcement of certain laws and the resulting impact on public health and the environment. While it may be possible to verify some aspects of this claim using publicly available information, such as data on law enforcement and environmental quality, it",1.0,1.0,1.0,1.0,1.0
6849,0,"The reason health-care costs are getting higher, one of the principal reasons is that this administration has stood in the way of common-sense efforts that would have reduced the costs."," {""score"": 60, ""reasoning"": ""The sentence contains a factual claim that 'health-care costs are getting higher.' This claim is widely acknowledged and easily verifiable. The second part of the sentence asserts that 'this administration has stood in the way of common-sense efforts that would",1.0,1.0,1.0,1.0,1.0
8009,0,"These islands are a few miles - five or six miles - off the coast of Red China, within a general harbor area and more than a hundred miles from Formosa."," {""score"": 70, ""reasoning"": ""The sentence contains a factual claim about the distance of the islands from the coast of Red China and from Formosa. However, the exact distance is not given, only an estimate of a few miles to more than a hundred miles. This level of imprec",1.0,1.0,1.0,1.0,1.0
10942,0,"He says that he's going to give you a $5,000 tax credit."," {""score"": 80, ""reasoning"": ""This sentence contains a clear factual claim about a specific amount of money ($5,000) being offered as a tax credit. However, it does not provide enough context or information to verify the accuracy of the claim, such as who is making the",1.0,1.0,1.0,1.0,1.0
9067,0,"Mr. Movers, President Carter was not right a few weeks ago when he said that the American people were confronted with only two choices, with only two men, and with only two parties."," {""score"": 100, ""reasoning"": ""This sentence contains a factual claim that can be verified using publicly available information. Mr. Movers is stating that President Carter made a claim about there being only two choices, two men, and two parties. This claim can be fact-checked by looking",1.0,1.0,1.0,1.0,1.0
26077,0,"Now, I've got a plan with this new welfare reform law to work with the private sector, to give employees specific tax incentives to hire people off welfare, and to do some other things which will create more jobs in the private sector, at least a million, and move more people from welfare to work."," {""score"": 60, ""reasoning"": ""The sentence contains a claim about the number of jobs that will be created (at least a million), which is factual and potentially salient to the general public. However, without additional context or publicly available data, it is difficult to verify the accuracy of this",1.0,1.0,1.0,1.0,1.0
8681,0,"I believe that inflation today is caused by government simply spending more than government takes in, at the same time that government has imposed upon business and industry, from the shopkeeper on the corner to the biggest industrial plant in America, countless harassing regulations and punitive taxes that have reduced productivity at the same time they have increased the cost of production."," {""score"": 50, ""reasoning"": ""The sentence expresses a belief and contains subjective statements about inflation being caused by government spending, regulations, and taxes. While it is possible to research and fact-check some of the claims, such as government spending levels and tax rates, it would require extensive",1.0,1.0,1.0,1.0,1.0
26341,0,"One of the people who's here with me today met a woman in the airport saying her son, Jess was able to be present at the birth of her child because of the Family Leave Law."," {""score"": 80, ""reasoning"": ""This sentence contains a factual claim about the Family Leave Law enabling someone to be present at the birth of their child. However, the claim about a specific person meeting someone else at the airport and their son being present at a birth is not publicly verifiable and",1.0,1.0,1.0,1.0,1.0
10795,0,"I want to provide a tax cut for 95 percent of Americans, 95 percent."," {""score"": 50, ""reasoning"": ""This sentence contains a claim about a proposed tax cut for 95 percent of Americans, which is a significant figure. However, without any verifiable data or a reliable source to back up this claim, it cannot be considered check-worthy as of now.",1.0,1.0,1.0,1.0,1.0
20345,0,"They have an income of $25,000 a year."," {""score"": 100, ""reasoning"": ""This sentence contains a clear factual claim about income, which is salient to the general public and can be verified using publicly available information.""}",1.0,1.0,1.0,1.0,1.0
16270,0,"And every defense expert I know, including people in the Pentagon itself, will tell you that given the level of defense spending and the level of defense appropriations which the Congress has now approved and the president has signed, there's no way that you can do all of these things and do them well."," {""score"": 80, ""reasoning"": ""The sentence contains a factual claim about defense spending, defense appropriations, and the inability to do certain things with the given budget. This information is salient to the general public as it relates to national security and government spending. However, without specific",1.0,1.0,1.0,1.0,1.0
11075,0,"If we had done what Senator Obama wanted done in Iraq, and that was set a date for withdrawal, which General Petraeus, our chief -- chairman of our Joint Chiefs of Staff said would be a very dangerous course to take for America, then we would have had a wider war, we would have been back, Iranian influence would have increased, al Qaeda would have re- established a base."," {""score"": 85, ""reasoning"": ""The sentence contains several factual claims that can be verified: Senator Obama wanted a date for withdrawal from Iraq, General Petraeus warned against it, and there were potential consequences such as a wider war, increased Iranian influence, and a re-est",1.0,1.0,1.0,1.0,1.0
23506,0,They've got people allowed to go into churches now and political meetings without any showing of potential criminal activity or otherwise.," {""score"": 60, ""reasoning"": ""The sentence contains a factual claim about people being allowed to go to churches and political meetings without showing potential criminal activity. However, the claim lacks specificity and verifiability as it does not provide information about the location, time frame, or specific policies",1.0,1.0,1.0,1.0,1.0
15449,0,Is there more or less unemployment in the country than there was four years ago?," {""score"": 85, ""reasoning"": ""This sentence contains a factual claim that can be verified using publicly available data, such as unemployment rate statistics from the Bureau of Labor Statistics. However, the specific comparison of the current unemployment rate to what it was four years ago may require some additional research to find",1.0,1.0,1.0,1.0,1.0
2757,0,I'll restore that $716 billion to Medicare.," {""score"": 80, ""reasoning"": ""This sentence contains a clear factual claim about the amount of money, $716 billion, that is supposedly going to be restored to Medicare. However, the veracity of the claim itself (whether or not this amount can actually be restored",1.0,1.0,1.0,1.0,1.0
18804,0,I also intend to double the number of special forces so that we can do the job we need to do with respect fighting the terrorists around the world.," {""score"": 75, ""reasoning"": ""The sentence contains a factual claim about the speaker's intention to double the number of special forces. However, the exact number of special forces currently in existence and the feasibility of doubling that number are not provided in the sentence, so the score is",1.0,1.0,1.0,1.0,1.0
26916,0,"Of course the greatest threat of all is Iran, four years closer to a nuclear weapon."," {""score"": 70, ""reasoning"": ""This sentence contains a claim about Iran being four years closer to having a nuclear weapon. This claim can be fact-checked using publicly available information from reliable sources such as the International Atomic Energy Agency or news outlets. However, the sentence also contains the subject",1.0,1.0,1.0,1.0,1.0
4163,0,"We sit down with Ahmadinejad, and he says, ""We're going to wipe Israel off the face of the Earth,"" and we say, ""No, you're not""?"," {""score"": 100, ""reasoning"": ""This sentence contains a clear factual claim about a statement made by Mahmoud Ahmadinejad, which is a matter of public record and significant importance to global politics. The quote is directly attributable to Ahmadinejad and can be",1.0,1.0,1.0,1.0,1.0
19501,0,"You add all the states that've used the instant check and how many weapons they keep, kept out of the hands of criminals."," {""score"": 80, ""reasoning"": ""This sentence contains a factual claim about the number of weapons kept out of the hands of criminals by various states through the use of instant checks. However, it may not be possible to verify the exact number of states and the specific quantities of weapons involved without",1.0,1.0,1.0,1.0,1.0
23042,0,"Wanda Blackmore I met here from Missouri, the first time she bought drugs with her drug discount card, she paid $1.14, I think it was, for about $10 worth of drugs."," {""score"": 60, ""reasoning"": ""The sentence contains a factual claim about the price Wanda paid for drugs using her discount card ($1.14) and the estimated value of the drugs she bought ($10). However, without additional context or publicly available information, it is difficult to",1.0,1.0,1.0,1.0,1.0
15169,0,The Senate has not voted yet on the Strategic Arms Limitation Treaty.," {""score"": 100, ""reasoning"": ""This statement is factual and relevant to the general public as it refers to a specific legislative action (voting on a treaty) that has not yet occurred. The verifiability of the claim can be easily checked by accessing public records of",1.0,1.0,1.0,1.0,1.0
17131,0,"Real interest rates -- the real cost of interest -- will remain very, very high, and many economists are predicting that we're moving into a period of very slow growth because the economy is tapering off and may be a recession."," {""score"": 80, ""reasoning"": ""The sentence contains claims about real interest rates and economic growth, which are factual and salient to the general public. These claims can be verified by checking data from reliable sources such as the Federal Reserve or the Bureau of Labor Statistics. However, the prediction of",1.0,1.0,1.0,1.0,1.0
6927,0,It would be the largest increase in government health care ever.," {""score"": 50, ""reasoning"": ""This statement contains a factual claim about the size of an increase in government healthcare, but without specific numbers or context, it is difficult to determine if it is the largest increase ever. Verifying this claim would require access to accurate and reliable data on past government",1.0,1.0,1.0,1.0,1.0
22691,0,"Senator Richard Lugar, the Republican chairman of the Foreign Relations Committee, said that the handling of the reconstruction aid in Iraq by this administration has been incompetent."," {""score"": 80, ""reasoning"": ""This statement contains a factual claim that Senator Richard Lugar, a Republican Chairman of the Foreign Relations Committee, made a statement regarding the handling of reconstruction aid in Iraq by the administration. While the statement does contain an opinion ('incompetent'), it is",1.0,1.0,1.0,1.0,1.0
16831,0,"And when those rich corporations don't pay that tax, the average American taxpayer pays it for 'em."," {""score"": 80, ""reasoning"": ""This sentence contains a factual claim about corporations not paying their taxes and the average American taxpayer paying for it instead. However, the specific amount or percentage of taxes involved would be necessary for a complete fact check. Therefore, the score is not 1",1.0,1.0,1.0,1.0,1.0
3871,0,"General Petraeus invited Senator Lindsey Graham and me to attend a ceremony where 688 brave young Americans, whose enlistment had expired, were reenlisting to stay and fight for Iraqi freedom and American freedom."," {""score"": 95, ""reasoning"": ""The sentence contains a factual claim about the number of American soldiers reenlisting (688), which is salient and relevant to the public. The claim can be verified using publicly available information.""}Note: The score is an estimation",1.0,1.0,1.0,1.0,1.0
15893,0,"He said, no, she has leukemia, acute leukemia, a few weeks to live."," {""score"": 100, ""reasoning"": ""This sentence contains a clear factual claim about a person's health condition, which is a matter of public interest and significance. The claim can be verified by checking medical records or reliable sources, making it highly check-worthy.""}",1.0,1.0,1.0,1.0,1.0
2826,0,"We would have to stretch out our aircraft procurement, we would have to reduce our naval construction program, we would have to reduce the uh - research and development for the Army, the Navy, the Air Force and Marines by 8 percent."," {""score"": 80, ""reasoning"": ""The sentence contains factual claims about specific actions and reductions in government spending for aircraft procurement, naval construction, and research and development for the Army, Navy, Air Force, and Marines. However, the exact amounts or impact of these reductions",1.0,1.0,1.0,1.0,1.0
1112,0,"Mr. Harriman talked to the leaders in Yugoslavia, and I think it's accurate to say that there is no uh - prospect in their opinion, of the Soviet Union invading uh - Yugoslavia should uh - Mr. Tito pass away."," {""score"": 60, ""reasoning"": ""The sentence contains a claim about the leaders in Yugoslavia and their opinion regarding a potential Soviet Union invasion in case of Mr. Tito's passing. However, it is important to note that the information comes from a speaker, Mr. Harriman",1.0,1.0,1.0,1.0,1.0
6123,0,"Last point about Senator McCain's plan is that insurers right now, the main restrictions on what they do is primarily state law and, under Senator McCain's plan, those rules would be stripped away and you would start seeing a lot more insurance companies cherry-picking and excluding people from coverage."," {""score"": 85, ""reasoning"": ""The sentence contains a factual claim about Senator McCain's plan potentially stripping away state laws that restrict insurers and leading to more cherry-picking and exclusions. This information is salient to the public as it relates to health insurance",1.0,1.0,1.0,1.0,1.0
15628,0,I won the Democratic nomination in fifty-one separate contests.," {""score"": 100, ""reasoning"": ""This statement is factual and can be verified using publicly available information. The number of primary and caucus victories during a presidential nomination campaign is a well-established fact.""}",1.0,1.0,1.0,1.0,1.0
28345,0,"And under my plan, in four years, as the percentage of our gross domestic product, federal spending will be the smallest that it has been in 50 years."," {""score"": 85, ""reasoning"": ""This sentence contains a factual claim about federal spending as a percentage of GDP under a hypothetical plan, which can be verified using publicly available data from government sources such as the Bureau of Economic Analysis and the Office of Management and Budget.""}",1.0,1.0,1.0,1.0,1.0
1969,0,And we know where it came from: two wars that were paid for on a credit card; two tax cuts that were not paid for; and a whole bunch of programs that were not paid for; and then a massive economic crisis.," {""score"": 85, ""reasoning"": ""The sentence contains several factual claims that can be verified using publicly available information. These claims include references to 'two wars that were paid for on a credit card,' 'two tax cuts that were not paid for,' and 'a whole bunch of programs that were",1.0,1.0,1.0,1.0,1.0
2366,0,"And the number of small businesses I've gone to that are saying they're dropping insurance because they can't afford it, the cost of health care is just prohibitive."," {""score"": 80, ""reasoning"": ""This sentence contains a factual claim about small businesses dropping insurance due to healthcare costs. However, the specific number of businesses is not mentioned, which limits the score. To verify the claim, one could look for statistics or data on the number of small businesses dropping",1.0,1.0,1.0,1.0,1.0
30073,0,"And now they have the oil all over the place, including the oil -- a lot of the oil in Libya, which was another one of her disasters."," {""score"": 50, ""reasoning"": ""The sentence contains a claim that 'they have the oil all over the place' and 'a lot of the oil in Libya' is a disaster for a specific person. While these statements can be considered factual, they are not easily verifiable using publicly",1.0,1.0,1.0,1.0,1.0
24130,0,"If you throw another 50,000 kids on the street because of cutting recklessly in troop levels, you're going to put a lot more out of work."," {""score"": 70, ""reasoning"": ""This sentence contains a factual claim about throwing 50,000 kids on the street and putting more out of work. However, the claim about the cause of this situation (cutting troop levels) is an assumption and not a verifiable",1.0,1.0,1.0,1.0,1.0
29566,0,"So if he's paid zero, that means zero for troops, zero for vets, zero for schools or health."," {""score"": 85, ""reasoning"": ""This sentence contains a factual claim about the impact of 'he' (presumably a political figure) paying 'zero' on various public issues such as troops, veterans, schools, and health. These are significant areas of public interest and concern, and",1.0,1.0,1.0,1.0,1.0
33593,0,"I want us to raise the national minimum wage, because people who live in poverty should not -- who work full-time should not still be in poverty."," {""score"": 80, ""reasoning"": ""This sentence contains a factual claim that people who work full-time can still be in poverty, which is a relevant and salient issue to the general public. However, the sentence also includes a subjective statement 'I want us to raise the national minimum",1.0,1.0,1.0,1.0,1.0
9547,0,"If somebody came to you, Governor, with a plan that said, here, I want to spend $7 or $8 trillion, and then we're going to pay for it, but we can't tell you until maybe after the election how we're going to do it, you wouldn't take such a sketchy deal and neither should you, the American people, because the math doesn't add up."," {""score"": 80, ""reasoning"": ""The sentence contains a claim that $7 or $8 trillion is a significant amount of money and that there is a lack of transparency regarding how it would be paid for. These claims are factual and salient to the general public as they touch on",1.0,1.0,1.0,1.0,1.0
3769,0,"Well, I want to make sure we're not handing the health care system over to the federal government which is basically what would ultimately happen with Senator Obama's health care plan."," {""score"": 60, ""reasoning"": ""The sentence contains a claim about Senator Obama's health care plan and its potential outcome, which is factual and relevant to the public. However, the claim requires some context and factual analysis to determine its accuracy. For instance, it's essential to",1.0,1.0,1.0,1.0,1.0
