sentence_id,Verdict,Text,score,reasoning
27247,1,We're 9 million jobs short of that.,0,"This sentence is non-checkworthy as it contains a subjective statement ""We're short of that"" and a vague reference to ""that"" without specifying what is being referred to. Therefore, it does not contain any clear factual claims that can be checked. Score: 0, Reasoning: The sentence does not contain any clear factual claims that can be checked."
10766,1,"You know, last year up to this time, we've lost 700,000 jobs in America.",85,"This sentence contains a factual claim about the number of jobs lost in America last year, which is salient and relevant to the general public."
3327,1,"And in November of 1975 I was the first president to order the executive branch to take action, affirmative action, through the Department of Commerce and other cabinet departments, to make certain that no American businessman or business organization should discriminate against Jews because of an Arab boycott.",85,This sentence contains a factual claim about a historical event (President Ford ordering affirmative action against discrimination against Jews due to Arab boycott in November 1975) which is salient to the general public.
19700,1,"And what we've done during the Bush administration, the Kurds were at the State Department, negotiating, trying to work their differences out.",50,"This sentence describes a diplomatic situation involving the Kurds during the Bush administration. While it contains factual information, it is not particularly salient to the general public as it is specific to a particular administration and group of people. Therefore, it receives a moderate check-worthiness score."
12600,1,"Do you know we don't have a single program sponsored by our government to Cuba - to tell them our story, to tell them that we are their friends, that we want them to be free again?",0,"This sentence expresses a subjective opinion that we want Cuba to be free again, and it does not contain any factual claims that are salient to the general public."
26071,1,It's illegal right now and has been for years for illegal immigrants to get welfare benefits.,95,"This sentence contains a factual claim about a law and its duration, which is salient to the general public."
32496,1,"And a lot of it has to do with the fact that our taxes are so high, just about the highest in the world.",70,"The sentence contains a factual claim about taxes being high, which is salient to the general public, but the claim is incomplete as it does not specify which country's taxes are being compared."
24266,1,"We have a four trillion dollar debt, and only in America would you finance seventy percent of it five years or less.",95,This sentence contains factual claims about the US debt and the time frame for financing it. These claims are salient to the general public and can be easily fact-checked.
15712,1,We're in the serious stages of negotiation with the Soviet Union on the strategic arms control talks.,90,"This sentence contains a factual claim about ongoing negotiations between the United States and the Soviet Union, which is a significant geopolitical event that would be of interest to the general public."
9453,1,"But your rate comes down and the burden also comes down on you for one more reason, and that is every middle-income taxpayer no longer will pay any tax on interest, dividends or capital gains.",90," The sentence is checkworthy because it contains a factual claim about tax policy that would be of interest to the general public. Specifically, it mentions that ""every middle-income taxpayer no longer will pay any tax on interest, dividends or capital gains."" This is a significant change in tax policy that would affect many people, and it is the type of information that fact-checking organizations would be interested in verifying. Therefore, the score would be high, perhaps around 90 or above, depending on the specifics of the context in which the sentence is used. The reasoning is that the sentence contains a factual claim about tax policy that is salient to the general public."
8466,1,And it is a fact in the August session that the four members of the Rules Committee who were Republicans joining with two Democrats voted against sending the aid to education bill to the floor of the House.,95,"This sentence contains a factual claim about a specific event in the August session of the House, involving the Rules Committee and the aid to education bill. The number of members voting against sending the bill to the floor is also mentioned, making it salient to the general public."
14448,1,"The mistake that both parties made in Washington with the S&L business was deregulating them without proper capital requirements, proper oversight and regulation, proper training of the executives.",85,"This sentence contains factual claims about the S&L business in Washington, the deregulation, and the lack of proper capital requirements, oversight, and regulation. These claims are salient to the general public as they relate to a significant financial event with economic implications. However, the sentence also includes the subjective claim that 'both parties made a mistake', which reduces the score slightly."
1789,1,And he is saying that he is going to pay for it by closing loopholes and deductions.,30,This sentence is non-checkworthy as it is stating a hypothetical claim about a person's actions and does not contain any factual information that can be verified.
32725,1,"So we have announcements coming out of Washington and coming out of Iraq, we will be attacking Mosul in three weeks or four weeks.",80,"This sentence contains a factual claim about an upcoming military operation in Mosul, which is a significant event and relevant to the general public. However, the exact timing of the operation is an approximation, which reduces the score slightly."
27509,1,"And then the president began what I have called an apology tour, of going to various nations in the Middle East and criticizing America.",80,This sentence contains a factual claim about the president's actions (an apology tour) and is salient to the general public as it relates to international relations and diplomacy.
2336,1,That's one of the unintended consequences of Dodd-Frank.,0,"This sentence is not check-worthy as it is stating an opinion (""one of the unintended consequences"") and does not contain any factual claims that are salient to the general public. Therefore, the score would be 0 with the reasoning that it is an opinion statement."
12993,1,We find four times as many projects undertaken and completed in this Administration than in the previous one.,85,This sentence contains a factual claim that can be verified by checking the number of projects undertaken and completed in the two administrations. The claim is also salient to the general public as it relates to government performance.
17464,1,It was only when the Supreme Court handed down a decision that the Federal Government intervened in what had always been a State policy.,80,"This sentence contains a factual claim about the sequence of events between the Supreme Court decision and the Federal Government intervention. It is salient to the general public as it touches on government policy and the role of the Supreme Court. However, it does not contain specific numerical data or statistics, which could increase the score."
11247,1,That's what we've been doing over the last eight years and that has actually made us more safe.,60,"The sentence contains a claim about making the country more safe over the last eight years, which is factual and salient to the general public. However, the claim does not provide any specific data or statistics to back it up, which reduces its check-worthiness score."
2874,1,"Immediately before the Kansas City convention, he added back another one point eight billion dollars in the defense budget.",85,"The sentence contains a factual claim about a specific amount of money being added to the defense budget at a particular time, which is salient to the general public."
26076,1,We reduced the welfare rolls by 2 million already.,85,"This sentence contains a factual claim about a reduction in welfare rolls, which is a matter of public interest and relevance."
21706,1,In Houston there's been a 15- percent drop in the crime rate in the last year because of the work the mayor did there in increasing the police force.,85,"This sentence contains a factual claim about a percentage drop in crime rate in Houston in the last year. The claim is salient to the general public as crime rate is a significant issue in many cities. The claim also implies that the mayor's actions led to the decrease, which is a factual statement about the mayor's role in increasing the police force in Houston."
25315,1,"Georgie Anne, we, believe me, supported the Simpson-Mazzoli bill strongly -- and the bill that came out of the Senate.",,"This sentence is non-checkworthy as it contains subjective statements (""we, believe me"") and is focused on a specific legislative event that may not be widely known or relevant to the general public."
32480,1,But we're bringing the tax rate down from 35 percent to 15 percent.,100,"This sentence contains a clear factual claim about a specific tax rate change, which is salient to the general public."
8236,1,"It will cost a minimum of four billion dollars a year more, a maximum of four and nine-tenths billion dollar a year more than we're presently spending.",80,"This sentence contains a factual claim about a monetary amount, which is salient to the general public. However, it is an estimate, and the exact value is not given, which reduces the score slightly."
