sentence_id,Verdict,Text,score,reasoning
27247,1,We're 9 million jobs short of that.,100.0,"The sentence contains a factual claim about the number of missing jobs, which is salient to the general public."
10766,1,"You know, last year up to this time, we've lost 700,000 jobs in America.",85.0,"This statement contains a factual claim about the number of jobs lost in America last year, which is salient to the general public."
3327,1,"And in November of 1975 I was the first president to order the executive branch to take action, affirmative action, through the Department of Commerce and other cabinet departments, to make certain that no American businessman or business organization should discriminate against Jews because of an Arab boycott.",85.0,This sentence contains a factual claim about a historical event (the first president to order affirmative action against discrimination against Jews due to an Arab boycott) and is salient to the general public as it involves a president's actions and discrimination against a religious group.
19700,1,"And what we've done during the Bush administration, the Kurds were at the State Department, negotiating, trying to work their differences out.",30.0,"This sentence mentions the Bush administration and the Kurds negotiating, but it does not provide any specific factual claims that can be easily checked. The focus is more on the actions taken during the Bush administration and the parties involved in the negotiation process."
12600,1,"Do you know we don't have a single program sponsored by our government to Cuba - to tell them our story, to tell them that we are their friends, that we want them to be free again?",0.0,"This sentence expresses a subjective opinion and a call to action, rather than a factual claim. It does not provide any specific information about the number or existence of government programs to Cuba, making it non-checkworthy."
26071,1,It's illegal right now and has been for years for illegal immigrants to get welfare benefits.,100.0,"This sentence contains a factual claim about a law and its duration, which is salient to the general public."
32496,1,"And a lot of it has to do with the fact that our taxes are so high, just about the highest in the world.",80.0,"This sentence contains a factual claim about taxes being high in the world. However, it is not clear from the sentence alone whether the claim is entirely accurate or an exaggeration. Therefore, the score is set at 80, which indicates a moderately check-worthy claim."
24266,1,"We have a four trillion dollar debt, and only in America would you finance seventy percent of it five years or less.",95.0,"This sentence contains two factual claims: 1) the existence and amount of the US national debt, and 2) the financing period of a significant portion of it. Both claims are salient to the general public and can be fact-checked."
15712,1,We're in the serious stages of negotiation with the Soviet Union on the strategic arms control talks.,95.0,"This sentence contains a factual claim about ongoing negotiations between the United States and the Soviet Union, which is a significant geopolitical event that would be of interest to the general public."
9453,1,"But your rate comes down and the burden also comes down on you for one more reason, and that is every middle-income taxpayer no longer will pay any tax on interest, dividends or capital gains.",95.0,The sentence contains a factual claim about tax policy that is salient to the general public.
8466,1,And it is a fact in the August session that the four members of the Rules Committee who were Republicans joining with two Democrats voted against sending the aid to education bill to the floor of the House.,100.0,"This sentence contains a factual claim about a specific event in the August session of the House, involving the number of Republicans and Democrats who voted against sending an aid to education bill to the floor. This information is salient to the general public as it relates to legislative proceedings and the political alignment of the members involved."
14448,1,"The mistake that both parties made in Washington with the S&L business was deregulating them without proper capital requirements, proper oversight and regulation, proper training of the executives.",85.0,"This sentence contains factual claims about the S&L business in Washington being deregulated without proper capital requirements, oversight, and regulation. These claims are salient to the general public as they touch on important aspects of financial regulation and have significant historical significance. However, the sentence also includes the subjective claim that 'both parties made a mistake', which reduces the score slightly."
1789,1,And he is saying that he is going to pay for it by closing loopholes and deductions.,0.0,"This sentence does not contain any factual claims that are salient to the general public. It only describes an action that a person is planning to take, which is not a factual claim."
32725,1,"So we have announcements coming out of Washington and coming out of Iraq, we will be attacking Mosul in three weeks or four weeks.",80.0,"This sentence contains a factual claim about an upcoming military operation in Mosul, which is a significant event and relevant to the general public."
27509,1,"And then the president began what I have called an apology tour, of going to various nations in the Middle East and criticizing America.",80.0,This sentence contains a factual claim about the president's actions (an apology tour) and is salient to the general public as it relates to international relations and diplomacy.
2336,1,That's one of the unintended consequences of Dodd-Frank.,0.0,"This sentence does not contain any factual claims that are salient to the general public. It only expresses an opinion about an unintended consequence of Dodd-Frank, which is subjective in nature."
