id,label,statement,check_worthiness
162.json,0,"Rudy Giuliani is ""probably the most underqualified man since George Bush to seek the presidency.""",0.0
11690.json,0,Says Marco Rubio is the one for an open border.,0.0
5043.json,0,What is the proper collective noun for a group of baboons? Believe it or not . . . a Congress!,0.0
3730.json,0,The people of Rhode Island dont want same-sex marriage.,0.0
11555.json,0,Says that Starbucks took Christmas off of their brand new cups.,0.0
10548.json,0,"Sheila Jackson Lee of Texas said: Hey, all you wrinkly, white-aged has-beens: Its time for you to die and let the next generation have your spot on the planet.",0.0
88.json,0,I'm probably one of the four or five best-known Americans in the world.,0.0
4915.json,0,"When the country was founded, Congress had exactly the same attitude about the sanctity of Christmas celebrations that a 7-Eleven does today: Yeah, were open.",0.0
13228.json,0,"Says a tweet he sent out wasnt saying, check out a sex tape. It was just take a look at the background of Alicia Machado.",0.0
8510.json,0,"What we said was, you can keep (your plan) if it hasnt changed since the law passed.",0.0
6739.json,0,Redistribution has never been a characteristic of America.,0.0
1868.json,0,Barack Obama appeared in the video for 'Whoomp! (There it is!)',0.0
1531.json,0,I'm glad for the wording of it (an ethics report on corporate-sponsored Congressional trips) because clearly the wording exonerates me.,0.0
9421.json,0,Ken Block supports Obamacare.,0.0
12276.json,0,Says its absurd to say theres enough data to establish a link between playing football and Chronic Traumatic Encephalopathy.,0.0
11992.json,0,I dont know anything about David Duke.,0.0
4625.json,0,"If a President Romney got a call from the president of the (Mormon church), he has no choice but to obey. It is obedience over family and country.",0.0
1302.json,0,I didn't endorse the federal stimulus bill.,0.0
5896.json,0,"Says in regard to providing more tax cuts for the rich, Bill Pascrell said, Republicans had great ideas. I liked some of their ideas.",0.0
8698.json,0,"The fact that one town has three lanes dedicated to it, that kind of gets me sauced.",0.0
2152.json,0,Theres no negative advertising in my campaign at all.,0.0
10437.json,0,On assault weapon violence: Ducks have more protection than people in Virginia.,0.0
5828.json,0,Nobody is leaving Memphis. Thats a myth.,0.0
5089.json,0,Were only inches away from no longer being a free economy.,0.0
459.json,0,"Obama thinks the national anthem should be ""I'd Like to Teach the World to Sing.""",0.0
6271.json,0,The media wont publish a real photo of Trayvon Martin with tattoos on his face.,0.0
12811.json,0,Im not one for name calling.,0.0
795.json,0,The truth was revealed there in that report that showed there was no unlawful or unethical activity on my part.,0.0
9459.json,0,Says a picture he posted on Facebook of a man posing in front of five decapitated human heads is one of the subhuman mongrels our president set free.,0.0
8971.json,0,"Says Nancy Pelosi said, Waiting long hours in the emergency room will allow you to make new friends!",0.0
11044.json,0,The Mexican government forces many bad people into our country.,0.0
12892.json,0,Says Barack Obama founded ISIS. I would say the co-founder would be crooked Hillary Clinton.,0.0
9697.json,0,Global warming is a hoax.,0.0
8628.json,0,"Says Vladimir Putin said, President Obama and his fellow Democrats are either idiots or deliberately trying to destroy their own economy.",0.0
12471.json,0,"Says Obama wants to give (Iran) nuclear weapons and Michael Bennet, he was all for it.",0.0
6155.json,0,Says Barack Obama and his team are socialists in every respect of the word.,0.0
8624.json,0,"Why would our president close the embassy to the Vatican? Hopefully, it is not retribution for Catholic organizations opposing Obamacare.",0.0
365.json,0,Barack Obama loves Che Guevara.,0.0
1451.json,0,Bill White is discriminating. Hes taking jobs from African Americans and giving them to his friends.,0.0
11498.json,0,I never said that Marco Rubio was Mark Zuckerbergs personal senator.,0.0
826.json,0,"Obama would ""experiment with socialism.""",0.0
12298.json,0,Says Target installed urinals in a womens bathroom to accommodate the ones who have giblets.,0.0
221.json,0,An anonymous e-mail says that Hillary Clinton advocates communism.,0.0
1272.json,0,"If President Obama signs the Copenhagen climate change treaty, he ""will sign your freedom, your democracy, and your prosperity away forever and neither you nor any subsequent government you may elect would have any power whatsoever to take it back again.""",0.0
11489.json,0,How is a misogynist bigot of epic proportions (like U.S. Rep. Steven Smith) allowed to serve?,0.0
1793.json,0,"Elena Kagan is a New York City radical, Marxist lawyer through and through.",0.0
12152.json,0,"Says that when Michelle Fields found out that there was a security camera, and that they had her on tape, all of a sudden that story changed.",0.0
1663.json,0,I never considered myself a maverick.,0.0
